META; english/league-2/portsmouth-v-leyton-orient; 2017-01-08 00:23:10 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-08 04:21:54 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-08 08:22:03 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-08 12:22:46 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-08 16:22:55 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 4/7; 1/2; ; ; ; ; 11/20; ; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; 3/5; ; ; ; ; ; ; 
Draw; 3; 3; ; ; ; ; 3; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; 16/5; ; ; ; ; ; ; 
Leyton Orient; 19/4; 5; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; 26/5; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-08 20:23:03 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 9/20; 1/2; 40/85; ; ; ; 1/2; ; 1/2; 10/21; 4/9; ; 9/20; ; ; 1/2; 5/11; ; ; ; 5/11; 1/2; ; ; ; ; ; ; 
Draw; 10/3; 3; 3; ; ; ; 10/3; ; 10/3; 16/5; 3; ; 16/5; ; ; 10/3; 16/5; ; ; ; 16/5; 10/3; ; ; ; ; ; ; 
Leyton Orient; 6; 5; 11/2; ; ; ; 11/2; ; 11/2; 11/2; 6; ; 6; ; ; 6; 57/10; ; ; ; 57/10; 13/2; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-09 00:21:52 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 1/2; 4/9; ; 4/9; ; 4/9; ; 4/9; 4/9; 2/5; ; 21/50; ; ; 4/9; 7/17; ; ; ; 7/17; 23/50; ; ; ; ; 2/5; ; 
Draw; 7/2; 3; 31/10; ; 18/5; ; 7/2; ; 7/2; 10/3; 16/5; ; 10/3; ; ; 7/2; 17/5; ; ; ; 17/5; 7/2; ; ; ; ; 10/3; ; 
Leyton Orient; 13/2; 5; 6; ; 13/2; ; 13/2; ; 13/2; 13/2; 13/2; ; 13/2; ; ; 13/2; 25/4; ; ; ; 25/4; 77/10; ; ; ; ; 31/5; ; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-09 04:21:35 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 1/2; 4/9; 2/5; 4/9; ; 4/9; ; 4/9; 4/9; 2/5; ; 21/50; ; ; 4/9; 7/17; 3/7; ; 2/5; 7/17; 23/50; ; 3/7; ; ; 2/5; ; 
Draw; 7/2; 3; 31/10; 7/2; 18/5; ; 18/5; ; 7/2; 10/3; 16/5; ; 10/3; ; ; 7/2; 17/5; 57/17; ; 10/3; 57/17; 7/2; ; 57/17; ; ; 3; ; 
Leyton Orient; 13/2; 5; 6; 13/2; 13/2; ; 13/2; ; 13/2; 13/2; 13/2; ; 13/2; ; ; 13/2; 25/4; 32/5; ; 32/5; 25/4; 77/10; ; 32/5; ; ; 33/5; ; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-09 08:21:45 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 1/2; 4/9; 2/5; 4/9; ; 4/9; ; 4/9; 4/9; 2/5; ; 21/50; ; ; 4/9; 7/17; 3/7; ; 2/5; 7/17; 23/50; ; 3/7; ; ; 2/5; ; 
Draw; 7/2; 3; 31/10; 7/2; 18/5; ; 18/5; ; 7/2; 10/3; 16/5; ; 10/3; ; ; 7/2; 57/17; 57/17; ; 10/3; 57/17; 7/2; ; 57/17; ; ; 3; ; 
Leyton Orient; 13/2; 5; 6; 13/2; 13/2; ; 13/2; ; 13/2; 13/2; 13/2; ; 13/2; ; ; 13/2; 25/4; 32/5; ; 32/5; 25/4; 77/10; ; 32/5; ; ; 33/5; ; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-09 12:22:05 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 2/5; 2/5; ; 2/5; ; 4/9; 4/9; 7/17; 3/7; 2/5; 2/5; 7/17; 23/50; 2/5; 3/7; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 16/5; 7/2; 19/5; 16/5; 15/4; 31/10; 7/2; 7/2; 13/4; ; 7/2; ; 7/2; 7/2; 17/5; 57/17; 7/2; 10/3; 17/5; 7/2; 10/3; 57/17; ; ; 10/3; 10/3; 
Leyton Orient; 13/2; 7; 13/2; 7; 7; 11/2; 7; 6; 7; 7; 7; ; 7; ; 6; 7; 25/4; 32/5; 25/4; 32/5; 25/4; 77/10; 29/5; 32/5; ; ; 33/5; 33/5; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-09 16:22:43 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 2/5; 2/5; 4/11; 2/5; ; 2/5; 4/9; 3/8; 3/7; 2/5; 2/5; 3/8; 23/50; 2/5; 3/7; 2/5; ; 2/5; 2/5; 
Draw; 7/2; 10/3; 16/5; 10/3; 19/5; 16/5; 15/4; 31/10; 7/2; 7/2; 13/4; 3; 7/2; ; 7/2; 7/2; 39/11; 57/17; 7/2; 10/3; 39/11; 18/5; 7/2; 57/17; 7/2; ; 3; 10/3; 
Leyton Orient; 13/2; 7; 13/2; 15/2; 7; 11/2; 7; 6; 7; 7; 7; 6; 7; ; 7; 7; 27/4; 32/5; 25/4; 32/5; 27/4; 71/10; 29/5; 32/5; 13/2; ; 34/5; 34/5; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-09 20:22:27 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 4/9; 3/8; 2/5; 2/5; 3/8; 23/50; 2/5; 3/7; 2/5; ; 2/5; 2/5; 
Draw; 7/2; 10/3; 16/5; 10/3; 19/5; 16/5; 15/4; 31/10; 7/2; 7/2; 13/4; 3; 7/2; 7/2; 7/2; 7/2; 39/11; 7/2; 10/3; 39/11; 18/5; 7/2; 57/17; 7/2; ; 10/3; 10/3; 
Leyton Orient; 13/2; 7; 13/2; 15/2; 7; 11/2; 7; 6; 7; 7; 7; 6; 7; 7; 7; 7; 27/4; 25/4; 32/5; 27/4; 71/10; 29/5; 32/5; 13/2; ; 34/5; 34/5; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-10 00:22:09 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 2/5; 2/5; 4/11; 2/5; 2/5; 4/9; 4/9; 3/8; 2/5; 2/5; 3/8; 23/50; 2/5; 3/7; 2/5; ; 2/5; 2/5; 
Draw; 7/2; 10/3; 16/5; 16/5; 19/5; 16/5; 19/5; 31/10; 7/2; 7/2; 13/4; 3; 7/2; 7/2; 7/2; 7/2; 39/11; 7/2; 10/3; 39/11; 18/5; 7/2; 57/17; 7/2; ; 7/2; 10/3; 
Leyton Orient; 13/2; 13/2; 13/2; 15/2; 7; 11/2; 7; 6; 7; 7; 13/2; 6; 7; 7; 6; 7; 13/2; 25/4; 32/5; 13/2; 71/10; 29/5; 32/5; 13/2; ; 34/5; 34/5; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-10 04:22:08 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 2/5; 2/5; 4/11; 2/5; 2/5; 4/9; 4/9; 3/8; 2/5; 2/5; 3/8; 23/50; 2/5; 3/7; 2/5; ; 2/5; 2/5; 
Draw; 7/2; 10/3; 16/5; 16/5; 19/5; 16/5; 19/5; 31/10; 7/2; 7/2; 13/4; 3; 7/2; 7/2; 7/2; 7/2; 39/11; 7/2; 10/3; 39/11; 18/5; 7/2; 57/17; 7/2; ; 7/2; 10/3; 
Leyton Orient; 13/2; 13/2; 13/2; 15/2; 7; 11/2; 7; 6; 7; 7; 13/2; 6; 7; 7; 6; 7; 13/2; 25/4; 32/5; 13/2; 71/10; 29/5; 32/5; 13/2; ; 34/5; 34/5; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-10 08:22:20 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 2/5; 2/5; 4/11; 2/5; 2/5; 4/9; 4/9; 3/8; 2/5; 2/5; 3/8; 23/50; 2/5; 3/7; 2/5; ; 2/5; ; 
Draw; 7/2; 10/3; 16/5; 16/5; 19/5; 10/3; 19/5; 31/10; 7/2; 7/2; 13/4; 3; 7/2; 7/2; 7/2; 7/2; 39/11; 7/2; 10/3; 39/11; 18/5; 7/2; 57/17; 7/2; ; 7/2; ; 
Leyton Orient; 13/2; 13/2; 13/2; 15/2; 7; 6; 7; 6; 7; 7; 13/2; 6; 7; 7; 6; 7; 13/2; 25/4; 32/5; 13/2; 71/10; 29/5; 32/5; 13/2; ; 34/5; ; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-10 12:22:35 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 2/5; 2/5; 4/11; 2/5; 2/5; 4/9; 4/9; 7/19; 2/5; 2/5; 7/19; 23/50; 2/5; 7/17; 2/5; ; 2/5; 2/5; 
Draw; 7/2; 10/3; 16/5; 16/5; 19/5; 10/3; 19/5; 31/10; 7/2; 7/2; 13/4; 3; 7/2; 7/2; 7/2; 7/2; 18/5; 7/2; 7/2; 18/5; 18/5; 7/2; 18/5; 7/2; ; 10/3; 10/3; 
Leyton Orient; 13/2; 13/2; 13/2; 15/2; 7; 6; 7; 6; 7; 7; 13/2; 6; 7; 7; 6; 7; 13/2; 25/4; 13/2; 13/2; 71/10; 29/5; 13/2; 13/2; ; 34/5; 34/5; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-10 16:22:56 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 2/5; 2/5; 4/11; 2/5; 2/5; 4/9; 4/9; 7/19; 2/5; 2/5; 7/19; 23/50; 2/5; 7/17; 2/5; ; 4/9; 2/5; 
Draw; 7/2; 10/3; 16/5; 16/5; 19/5; 10/3; 19/5; 31/10; 7/2; 7/2; 13/4; 3; 7/2; 7/2; 7/2; 7/2; 18/5; 7/2; 7/2; 18/5; 18/5; 7/2; 18/5; 7/2; ; 10/3; 10/3; 
Leyton Orient; 13/2; 13/2; 13/2; 15/2; 7; 6; 7; 6; 7; 7; 13/2; 6; 7; 7; 6; 7; 13/2; 25/4; 13/2; 13/2; 71/10; 29/5; 13/2; 13/2; ; 34/5; 34/5; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-10 20:22:50 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 2/5; 2/5; 4/11; 2/5; 2/5; 4/9; 4/9; 7/19; 2/5; 2/5; 7/19; 23/50; 2/5; 7/17; 2/5; ; 4/9; 2/5; 
Draw; 7/2; 10/3; 16/5; 16/5; 19/5; 10/3; 19/5; 31/10; 7/2; 7/2; 13/4; 3; 7/2; 7/2; 7/2; 7/2; 18/5; 7/2; 7/2; 18/5; 18/5; 7/2; 18/5; 7/2; ; 10/3; 10/3; 
Leyton Orient; 13/2; 13/2; 13/2; 15/2; 7; 6; 7; 6; 7; 7; 13/2; 6; 7; 7; 6; 7; 13/2; 25/4; 13/2; 13/2; 71/10; 29/5; 13/2; 13/2; ; 33/5; 33/5; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-11 00:22:09 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/9; 2/5; 2/5; 4/11; 2/5; 2/5; 4/9; 4/9; 7/19; 2/5; 2/5; 7/19; 11/25; 2/5; 7/17; 2/5; ; 4/9; 2/5; 
Draw; 7/2; 10/3; 16/5; 16/5; 19/5; 10/3; 19/5; 10/3; 7/2; 7/2; 13/4; 3; 7/2; 7/2; 7/2; 7/2; 18/5; 7/2; 7/2; 18/5; 18/5; 7/2; 18/5; 7/2; ; 10/3; 10/3; 
Leyton Orient; 13/2; 13/2; 13/2; 15/2; 7; 6; 7; 15/2; 7; 7; 13/2; 6; 7; 7; 6; 7; 27/4; 25/4; 13/2; 27/4; 39/5; 29/5; 13/2; 13/2; ; 33/5; 33/5; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-11 04:22:12 GMT+2; 2017-01-14 15:00; e70300-dr003
Portsmouth; 2/5; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/9; 2/5; 2/5; 4/11; 2/5; 2/5; 4/9; 4/9; 7/19; 2/5; 2/5; 7/19; 11/25; 2/5; 7/17; 2/5; ; 4/9; 2/5; 
Draw; 7/2; 10/3; 16/5; 16/5; 19/5; 10/3; 19/5; 10/3; 7/2; 7/2; 13/4; 3; 7/2; 7/2; 7/2; 7/2; 18/5; 7/2; 7/2; 18/5; 18/5; 7/2; 18/5; 7/2; ; 7/2; 10/3; 
Leyton Orient; 13/2; 13/2; 13/2; 15/2; 7; 6; 7; 15/2; 7; 7; 13/2; 6; 7; 7; 6; 7; 27/4; 25/4; 13/2; 27/4; 39/5; 29/5; 13/2; 13/2; ; 33/5; 33/5; 
META; english/league-2/portsmouth-v-leyton-orient; 2017-01-11 08:22:09 GMT+2; 2017-01-14 15:00; e70300-dr003
