META; english/league-2/cambridge-utd-v-crawley; 2017-04-26 19:45:11 GMT+3; 2017-04-29 15:00; e70300-dr003
Cambridge Utd; 1/2; ; ; ; ; ; ; ; 8/15; 1/2; 8/15; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Cambridge United; ; ; 1/2; ; 1/2; ; 8/15; 2/5; ; ; ; 1/2; 1/2; ; ; 1/2; 17/35; 1/2; 1/2; 17/35; 51/100; 7/15; 1/2; ; 1/2; ; ; ; 1/2
Draw; 3; ; 29/10; ; 3; ; 16/5; 3; 3; 29/10; 3; 3; 3; 16/5; 10/3; 31/10; 13/4; 29/10; 14/5; 13/4; 17/5; 58/19; 56/19; ; 56/19; ; 3; ; 7/2
Crawley; 6; ; 5; ; 11/2; ; 21/4; 11/2; 11/2; 6; 11/2; 11/2; 11/2; 11/2; 5; 11/2; 60/11; 23/4; 6; 60/11; 29/5; 24/5; 6; ; 6; ; 29/5; ; 6
META; english/league-2/cambridge-utd-v-crawley; 2017-04-28 10:11:42 GMT+3; 2017-04-29 15:00; e70300-dr003
Cambridge United; ; ; 1/2; ; 1/2; ; 8/15; 4/9; ; ; ; 8/15; 1/2; ; ; 1/2; 18/35; 1/2; 1/2; 18/35; 51/100; 1/2; 1/2; ; 1/2; ; ; ; 8/15
Cambridge Utd; 11/20; ; ; ; ; ; ; ; 8/15; 1/2; 1/2; ; ; 8/15; 1/2; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
Draw; 10/3; ; 29/10; ; 16/5; ; 10/3; 10/3; 3; 10/3; 16/5; 14/5; 10/3; 10/3; 10/3; 31/10; 13/4; 29/10; 3; 13/4; 17/5; 31/10; 31/10; ; 31/10; ; 3; ; 7/2
Crawley; 11/2; ; 5; ; 5; ; 21/4; 11/2; 11/2; 6; 11/2; 11/2; 11/2; 11/2; 5; 11/2; 5; 23/4; 27/5; 5; 29/5; 43/10; 27/5; ; 27/5; ; 26/5; ; 28/5
META; english/league-2/cambridge-utd-v-crawley; 2017-04-28 11:05:51 GMT+3; 2017-04-29 15:00; e70300-dr003
Cambridge United; ; ; 1/2; ; 1/2; ; 8/15; 4/9; ; ; ; 8/15; 1/2; ; ; 1/2; 18/35; 1/2; 1/2; ; 51/100; 1/2; 1/2; ; 1/2; ; ; ; 8/15
Cambridge Utd; 11/20; ; ; ; ; ; ; ; 8/15; 1/2; 1/2; ; ; 8/15; 1/2; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
Draw; 10/3; ; 29/10; ; 16/5; ; 10/3; 10/3; 3; 10/3; 16/5; 14/5; 10/3; 10/3; 10/3; 31/10; 13/4; 29/10; 3; ; 17/5; 31/10; 31/10; ; 31/10; ; 3; ; 7/2
Crawley; 11/2; ; 5; ; 5; ; 21/4; 11/2; 11/2; 6; 11/2; 11/2; 11/2; 11/2; 5; 11/2; 5; 23/4; 27/5; ; 29/5; 43/10; 27/5; ; 27/5; ; 26/5; ; 28/5
META; english/league-2/cambridge-utd-v-crawley; 2017-04-28 16:11:01 GMT+3; 2017-04-29 15:00; e70300-dr003
Cambridge United; ; ; 1/2; ; 1/2; ; 8/15; 4/9; ; ; ; 8/15; 1/2; ; ; 1/2; 18/35; 1/2; 1/2; 18/35; 51/100; 8/15; 1/2; ; 1/2; ; ; ; 8/15
Cambridge Utd; 11/20; ; ; ; ; ; ; ; 8/15; 1/2; 1/2; ; ; 8/15; 1/2; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
Draw; 10/3; ; 29/10; ; 16/5; ; 10/3; 10/3; 3; 10/3; 16/5; 16/5; 10/3; 10/3; 10/3; 31/10; 13/4; 29/10; 3; 13/4; 17/5; 16/5; 31/10; ; 31/10; ; 3; ; 7/2
Crawley; 11/2; ; 5; ; 5; ; 11/2; 11/2; 11/2; 11/2; 11/2; 5; 11/2; 11/2; 5; 11/2; 96/19; 23/4; 27/5; 96/19; 29/5; 23/5; 27/5; ; 27/5; ; 26/5; ; 27/5
