META; english/league-2/doncaster-v-wycombe; 2016-10-23 04:20:46 GMT+3; 2016-10-29 15:00; e70300-dr003
Doncaster; ; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wycombe; ; 18/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/doncaster-v-wycombe; 2016-10-23 08:22:02 GMT+3; 2016-10-29 15:00; e70300-dr003
Doncaster; ; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wycombe; ; 18/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/doncaster-v-wycombe; 2016-10-23 12:22:12 GMT+3; 2016-10-29 15:00; e70300-dr003
Doncaster; 4/6; 2/3; ; ; 7/10; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; 11/4; ; ; 11/4; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wycombe; 4; 18/5; ; ; 4; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/doncaster-v-wycombe; 2016-10-23 16:22:18 GMT+3; 2016-10-29 15:00; e70300-dr003
Doncaster; 4/6; 2/3; ; 4/6; 7/10; ; 7/10; ; ; ; 4/6; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; 
Draw; 11/4; 11/4; ; 5/2; 11/4; ; 11/4; ; ; ; 11/4; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; 
Wycombe; 4; 18/5; ; 9/2; 4; ; 17/4; ; ; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; 
META; english/league-2/doncaster-v-wycombe; 2016-10-23 20:22:53 GMT+3; 2016-10-29 15:00; e70300-dr003
Doncaster; 4/6; 2/3; 4/6; 4/6; 7/10; ; 7/10; ; 4/6; ; 4/6; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; 
Draw; 11/4; 11/4; 13/5; 5/2; 11/4; ; 11/4; ; 14/5; ; 11/4; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; 
Wycombe; 4; 18/5; 4; 9/2; 4; ; 17/4; ; 4; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; 
META; english/league-2/doncaster-v-wycombe; 2016-10-24 00:22:06 GMT+3; 2016-10-29 15:00; e70300-dr003
Doncaster; 4/6; 2/3; 4/6; 4/6; 7/10; ; 7/10; ; 4/6; ; 4/6; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; 
Draw; 11/4; 11/4; 13/5; 5/2; 11/4; ; 11/4; ; 14/5; ; 11/4; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; 
Wycombe; 4; 18/5; 4; 9/2; 4; ; 17/4; ; 4; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; 
META; english/league-2/doncaster-v-wycombe; 2016-10-24 04:22:08 GMT+3; 2016-10-29 15:00; e70300-dr003
Doncaster; 4/6; 2/3; 4/6; 4/6; 7/10; ; 7/10; ; 4/6; ; 4/6; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; 
Draw; 11/4; 11/4; 13/5; 14/5; 11/4; ; 11/4; ; 14/5; ; 11/4; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; 
