META; english/league-2/leyton-orient-v-doncaster; 2017-03-12 04:22:34 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-12 08:23:08 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-12 12:22:10 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; 4; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-12 16:22:11 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; ; ; 4/6; ; 13/20; ; 4/6; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; 13/5; ; ; 11/4; ; 11/4; ; 14/5; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; 4; 9/2; ; ; 9/2; ; 19/4; ; 17/4; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-12 20:23:43 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; ; ; 4/6; ; 4/6; ; 4/6; ; 4/6; ; ; ; ; 4/6; ; ; ; 4/6; ; ; ; ; ; ; ; 
Draw; 11/4; 13/5; ; ; 11/4; ; 11/4; ; 14/5; ; 27/10; ; ; ; ; 14/5; ; ; ; 27/10; ; ; ; ; ; ; ; 
Leyton Orient; 4; 9/2; ; ; 9/2; ; 9/2; ; 17/4; ; 19/5; ; ; ; ; 9/2; ; ; ; 75/19; ; ; ; ; ; ; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-13 00:21:41 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; ; ; 4/6; ; 4/6; ; 4/6; ; 4/6; ; ; ; ; 4/6; 4/6; ; ; 4/6; ; ; ; ; ; ; ; 
Draw; 11/4; 13/5; ; ; 11/4; ; 11/4; ; 14/5; ; 27/10; ; ; ; ; 11/4; 27/10; ; ; 27/10; ; ; ; ; ; ; ; 
Leyton Orient; 4; 9/2; ; ; 9/2; ; 9/2; ; 17/4; ; 19/5; ; ; ; ; 4; 39/10; ; ; 39/10; ; ; ; ; ; ; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-13 04:21:21 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; ; ; 4/6; ; 4/6; ; 4/6; ; 4/6; ; ; ; ; 4/6; 4/6; ; ; 4/6; ; ; ; ; ; ; ; 
Draw; 11/4; 13/5; ; ; 11/4; ; 11/4; ; 14/5; ; 27/10; ; ; ; ; 11/4; 27/10; ; ; 27/10; ; ; ; ; ; ; ; 
Leyton Orient; 4; 9/2; ; ; 9/2; ; 9/2; ; 17/4; ; 19/5; ; ; ; ; 4; 39/10; ; ; 39/10; ; ; ; ; ; ; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-13 08:21:45 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; ; ; 4/6; ; 4/6; ; 4/6; ; 4/6; ; 13/20; ; ; 4/6; 11/17; ; 8/13; 11/17; ; ; 11/17; ; ; ; ; 
Draw; 11/4; 13/5; ; ; 11/4; ; 11/4; ; 14/5; ; 27/10; ; 27/10; ; ; 11/4; 45/17; ; 13/5; 45/17; ; ; 45/17; ; ; ; ; 
Leyton Orient; 4; 9/2; ; ; 9/2; ; 9/2; ; 17/4; ; 19/5; ; 17/4; ; ; 4; 41/10; ; 22/5; 41/10; ; ; 22/5; ; ; ; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-13 12:22:58 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; ; ; 4/6; ; 4/6; 8/13; 4/6; ; 4/6; 8/13; 13/20; ; ; 4/6; 11/17; ; 8/13; 11/17; ; ; 11/17; ; ; ; ; 
Draw; 11/4; 13/5; ; ; 11/4; ; 11/4; 11/4; 14/5; ; 27/10; 3; 27/10; ; ; 11/4; 45/17; ; 13/5; 45/17; ; ; 45/17; ; ; ; ; 
Leyton Orient; 4; 9/2; ; ; 9/2; ; 9/2; 4; 17/4; ; 19/5; 4; 17/4; ; ; 4; 41/10; ; 22/5; 41/10; ; ; 22/5; ; ; ; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-13 20:23:43 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; 13/20; ; 4/6; 8/13; 4/6; 4/7; 4/6; 4/6; 4/6; 8/13; 13/20; ; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; ; ; 11/17; 4/6; 11/17; ; ; ; 
Draw; 11/4; 13/5; 27/10; ; 3; 13/5; 3; 13/5; 14/5; 14/5; 27/10; 3; 11/4; ; 11/4; 14/5; 45/17; 14/5; 13/5; 45/17; ; ; 45/17; 11/4; 45/17; ; ; ; 
Leyton Orient; 4; 9/2; 19/5; ; 4; 15/4; 4; 4; 17/4; 4; 4; 4; 17/4; ; 17/4; 4; 41/10; 4; 22/5; 41/10; ; ; 22/5; 4; 22/5; ; ; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-14 00:21:53 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; 13/20; ; 4/6; 8/13; 4/6; 4/7; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; ; ; 11/17; 4/6; 11/17; ; 4/9; ; 
Draw; 11/4; 13/5; 27/10; ; 3; 13/5; 3; 13/5; 14/5; 14/5; 27/10; 11/4; 11/4; ; 11/4; 14/5; 45/17; 14/5; 13/5; 45/17; ; ; 45/17; 11/4; 45/17; ; 19/10; ; 
Leyton Orient; 4; 9/2; 19/5; ; 4; 15/4; 4; 4; 17/4; 4; 4; 4; 17/4; ; 17/4; 4; 41/10; 4; 22/5; 41/10; ; ; 22/5; 4; 22/5; ; 14/5; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-14 04:21:51 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; 13/20; ; 4/6; 8/13; 4/6; 4/7; 4/6; 4/6; 4/6; 4/6; 4/6; ; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; ; ; 11/17; 4/6; 11/17; ; 4/9; ; 
Draw; 11/4; 13/5; 27/10; ; 3; 13/5; 3; 13/5; 14/5; 14/5; 27/10; 11/4; 11/4; ; 11/4; 14/5; 45/17; 14/5; 13/5; 45/17; ; ; 45/17; 11/4; 45/17; ; 21/10; ; 
Leyton Orient; 4; 9/2; 19/5; ; 4; 15/4; 4; 4; 17/4; 4; 4; 4; 4; ; 17/4; 4; 41/10; 4; 22/5; 41/10; ; ; 22/5; 4; 22/5; ; 3; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-14 08:21:51 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; 13/20; ; 7/10; 8/13; 4/6; 4/7; 4/6; 4/6; 4/6; 4/6; 4/6; ; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; ; ; 11/17; 4/6; 11/17; ; 4/9; ; 
Draw; 11/4; 13/5; 27/10; ; 3; 13/5; 3; 13/5; 14/5; 14/5; 27/10; 11/4; 27/10; ; 11/4; 11/4; 45/17; 14/5; 13/5; 45/17; ; ; 45/17; 11/4; 45/17; ; 21/10; ; 
Leyton Orient; 4; 9/2; 19/5; ; 4; 15/4; 4; 4; 17/4; 4; 4; 4; 4; ; 17/4; 4; 41/10; 4; 22/5; 41/10; ; ; 22/5; 4; 22/5; ; 2/9; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-14 12:23:21 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; 13/20; 8/13; 4/6; 8/13; 4/6; 4/7; 4/6; 4/6; 4/6; 4/6; 4/6; ; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; ; ; 11/17; 4/6; 11/17; ; 4/9; ; 
Draw; 11/4; 11/4; 27/10; 13/5; 3; 13/5; 3; 13/5; 14/5; 14/5; 27/10; 11/4; 27/10; ; 11/4; 14/5; 45/17; 14/5; 13/5; 45/17; ; ; 45/17; 11/4; 45/17; ; 19/10; ; 
Leyton Orient; 4; 9/2; 19/5; 19/5; 4; 15/4; 4; 4; 17/4; 4; 4; 4; 4; ; 17/4; 9/2; 41/10; 4; 22/5; 41/10; ; ; 22/5; 4; 22/5; ; 2/9; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-14 16:22:30 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; 13/20; 8/13; ; 3/5; 8/13; 4/7; 4/6; 4/6; 4/6; 8/13; 13/20; ; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; ; 3/5; 11/17; 4/6; 11/17; ; 4/9; ; 
Draw; 11/4; 11/4; 27/10; 13/5; ; 27/10; 3; 13/5; 14/5; 14/5; 27/10; 14/5; 14/5; ; 11/4; 14/5; 45/17; 14/5; 13/5; 45/17; ; 27/10; 45/17; 11/4; 45/17; ; 11/5; ; 
Leyton Orient; 4; 9/2; 19/5; 19/5; ; 19/5; 22/5; 4; 17/4; 4; 4; 4; 4; ; 17/4; 9/2; 54/13; 4; 22/5; 54/13; ; 39/10; 22/5; 4; 22/5; ; 21/10; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-14 20:23:04 GMT+2; 2017-03-18 15:00; e70300-dr003
Doncaster; 4/6; 8/13; 13/20; 8/13; 4/6; 3/5; 13/20; 4/7; 4/6; 4/6; 4/6; 8/13; 13/20; ; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 7/10; 3/5; 11/17; 4/6; 11/17; ; 4/9; ; 
Draw; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 14/5; 13/5; 14/5; 14/5; 27/10; 14/5; 14/5; ; 11/4; 14/5; 27/10; 14/5; 13/5; 27/10; 57/20; 27/10; 45/17; 11/4; 45/17; ; 23/10; ; 
Leyton Orient; 4; 9/2; 19/5; 19/5; 9/2; 19/5; 9/2; 4; 17/4; 4; 4; 4; 4; ; 17/4; 9/2; 41/10; 4; 22/5; 41/10; 23/5; 39/10; 22/5; 4; 22/5; ; 11/5; ; 
META; english/league-2/leyton-orient-v-doncaster; 2017-03-15 00:21:42 GMT+2; 2017-03-18 15:00; e70300-dr003
