META; english/league-2/cambridge-v-blackpool; 2017-01-08 00:22:47 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Blackpool; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-blackpool; 2017-01-08 04:21:32 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Blackpool; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-blackpool; 2017-01-08 08:21:40 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Blackpool; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-blackpool; 2017-01-08 12:22:20 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Blackpool; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-blackpool; 2017-01-08 16:22:30 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 11/8; 7/5; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; 16/11; ; ; ; ; ; 29/20; ; ; ; ; ; ; 
Blackpool; 15/8; 9/5; ; ; ; ; 19/10; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; 101/50; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-blackpool; 2017-01-08 20:22:36 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 13/10; 7/5; 13/10; ; ; ; 11/8; ; 7/5; 13/10; 13/10; ; 13/10; ; ; 11/8; 5/4; ; ; ; 5/4; 29/20; ; ; ; ; ; ; 
Blackpool; 2; 9/5; 2; ; ; ; 2; ; 2; 2; 2; ; 2; ; ; 2; 37/19; ; ; ; 37/19; 101/50; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 11/5; ; ; ; 12/5; ; 12/5; 23/10; 11/5; ; 47/20; ; ; 12/5; 40/17; ; ; ; 40/17; 5/2; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-blackpool; 2017-01-09 00:21:30 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 13/10; 7/5; 27/20; ; 7/5; ; 11/8; ; 7/5; 13/10; 27/20; ; 13/10; ; ; 11/8; 23/17; ; ; ; 23/17; 29/20; ; ; ; ; ; ; 
Blackpool; 2; 9/5; 19/10; ; 2; ; 2; ; 2; 2; 19/10; ; 2; ; ; 2; 19/10; ; ; ; 19/10; 101/50; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 11/5; ; 12/5; ; 12/5; ; 12/5; 23/10; 11/5; ; 47/20; ; ; 12/5; 9/4; ; ; ; 9/4; 5/2; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-blackpool; 2017-01-09 04:21:14 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 13/10; 7/5; 27/20; 11/8; 7/5; ; 11/8; ; 7/5; 13/10; 27/20; ; 27/20; ; ; 7/5; 23/17; 11/8; ; 11/8; 23/17; 29/20; ; 11/8; ; ; ; ; 
Blackpool; 2; 9/5; 19/10; 2; 2; ; 2; ; 2; 2; 19/10; ; 39/20; ; ; 2; 19/10; 37/19; ; 19/10; 19/10; 101/50; ; 37/19; ; ; ; ; 
Draw; 12/5; 23/10; 11/5; 9/4; 12/5; ; 12/5; ; 12/5; 23/10; 11/5; ; 47/20; ; ; 12/5; 9/4; 9/4; ; 9/4; 9/4; 5/2; ; 9/4; ; ; ; ; 
META; english/league-2/cambridge-v-blackpool; 2017-01-09 08:21:22 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 13/10; 7/5; 27/20; 11/8; 7/5; ; 11/8; ; 7/5; 13/10; 27/20; ; 27/20; ; ; 7/5; 23/17; 11/8; ; 11/8; 23/17; 29/20; ; 11/8; ; ; ; ; 
Blackpool; 2; 9/5; 19/10; 2; 2; ; 2; ; 2; 2; 19/10; ; 39/20; ; ; 2; 19/10; 37/19; ; 19/10; 19/10; 101/50; ; 37/19; ; ; ; ; 
Draw; 12/5; 23/10; 11/5; 9/4; 12/5; ; 12/5; ; 12/5; 23/10; 11/5; ; 47/20; ; ; 12/5; 9/4; 9/4; ; 9/4; 9/4; 5/2; ; 9/4; ; ; ; ; 
META; english/league-2/cambridge-v-blackpool; 2017-01-09 12:21:44 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 7/5; 7/5; 7/5; 7/5; 6/4; 5/4; 29/20; 13/10; 7/5; 13/10; 7/5; ; 7/5; ; 7/5; 16/11; 23/17; 11/8; 7/5; 11/8; 23/17; 29/20; 13/10; 11/8; ; ; ; 13/10; 
Blackpool; 15/8; 19/10; 37/20; 19/10; 19/10; 20/11; 15/8; 17/10; 15/8; 2; 9/5; ; 19/10; ; 19/10; 15/8; 19/10; 37/19; 19/10; 19/10; 19/10; 101/50; 7/4; 37/19; ; ; ; 19/10; 
Draw; 23/10; 12/5; 11/5; 23/10; 12/5; 11/5; 12/5; 11/5; 23/10; 23/10; 11/5; ; 23/10; ; 23/10; 12/5; 9/4; 9/4; 9/4; 9/4; 9/4; 5/2; 12/5; 9/4; ; ; ; 9/4; 
META; english/league-2/cambridge-v-blackpool; 2017-01-09 16:22:19 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 7/5; 7/5; 7/5; 7/5; 6/4; 5/4; 29/20; 13/10; 7/5; 7/5; 7/5; 7/5; 7/5; ; 7/5; 16/11; 7/5; 11/8; 7/5; 11/8; 7/5; 6/4; 13/10; 11/8; 7/5; ; 11/8; 7/5; 
Blackpool; 15/8; 19/10; 37/20; 19/10; 19/10; 20/11; 15/8; 17/10; 15/8; 19/10; 9/5; 8/5; 19/10; ; 19/10; 15/8; 24/13; 37/19; 19/10; 19/10; 24/13; 97/50; 7/4; 37/19; 15/8; ; 19/10; 19/10; 
Draw; 23/10; 12/5; 11/5; 23/10; 12/5; 11/5; 12/5; 11/5; 23/10; 23/10; 11/5; 21/10; 23/10; ; 23/10; 12/5; 9/4; 9/4; 9/4; 9/4; 9/4; 5/2; 12/5; 9/4; 9/4; ; 9/4; 9/4; 
META; english/league-2/cambridge-v-blackpool; 2017-01-09 20:22:03 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 7/5; 7/5; 7/5; 7/5; 6/4; 5/4; 29/20; 13/10; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 16/11; 7/5; 7/5; 11/8; 7/5; 6/4; 13/10; 11/8; 7/5; ; 7/5; 7/5; 
Blackpool; 15/8; 19/10; 37/20; 19/10; 19/10; 20/11; 15/8; 17/10; 15/8; 19/10; 9/5; 8/5; 19/10; 15/8; 19/10; 15/8; 24/13; 19/10; 19/10; 24/13; 97/50; 7/4; 37/19; 15/8; ; 19/10; 19/10; 
Draw; 23/10; 12/5; 11/5; 23/10; 12/5; 11/5; 12/5; 11/5; 23/10; 23/10; 11/5; 21/10; 23/10; 23/10; 23/10; 12/5; 9/4; 9/4; 9/4; 9/4; 5/2; 12/5; 9/4; 9/4; ; 9/4; 9/4; 
META; english/league-2/cambridge-v-blackpool; 2017-01-10 00:21:48 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 7/5; 7/5; 7/5; 7/5; 6/4; 5/4; 29/20; 13/10; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 16/11; 7/5; 7/5; 11/8; 7/5; 6/4; 13/10; 11/8; 7/5; ; 7/5; 7/5; 
Blackpool; 15/8; 19/10; 37/20; 19/10; 19/10; 20/11; 15/8; 17/10; 15/8; 19/10; 9/5; 8/5; 19/10; 15/8; 19/10; 15/8; 24/13; 19/10; 19/10; 24/13; 197/100; 9/5; 37/19; 15/8; ; 19/10; 19/10; 
Draw; 23/10; 23/10; 11/5; 23/10; 12/5; 11/5; 12/5; 11/5; 23/10; 23/10; 11/5; 21/10; 23/10; 23/10; 23/10; 12/5; 9/4; 9/4; 9/4; 9/4; 123/50; 23/10; 9/4; 9/4; ; 9/4; 9/4; 
META; english/league-2/cambridge-v-blackpool; 2017-01-10 04:21:45 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 7/5; 7/5; 7/5; 7/5; 6/4; 5/4; 29/20; 13/10; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 16/11; 7/5; 7/5; 11/8; 7/5; 6/4; 13/10; 11/8; 7/5; ; 7/5; 7/5; 
Blackpool; 15/8; 19/10; 37/20; 19/10; 19/10; 20/11; 15/8; 17/10; 15/8; 19/10; 9/5; 8/5; 19/10; 15/8; 19/10; 15/8; 24/13; 19/10; 19/10; 24/13; 197/100; 9/5; 37/19; 15/8; ; 19/10; 19/10; 
Draw; 23/10; 23/10; 11/5; 23/10; 12/5; 11/5; 12/5; 11/5; 23/10; 23/10; 11/5; 21/10; 23/10; 23/10; 23/10; 12/5; 9/4; 9/4; 9/4; 9/4; 123/50; 23/10; 9/4; 9/4; ; 9/4; 9/4; 
META; english/league-2/cambridge-v-blackpool; 2017-01-10 08:21:58 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 7/5; 7/5; 7/5; 7/5; 6/4; 13/10; 29/20; 13/10; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 16/11; 7/5; 7/5; 11/8; 7/5; 6/4; 13/10; 11/8; 7/5; ; 7/5; ; 
Blackpool; 15/8; 19/10; 37/20; 19/10; 19/10; 9/5; 15/8; 17/10; 15/8; 19/10; 9/5; 8/5; 19/10; 15/8; 19/10; 15/8; 24/13; 19/10; 19/10; 24/13; 197/100; 9/5; 37/19; 15/8; ; 19/10; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 12/5; 43/20; 12/5; 11/5; 23/10; 23/10; 11/5; 21/10; 23/10; 23/10; 23/10; 12/5; 9/4; 9/4; 9/4; 9/4; 123/50; 23/10; 9/4; 9/4; ; 9/4; ; 
META; english/league-2/cambridge-v-blackpool; 2017-01-10 12:22:13 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 7/5; 7/5; 7/5; 7/5; 6/4; 13/10; 29/20; 13/10; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 16/11; 7/5; 7/5; 11/8; 7/5; 6/4; 13/10; 11/8; 6/4; ; 7/5; 7/5; 
Blackpool; 15/8; 19/10; 37/20; 15/8; 19/10; 9/5; 15/8; 17/10; 15/8; 15/8; 9/5; 8/5; 15/8; 15/8; 19/10; 15/8; 9/5; 19/10; 19/10; 9/5; 197/100; 9/5; 19/10; 9/5; ; 19/10; 19/10; 
Draw; 23/10; 12/5; 11/5; 12/5; 12/5; 43/20; 12/5; 11/5; 23/10; 23/10; 11/5; 21/10; 47/20; 23/10; 23/10; 12/5; 9/4; 9/4; 23/10; 9/4; 123/50; 23/10; 40/17; 9/4; ; 9/4; 9/4; 
META; english/league-2/cambridge-v-blackpool; 2017-01-10 16:22:31 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 7/5; 7/5; 7/5; 6/4; 6/4; 27/20; 29/20; 13/10; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 16/11; 7/5; 7/5; 11/8; 7/5; 77/50; 13/10; 11/8; 7/5; ; 7/5; 7/5; 
Blackpool; 15/8; 19/10; 37/20; 19/10; 19/10; 7/4; 19/10; 17/10; 15/8; 19/10; 9/5; 8/5; 19/10; 15/8; 19/10; 15/8; 24/13; 19/10; 19/10; 24/13; 49/25; 9/5; 19/10; 15/8; ; 19/10; 19/10; 
Draw; 23/10; 12/5; 43/20; 11/5; 12/5; 43/20; 12/5; 11/5; 23/10; 9/4; 21/10; 21/10; 23/10; 23/10; 23/10; 12/5; 11/5; 9/4; 23/10; 11/5; 12/5; 23/10; 40/17; 11/5; ; 11/5; 11/5; 
META; english/league-2/cambridge-v-blackpool; 2017-01-10 20:22:24 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 7/5; 7/5; 7/5; 6/4; 6/4; 27/20; 29/20; 13/10; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 16/11; 7/5; 7/5; 11/8; 7/5; 77/50; 13/10; 11/8; 7/5; ; 7/5; 7/5; 
Blackpool; 15/8; 19/10; 37/20; 19/10; 19/10; 7/4; 19/10; 17/10; 15/8; 19/10; 9/5; 8/5; 19/10; 15/8; 19/10; 15/8; 24/13; 19/10; 19/10; 24/13; 49/25; 9/5; 19/10; 15/8; ; 19/10; 19/10; 
Draw; 23/10; 23/10; 43/20; 11/5; 12/5; 43/20; 12/5; 11/5; 23/10; 9/4; 21/10; 21/10; 23/10; 23/10; 23/10; 12/5; 11/5; 9/4; 23/10; 11/5; 12/5; 23/10; 40/17; 11/5; ; 11/5; 11/5; 
META; english/league-2/cambridge-v-blackpool; 2017-01-11 00:21:47 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 7/5; 7/5; 7/5; 6/4; 6/4; 27/20; 29/20; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 16/11; 7/5; 7/5; 11/8; 7/5; 77/50; 13/10; 11/8; 7/5; ; 7/5; 27/20; 
Blackpool; 15/8; 19/10; 37/20; 19/10; 19/10; 7/4; 19/10; 15/8; 15/8; 19/10; 9/5; 8/5; 19/10; 15/8; 19/10; 15/8; 24/13; 19/10; 19/10; 24/13; 49/25; 9/5; 19/10; 15/8; ; 19/10; 19/10; 
Draw; 23/10; 23/10; 43/20; 11/5; 12/5; 43/20; 12/5; 9/4; 23/10; 9/4; 21/10; 21/10; 23/10; 23/10; 23/10; 12/5; 11/5; 9/4; 23/10; 11/5; 12/5; 23/10; 40/17; 11/5; ; 11/5; 11/5; 
META; english/league-2/cambridge-v-blackpool; 2017-01-11 04:21:50 GMT+2; 2017-01-14 15:00; e70300-dr003
Cambridge; 7/5; 7/5; 7/5; 6/4; 6/4; 27/20; 29/20; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 16/11; 7/5; 7/5; 11/8; 7/5; 77/50; 13/10; 11/8; 7/5; ; 7/5; 27/20; 
