META; english/league-2/plymouth-v-stevenage; 2017-01-08 00:23:07 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stevenage; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-08 04:21:52 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stevenage; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stevenage; 13/5; 14/5; 13/5; 13/5; 11/4; 13/5; 13/5; 11/4; 11/4; 13/5; 5/2; 5/2; 53/20; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 57/20; 12/5; 45/17; 13/5; ; 14/5; 27/10; 
META; english/league-2/plymouth-v-stevenage; 2017-01-11 08:22:07 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 19/20; 1; 20/21; 21/20; 10/11; 21/20; 10/11; 21/20; 1; 1; 5/6; 19/20; 1; 1; 1; 19/20; 1; 20/21; 19/20; 103/100; 19/20; 39/40; 1; ; 1; ; 
Draw; 5/2; 5/2; 47/20; 13/5; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 23/10; 12/5; 51/20; 5/2; 5/2; 5/2; 27/11; 12/5; 12/5; 27/11; 133/50; 5/2; 27/11; 12/5; ; 12/5; ; 
Stevenage; 13/5; 14/5; 13/5; 13/5; 11/4; 13/5; 13/5; 11/4; 11/4; 13/5; 5/2; 5/2; 53/20; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 57/20; 12/5; 45/17; 13/5; ; 11/4; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-11 12:23:04 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 1; 1; 20/21; 1; 10/11; 1; 10/11; 21/20; 1; 1; 5/6; 19/20; 1; 1; 1; 19/20; 1; 20/21; 19/20; 103/100; 19/20; 39/40; 1; ; 1; 20/21; 
Draw; 5/2; 5/2; 47/20; 13/5; 13/5; 23/10; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 51/20; 5/2; 5/2; 13/5; 27/11; 12/5; 12/5; 27/11; 133/50; 5/2; 27/11; 12/5; ; 12/5; 21/10; 
Stevenage; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 11/4; 11/4; 11/4; 13/5; 13/5; 5/2; 53/20; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 57/20; 12/5; 45/17; 13/5; ; 11/4; 12/5; 
META; english/league-2/plymouth-v-stevenage; 2017-01-11 16:25:03 GMT+2; 2017-01-14 15:00; e70300-dr003
