META; english/league-2/blackpool-v-carlisle; 2016-09-11 04:21:33 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; ; 3/2; ; ; 8/5; ; 8/5; ; ; ; ; 8/5; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; 
Carlisle; ; 17/10; ; ; 7/4; ; 9/5; ; ; ; ; 7/4; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; 9/4; ; 9/4; ; ; ; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/blackpool-v-carlisle; 2016-09-11 08:21:46 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; ; 3/2; ; ; 8/5; ; 8/5; ; ; ; ; 8/5; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; 
Carlisle; ; 17/10; ; ; 7/4; ; 9/5; ; ; ; ; 7/4; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; 9/4; ; 9/4; ; ; ; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/blackpool-v-carlisle; 2016-09-11 12:23:50 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; 6/4; 3/2; ; ; 8/5; ; 8/5; ; ; ; ; 8/5; ; ; ; ; 8/5; ; ; ; ; ; 28/17; ; ; ; ; ; 
Carlisle; 9/5; 17/10; ; 9/5; 7/4; ; 9/5; ; 9/5; 9/5; ; 7/4; ; 9/5; 7/4; ; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10; ; 9/5; ; 13/8; ; 
Draw; 9/4; 9/4; ; 21/10; 9/4; ; 9/4; ; 23/10; 9/4; ; 11/5; ; 9/4; 23/10; ; 9/4; 11/5; 9/4; ; 9/4; 11/5; 23/10; ; 9/4; ; 11/5; ; 
META; english/league-2/blackpool-v-carlisle; 2016-09-12 16:22:24 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; 31/20; 8/5; 31/20; 7/4; 8/5; 6/4; 13/8; 6/4; 13/8; 6/4; 13/8; 31/20; 8/5; 31/20; 13/8; 17/10; 17/11; 17/11; 6/4; 6/4; 6/4; 17/11; 19/11; ; 8/5; ; 6/4; ; 
Carlisle; 7/4; 7/4; 17/10; 7/4; 7/4; 13/8; 7/4; 6/4; 9/5; 19/10; 17/10; 7/4; 13/8; 7/4; 7/4; 17/10; 9/5; 17/10; 19/10; 8/5; 19/10; 17/10; 29/16; ; 7/4; ; 13/8; ; 
Draw; 9/4; 11/5; 43/20; 2; 9/4; 21/10; 23/10; 21/10; 23/10; 28/13; 23/10; 9/4; 21/10; 9/4; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 23/10; ; 21/10; ; 11/5; ; 
META; english/league-2/blackpool-v-carlisle; 2016-09-12 20:23:04 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; 17/10; 17/10; 33/20; 7/4; 8/5; 8/5; 17/10; 6/4; 13/8; 28/17; 17/10; 17/10; 8/5; 33/20; 17/10; 17/10; 7/4; 28/17; 28/17; 6/4; 13/8; 28/17; 19/11; 23/15; 7/4; ; 13/8; 13/8; 
Carlisle; 8/5; 13/8; 31/20; 13/8; 7/4; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; 13/8; 13/8; 13/8; 17/10; 8/5; 8/5; 7/4; 8/5; 7/4; 8/5; 29/16; 13/8; 13/8; ; 13/8; 6/4; 
Draw; 9/4; 9/4; 43/20; 21/10; 9/4; 21/10; 23/10; 21/10; 23/10; 28/13; 11/5; 9/4; 21/10; 9/4; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 23/10; 23/10; 11/5; ; 11/5; 2; 
