META; english/league-2/newport-county-v-morecambe; 2016-12-04 04:22:37 GMT+2; 2016-12-10 15:00; e70300-dr003
Morecambe; 3; 13/5; 11/4; 14/5; 11/4; ; 14/5; ; 14/5; 14/5; 3; ; 57/20; 3; 14/5; 3; 11/4; 11/4; ; 11/4; 11/4; 13/4; ; 11/4; 14/5; ; 11/4; ; 
META; english/league-2/newport-county-v-morecambe; 2016-12-05 12:23:03 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; 10/11; 10/11; 10/11; 20/21; 10/11; 17/20; 19/20; 4/5; 10/11; 10/11; 10/11; 19/20; 10/11; 10/11; 19/20; 19/20; 19/20; 19/20; ; 20/21; 19/20; 19/20; 10/11; 19/20; 19/20; ; 10/11; 20/21; 
Draw; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 13/5; 23/10; 13/5; 13/5; 12/5; 5/2; 51/20; 12/5; 5/2; 13/5; 12/5; 5/2; ; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; ; 12/5; 5/2; 
Morecambe; 3; 13/5; 11/4; 14/5; 11/4; 27/10; 29/10; 14/5; 14/5; 14/5; 3; 14/5; 57/20; 3; 14/5; 3; 11/4; 11/4; ; 11/4; 11/4; 13/4; 14/5; 11/4; 14/5; ; 11/4; 13/5; 
META; english/league-2/newport-county-v-morecambe; 2016-12-05 16:22:17 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; 10/11; 10/11; 10/11; 20/21; 10/11; 17/20; 20/21; 4/5; 10/11; 10/11; 10/11; 19/20; 10/11; 10/11; 19/20; 19/20; 10/11; 11/12; 9/10; 10/11; 10/11; 19/20; 10/11; 11/12; 19/20; ; 20/21; 20/21; 
Draw; 12/5; 5/2; 12/5; 12/5; 13/5; 23/10; 13/5; 23/10; 13/5; 5/2; 12/5; 5/2; 51/20; 12/5; 5/2; 13/5; 27/11; 13/5; 23/10; 13/5; 27/11; 13/5; 12/5; 13/5; 12/5; ; 5/2; 5/2; 
Morecambe; 3; 14/5; 11/4; 14/5; 11/4; 27/10; 14/5; 14/5; 14/5; 14/5; 3; 14/5; 57/20; 3; 14/5; 3; 11/4; 14/5; 27/10; 14/5; 11/4; 13/4; 14/5; 14/5; 14/5; ; 11/4; 13/5; 
META; english/league-2/newport-county-v-morecambe; 2016-12-05 20:22:50 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; 10/11; 10/11; 10/11; 20/21; 10/11; 17/20; 19/20; 4/5; 10/11; 10/11; 19/20; 19/20; 10/11; 10/11; 19/20; 19/20; 10/11; 11/12; 9/10; 10/11; 10/11; 19/20; 10/11; 11/12; 19/20; ; 10/11; 20/21; 
Draw; 12/5; 5/2; 12/5; 12/5; 13/5; 23/10; 13/5; 23/10; 13/5; 5/2; 5/2; 5/2; 51/20; 12/5; 5/2; 13/5; 27/11; 13/5; 23/10; 13/5; 27/11; 13/5; 12/5; 13/5; 12/5; ; 12/5; 5/2; 
Morecambe; 3; 3; 11/4; 14/5; 11/4; 27/10; 29/10; 14/5; 14/5; 14/5; 3; 14/5; 57/20; 3; 14/5; 3; 14/5; 14/5; 27/10; 14/5; 14/5; 13/4; 14/5; 14/5; 14/5; ; 11/4; 13/5; 
META; english/league-2/newport-county-v-morecambe; 2016-12-06 00:22:11 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; 10/11; 19/20; 1; 1; 10/11; 10/11; 1; 4/5; 1; 20/21; 19/20; 19/20; 19/20; 19/20; 19/20; 19/20; 19/20; 11/12; 9/10; 10/11; 19/20; 21/20; 19/20; 11/12; 1; ; 10/11; 20/21; 
Draw; 12/5; 5/2; 47/20; 5/2; 13/5; 23/10; 13/5; 23/10; 5/2; 5/2; 5/2; 5/2; 51/20; 12/5; 5/2; 13/5; 27/11; 13/5; 23/10; 13/5; 27/11; 53/20; 12/5; 13/5; 12/5; ; 12/5; 5/2; 
Morecambe; 3; 11/4; 13/5; 11/4; 11/4; 13/5; 27/10; 14/5; 14/5; 13/5; 11/4; 14/5; 27/10; 3; 14/5; 3; 45/17; 14/5; 27/10; 14/5; 45/17; 139/50; 13/5; 14/5; 13/5; ; 11/4; 13/5; 
META; english/league-2/newport-county-v-morecambe; 2016-12-06 04:22:05 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; 10/11; 19/20; 1; 1; 10/11; 10/11; 1; 4/5; 1; 20/21; 19/20; 19/20; 19/20; 19/20; 19/20; 19/20; 19/20; 11/12; 9/10; 10/11; ; 21/20; 19/20; 11/12; 1; ; 20/21; 20/21; 
Draw; 12/5; 5/2; 47/20; 5/2; 13/5; 23/10; 13/5; 23/10; 5/2; 5/2; 5/2; 5/2; 51/20; 12/5; 5/2; 13/5; 27/11; 13/5; 23/10; 13/5; ; 53/20; 12/5; 13/5; 12/5; ; 23/10; 12/5; 
Morecambe; 3; 11/4; 13/5; 11/4; 11/4; 13/5; 27/10; 14/5; 14/5; 13/5; 11/4; 14/5; 27/10; 3; 14/5; 3; 45/17; 14/5; 27/10; 14/5; ; 139/50; 13/5; 14/5; 13/5; ; 14/5; 27/10; 
META; english/league-2/newport-county-v-morecambe; 2016-12-06 08:21:57 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; 10/11; 19/20; 1; 1; 10/11; 10/11; 1; 4/5; 1; 20/21; 19/20; 19/20; 19/20; 19/20; 19/20; 19/20; 19/20; 11/12; 9/10; 10/11; 19/20; 21/20; 19/20; 11/12; 1; ; 20/21; 4/5; 
Draw; 12/5; 5/2; 47/20; 5/2; 13/5; 23/10; 13/5; 23/10; 5/2; 5/2; 5/2; 5/2; 51/20; 12/5; 5/2; 13/5; 27/11; 13/5; 23/10; 13/5; 27/11; 53/20; 12/5; 13/5; 12/5; ; 12/5; 12/5; 
Morecambe; 3; 11/4; 13/5; 13/5; 11/4; 13/5; 27/10; 14/5; 14/5; 13/5; 11/4; 14/5; 27/10; 3; 14/5; 3; 45/17; 14/5; 27/10; 14/5; 45/17; 139/50; 13/5; 14/5; 13/5; ; 14/5; 12/5; 
