Crewe; 8/5; 3/2; ; 13/8; 8/5; 6/4; 17/10; ; 13/8; 8/5; ; 8/5; ; ; ; ; 8/5; 8/5; ; 8/5; ; ; ; ; 1/4; ; 
Newport County; 8/5; 13/8; ; 17/10; 13/8; 6/4; 17/10; ; 13/8; 8/5; ; 8/5; ; ; ; ; 8/5; 8/5; ; 8/5; ; ; ; ; 20/21; ; 
Draw; 12/5; 23/10; ; 9/4; 23/10; 23/10; 12/5; ; 12/5; 12/5; ; 21/10; ; ; ; ; 12/5; 12/5; ; 12/5; ; ; ; ; 7/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-15 20:22:14 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 8/5; 13/8; ; 13/8; 13/8; 6/4; 17/10; 6/4; 13/8; 8/5; ; 8/5; 6/4; 8/5; ; ; 8/5; 8/5; ; 8/5; 17/11; ; ; ; 1; ; 
Crewe; 8/5; 3/2; ; 13/8; 8/5; 6/4; 17/10; 6/4; 13/8; 8/5; ; 8/5; 7/4; 8/5; ; ; 8/5; 8/5; ; 8/5; 8/5; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; 23/10; 23/10; 23/10; 12/5; 21/10; 12/5; 12/5; ; 21/10; 21/10; 47/20; ; ; 12/5; 12/5; ; 12/5; 40/17; ; ; ; 6/4; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-16 00:21:25 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 8/5; 13/8; ; 13/8; 13/8; 6/4; 17/10; 6/4; 13/8; 8/5; ; 8/5; 6/4; 8/5; ; ; 8/5; 8/5; ; 8/5; 17/11; ; ; ; 10/11; ; 
Crewe; 8/5; 3/2; ; 13/8; 8/5; 6/4; 17/10; 6/4; 13/8; 8/5; ; 8/5; 7/4; 8/5; ; ; 8/5; 8/5; ; 8/5; 8/5; ; ; ; 10/11; ; 
Draw; 12/5; 23/10; ; 23/10; 23/10; 23/10; 12/5; 21/10; 12/5; 12/5; ; 21/10; 21/10; 47/20; ; ; 12/5; 12/5; ; 12/5; 23/10; ; ; ; 6/4; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-16 04:21:17 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 8/5; 13/8; ; 13/8; 13/8; 6/4; 17/10; 6/4; 13/8; 8/5; ; 8/5; 6/4; 8/5; ; ; 8/5; 8/5; 17/11; 8/5; 17/11; ; ; ; 1; ; 
Crewe; 8/5; 3/2; ; 13/8; 8/5; 6/4; 17/10; 6/4; 13/8; 8/5; ; 8/5; 7/4; 8/5; ; ; 8/5; 8/5; 8/5; 8/5; 8/5; ; ; ; 1/4; ; 
Draw; 12/5; 23/10; ; 23/10; 23/10; 23/10; 12/5; 21/10; 12/5; 12/5; ; 21/10; 21/10; 47/20; ; ; 12/5; 12/5; 21/10; 12/5; 23/10; ; ; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-16 08:21:33 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 8/5; 13/8; ; 13/8; 13/8; 6/4; 17/10; 6/4; 13/8; 8/5; ; 8/5; 6/4; 8/5; ; ; 8/5; 8/5; 17/11; 8/5; 17/11; ; ; ; 1; ; 
Crewe; 8/5; 3/2; ; 13/8; 8/5; 6/4; 17/10; 6/4; 13/8; 8/5; ; 8/5; 7/4; 8/5; ; ; 8/5; 8/5; 8/5; 8/5; 8/5; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; 23/10; 23/10; 23/10; 12/5; 21/10; 12/5; 12/5; ; 21/10; 21/10; 47/20; ; ; 12/5; 12/5; 21/10; 12/5; 23/10; ; ; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-16 12:22:45 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 8/5; 13/8; ; 13/8; 13/8; 6/4; 17/10; 6/4; 13/8; 8/5; ; 8/5; 6/4; 8/5; ; ; 8/5; 8/5; 17/11; ; 17/11; ; ; ; 1; ; 
Crewe; 8/5; 3/2; ; 13/8; 8/5; 6/4; 17/10; 6/4; 13/8; 8/5; ; 8/5; 7/4; 8/5; ; ; 8/5; 8/5; 8/5; ; 8/5; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; 23/10; 23/10; 23/10; 12/5; 21/10; 12/5; 12/5; ; 21/10; 21/10; 47/20; ; ; 12/5; 12/5; 21/10; ; 23/10; ; ; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-16 16:23:06 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 8/5; 13/8; ; 13/8; 13/8; 6/4; 17/10; 6/4; 13/8; ; ; 8/5; 6/4; 8/5; ; ; 8/5; 8/5; 17/11; 8/5; 17/11; ; ; ; 1; ; 
Crewe; 8/5; 3/2; ; 13/8; 8/5; 6/4; 17/10; 6/4; 13/8; ; ; 8/5; 7/4; 8/5; ; ; 8/5; 8/5; 8/5; 8/5; 8/5; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; 23/10; 23/10; 23/10; 12/5; 21/10; 12/5; ; ; 21/10; 21/10; 47/20; ; ; 12/5; 12/5; 21/10; 12/5; 23/10; ; ; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-16 20:22:39 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 8/5; 13/8; ; 13/8; 13/8; 6/4; 17/10; 8/5; 13/8; 8/5; ; 8/5; 6/4; 8/5; 8/5; ; 8/5; 8/5; 17/11; 8/5; 17/11; ; ; ; 1; ; 
Crewe; 8/5; 3/2; ; 13/8; 8/5; 6/4; 17/10; 8/5; 13/8; 8/5; ; 8/5; 7/4; 8/5; 13/8; ; 8/5; 8/5; 8/5; 8/5; 8/5; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; ; 21/10; 21/10; 47/20; 9/4; ; 12/5; 12/5; 21/10; 12/5; 9/4; ; ; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-17 00:21:17 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 8/5; 13/8; ; 13/8; 13/8; 6/4; 17/10; 8/5; 13/8; 8/5; ; 8/5; 6/4; 8/5; 8/5; ; 8/5; 8/5; 17/11; 8/5; 17/11; ; ; ; 1; ; 
Crewe; 8/5; 3/2; ; 13/8; 8/5; 6/4; 17/10; 8/5; 13/8; 8/5; ; 8/5; 7/4; 8/5; 13/8; ; 8/5; 8/5; 8/5; 8/5; 8/5; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; ; 21/10; 21/10; 47/20; 9/4; ; 12/5; 12/5; 21/10; 12/5; 23/10; ; ; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-17 04:20:13 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 8/5; 13/8; ; 13/8; 13/8; 6/4; 17/10; 8/5; 13/8; 17/11; ; 8/5; 6/4; 8/5; 8/5; ; 8/5; 17/11; 17/11; 6/4; 17/11; ; ; ; 1; ; 
Crewe; 8/5; 3/2; ; 13/8; 8/5; 6/4; 17/10; 8/5; 13/8; 28/17; ; 8/5; 7/4; 13/8; 13/8; ; 8/5; 28/17; 8/5; 13/8; 28/17; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; ; 21/10; 21/10; 47/20; 9/4; ; 12/5; 12/5; 21/10; 12/5; 23/10; ; ; ; 11/5; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-17 08:20:08 GMT+3; 2016-08-20 15:00; e70300-dr003
Newport County; 8/5; 13/8; ; 13/8; 13/8; 6/4; 17/10; 8/5; 13/8; 17/11; ; 8/5; 6/4; 8/5; 8/5; ; 8/5; 17/11; 17/11; 6/4; 17/11; ; ; ; 1; ; 
Crewe; 8/5; 3/2; ; 13/8; 8/5; 6/4; 17/10; 8/5; 13/8; 28/17; ; 8/5; 7/4; 13/8; 13/8; ; 8/5; 28/17; 8/5; 13/8; 28/17; ; ; ; 1; ; 
