META; english/league-2/cambridge-utd-v-leyton-orient; 2017-04-03 00:18:40 GMT+3; 2017-04-08 15:00; e70300-dr003
Cambridge Utd; 4/7; ; ; ; ; ; ; ; 4/7; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Cambridge United; ; ; ; ; 4/7; ; 11/20; ; ; ; ; ; ; ; ; 4/7; 4/7; ; 4/7; 4/7; 31/50; ; 4/7; ; 4/7; ; ; ; 
Draw; 14/5; ; ; ; 3; ; 31/10; ; 14/5; ; 14/5; ; ; ; ; 3; 11/4; ; 11/4; 11/4; 3; ; 11/4; ; 11/4; ; 9/5; ; 
Leyton Orient; 5; ; ; ; 11/2; ; 21/4; ; 21/4; ; 19/4; ; ; ; ; 5; 49/10; ; 26/5; 49/10; 53/10; ; 21/4; ; 21/4; ; 1/5; ; 
META; english/league-2/cambridge-utd-v-leyton-orient; 2017-04-05 11:28:47 GMT+3; 2017-04-08 15:00; e70300-dr003
Cambridge Utd; 1/2; ; ; ; ; ; ; ; 1/2; ; 4/9; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Cambridge United; ; ; 40/85; ; 1/2; ; 1/2; 8/15; ; 10/21; ; 4/9; 12/25; ; ; 1/2; 7/15; 1/2; 4/9; 7/15; 13/25; 5/11; 17/35; ; 17/35; ; ; ; 1/2
Draw; 14/5; ; 3; ; 16/5; ; 16/5; 11/4; 10/3; 16/5; 3; 10/3; 3; 16/5; 10/3; 31/10; 31/10; 3; 14/5; 31/10; 17/5; 16/5; 56/19; ; 56/19; ; 3; ; 10/3
Leyton Orient; 6; ; 11/2; ; 6; ; 6; 4; 11/2; 11/2; 11/2; 6; 6; 6; 11/2; 11/2; 57/10; 11/2; 6; 57/10; 6; 49/10; 6; ; 6; ; 29/5; ; 31/5
META; english/league-2/cambridge-utd-v-leyton-orient; 2017-04-05 16:22:11 GMT+3; 2017-04-08 15:00; e70300-dr003
Cambridge United; ; ; 40/85; ; 1/2; ; 1/2; 4/9; ; 10/21; ; 4/9; 9/20; ; ; 1/2; 7/15; 1/2; 4/9; 7/15; 13/25; 5/11; 17/35; ; 17/35; ; ; ; 1/2
Draw; 3; 3; 3; ; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 3; 10/3; 16/5; 16/5; 10/3; 31/10; 31/10; 3; 14/5; 31/10; 17/5; 16/5; 56/19; ; 56/19; ; 3; 3; 10/3
Leyton Orient; 7; 6; 11/2; ; 13/2; 5; 6; 11/2; 11/2; 11/2; 11/2; 6; 13/2; 13/2; 11/2; 6; 29/5; 11/2; 6; 29/5; 6; 49/10; 6; ; 6; ; 29/5; 6; 32/5
META; english/league-2/cambridge-utd-v-leyton-orient; 2017-04-06 11:25:04 GMT+3; 2017-04-08 15:00; e70300-dr003
Cambridge United; ; ; 4/9; ; 1/2; ; 1/2; 4/9; ; 10/21; ; 4/9; 12/25; ; ; 1/2; 5/11; 1/2; 4/9; 5/11; 13/25; 5/12; 17/35; ; 17/35; ; ; ; 4/9
Draw; 3; 16/5; 3; ; 16/5; 3; 16/5; 16/5; 10/3; 16/5; 3; 16/5; 16/5; 16/5; 10/3; 16/5; 16/5; 3; 14/5; 16/5; 17/5; 33/10; 56/19; ; 56/19; ; 3; 3; 7/2
Leyton Orient; 7; 6; 6; ; 13/2; 11/2; 6; 6; 6; 6; 6; 13/2; 6; 13/2; 6; 6; 6; 11/2; 6; 6; 6; 26/5; 6; ; 6; ; 6; 31/5; 33/5
META; english/league-2/cambridge-utd-v-leyton-orient; 2017-04-06 16:07:12 GMT+3; 2017-04-08 15:00; e70300-dr003
Cambridge United; ; ; 4/9; ; 1/2; ; 1/2; 4/9; ; 10/21; ; 4/9; 12/25; ; ; 4/9; 5/11; 1/2; 4/9; 5/11; 13/25; 5/12; 17/35; ; 17/35; ; ; ; 4/9
Draw; 3; 16/5; 3; ; 16/5; 3; 16/5; 16/5; 10/3; 16/5; 3; 16/5; 16/5; 16/5; 10/3; 31/10; 16/5; 3; 14/5; 16/5; 17/5; 33/10; 56/19; ; 56/19; ; 3; 3; 7/2
Leyton Orient; 7; 13/2; 6; ; 13/2; 11/2; 6; 6; 6; 6; 6; 13/2; 6; 13/2; 6; 13/2; 25/4; 11/2; 6; 25/4; 6; 26/5; 6; ; 6; ; 6; 31/5; 33/5
META; english/league-2/cambridge-utd-v-leyton-orient; 2017-04-06 20:07:35 GMT+3; 2017-04-08 15:00; e70300-dr003
Cambridge United; ; ; 4/9; ; 1/2; ; 1/2; 4/9; ; 10/21; ; 4/9; 12/25; ; ; 4/9; 5/11; 1/2; 4/9; 5/11; 49/100; 4/9; 17/35; ; 17/35; ; ; ; 4/9
Draw; 3; 16/5; 3; ; 16/5; 14/5; 16/5; 16/5; 10/3; 16/5; 3; 16/5; 16/5; 17/5; 10/3; 31/10; 16/5; 3; 14/5; 16/5; 37/10; 3; 56/19; ; 56/19; ; 3; 3; 7/2
Leyton Orient; 7; 13/2; 6; ; 13/2; 11/2; 6; 6; 6; 6; 6; 13/2; 6; 7; 6; 13/2; 6; 11/2; 6; 6; 6; 7; 6; ; 6; ; 31/5; 31/5; 33/5
META; english/league-2/cambridge-utd-v-leyton-orient; 2017-04-07 13:08:58 GMT+3; 2017-04-08 15:00; e70300-dr003
Cambridge United; ; ; 40/85; ; 1/2; ; 1/2; 4/9; ; 4/9; ; 4/9; 12/25; ; ; 1/2; 4/9; 1/2; 4/9; 4/9; 49/100; 6/13; 17/35; ; 17/35; ; ; ; 4/9
Draw; 7/2; 16/5; 17/5; ; 10/3; 3; 7/2; 16/5; 10/3; 16/5; 3; 16/5; 10/3; 17/5; 10/3; 16/5; 13/4; 3; 14/5; 13/4; 37/10; 3; 56/19; ; 56/19; ; 3; 3; 7/2
Leyton Orient; 13/2; 6; 7; ; 6; 11/2; 6; 6; 6; 13/2; 6; 13/2; 6; 7; 6; 6; 25/4; 11/2; 6; 25/4; 6; 63/10; 6; ; 6; ; 31/5; 31/5; 33/5
