META; english/league-2/grimsby-v-cambridge-united; 2017-04-10 16:43:07 GMT+3; 2017-04-15 15:00; e70300-dr003
Cambridge United; ; ; 23/20; ; 23/20; ; 23/20; 11/10; ; 23/20; ; 23/20; 11/10; ; ; 15/13; 11/10; 15/13; 10/9; 11/10; 6/5; ; 8/7; ; 8/7; ; ; ; 
Draw; ; ; 43/20; ; 5/2; ; 5/2; 5/2; ; 23/10; ; 9/4; 12/5; ; ; 12/5; 9/4; 11/5; 23/10; 9/4; 5/2; ; 23/10; ; 23/10; ; ; ; 
Grimsby; ; ; 47/20; ; 12/5; ; 23/10; 12/5; ; 12/5; ; 5/2; 12/5; ; ; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; ; 12/5; ; 12/5; ; ; ; 
META; english/league-2/grimsby-v-cambridge-united; 2017-04-11 12:57:45 GMT+3; 2017-04-15 15:00; e70300-dr003
Cambridge United; ; ; 6/5; ; 5/4; ; 6/5; 19/20; ; 5/4; ; 6/5; 6/5; ; ; 15/13; 6/5; 15/13; 10/9; 6/5; 6/5; 19/16; 8/7; ; 8/7; ; ; ; 5/4
Draw; ; ; 41/20; ; 12/5; ; 12/5; 23/10; ; 11/5; ; 9/4; 23/10; ; ; 12/5; 28/13; 11/5; 23/10; 28/13; 5/2; 9/4; 23/10; ; 23/10; ; ; ; 23/10
Grimsby; ; ; 47/20; ; 9/4; ; 23/10; 23/10; ; 23/10; ; 23/10; 9/4; ; ; 23/10; 23/10; 12/5; 12/5; 23/10; 5/2; 133/67; 12/5; ; 12/5; ; ; ; 12/5
META; english/league-2/grimsby-v-cambridge-united; 2017-04-12 12:29:13 GMT+3; 2017-04-15 15:00; e70300-dr003
Cambridge United; ; ; 5/4; ; 5/4; ; 5/4; 19/20; ; 5/4; ; 5/4; 6/5; ; ; 6/5; 6/5; 15/13; 10/9; 6/5; 127/100; 19/16; 8/7; ; 8/7; ; ; ; 5/4
Draw; ; ; 41/20; ; 12/5; ; 12/5; 23/10; ; 21/10; ; 2; 23/10; ; ; 23/10; 11/5; 11/5; 23/10; 11/5; 47/20; 9/4; 23/10; ; 23/10; ; ; ; 23/10
Grimsby; ; ; 23/10; ; 9/4; ; 11/5; 23/10; ; 23/10; ; 12/5; 9/4; ; ; 23/10; 23/10; 12/5; 12/5; 23/10; 5/2; 133/67; 12/5; ; 12/5; ; ; ; 12/5
