META; english/league-2/grimsby-v-cambridge; 2017-04-10 16:42:35 GMT+3; 2017-04-14 15:00; e70300-dr003
Cambridge; ; 23/20; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/9; 
Draw; ; 23/10; ; 23/10; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; 9/4; 
Grimsby; ; 12/5; ; 23/10; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; 12/5; 
META; english/league-2/grimsby-v-cambridge; 2017-04-11 12:57:19 GMT+3; 2017-04-14 15:00; e70300-dr003
Cambridge; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; 
Draw; ; 23/10; ; 23/10; ; 43/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 21/10; 
Grimsby; ; 23/10; ; 23/10; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; 9/4; 
META; english/league-2/grimsby-v-cambridge; 2017-04-12 12:28:43 GMT+3; 2017-04-14 15:00; e70300-dr003
Cambridge; ; 5/4; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; 
Draw; ; 9/4; ; 23/10; ; 43/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 21/10; 
Grimsby; ; 23/10; ; 23/10; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; 9/4; 
META; english/league-2/grimsby-v-cambridge; 2017-04-13 12:06:06 GMT+3; 2017-04-14 15:00; e70300-dr003
Cambridge; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; 
Draw; ; 21/10; ; 23/10; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; 21/10; 
Grimsby; ; 5/2; ; 23/10; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; 23/10; 
