META; english/league-2/barnet-v-hartlepool; 2016-10-23 04:20:36 GMT+3; 2016-10-29 15:00; e70300-dr003
Barnet; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/barnet-v-hartlepool; 2016-10-23 08:21:52 GMT+3; 2016-10-29 15:00; e70300-dr003
Barnet; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/barnet-v-hartlepool; 2016-10-23 12:22:00 GMT+3; 2016-10-29 15:00; e70300-dr003
Barnet; 6/5; 6/5; ; ; 5/4; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; 9/4; 21/10; ; ; 9/4; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/barnet-v-hartlepool; 2016-10-23 16:22:07 GMT+3; 2016-10-29 15:00; e70300-dr003
Barnet; 6/5; 6/5; ; 6/5; 5/4; ; 5/4; ; ; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; 
Draw; 9/4; 23/10; ; 23/10; 23/10; ; 23/10; ; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 
Hartlepool; 9/4; 21/10; ; 9/4; 9/4; ; 23/10; ; ; ; 9/4; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 
META; english/league-2/barnet-v-hartlepool; 2016-10-23 20:22:42 GMT+3; 2016-10-29 15:00; e70300-dr003
Barnet; 6/5; 6/5; 6/5; 6/5; 5/4; ; 5/4; ; 5/4; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; 
Hartlepool; 9/4; 21/10; 11/5; 9/4; 9/4; ; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 
