META; english/league-2/yeovil-v-accrington; 2017-03-12 04:22:50 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Yeovil; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-12 08:23:29 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Yeovil; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-12 12:22:24 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Yeovil; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-12 16:22:34 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 6/4; 7/5; ; ; 6/4; ; 6/4; ; 8/5; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; 
Yeovil; 17/10; 7/4; ; ; 9/5; ; 9/5; ; 13/8; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 9/4; ; ; 12/5; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-12 20:24:07 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 6/4; 7/5; ; ; 6/4; ; 6/4; ; 8/5; ; 6/4; ; ; ; ; 17/11; ; ; ; ; ; ; ; ; ; ; ; 
Yeovil; 17/10; 7/4; ; ; 9/5; ; 9/5; ; 13/8; ; 33/20; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 9/4; ; ; 12/5; ; 12/5; ; 5/2; ; 11/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-13 00:22:01 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 6/4; 7/5; ; ; 6/4; ; 31/20; ; 8/5; ; 6/4; ; ; ; ; 6/4; 6/4; ; ; 6/4; ; ; ; ; ; ; ; 
Yeovil; 17/10; 7/4; ; ; 7/4; ; 7/4; ; 13/8; ; 33/20; ; ; ; ; 7/4; 28/17; ; ; 28/17; ; ; ; ; ; ; ; 
Draw; 12/5; 9/4; ; ; 5/2; ; 12/5; ; 5/2; ; 11/5; ; ; ; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; ; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-13 04:21:35 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 6/4; 7/5; ; ; 6/4; ; 6/4; ; 8/5; ; 6/4; ; ; ; ; 6/4; 6/4; ; ; 6/4; ; ; ; ; ; ; ; 
Yeovil; 17/10; 7/4; ; ; 7/4; ; 7/4; ; 13/8; ; 33/20; ; ; ; ; 7/4; 28/17; ; ; 28/17; ; ; ; ; ; ; ; 
Draw; 12/5; 9/4; ; ; 5/2; ; 12/5; ; 5/2; ; 11/5; ; ; ; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; ; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-13 08:22:03 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 6/4; 7/5; ; ; 6/4; ; 6/4; ; 8/5; ; 6/4; ; 6/4; ; ; 6/4; 16/11; ; 7/5; 16/11; ; ; 31/21; ; ; ; ; 
Yeovil; 17/10; 7/4; ; ; 7/4; ; 7/4; ; 13/8; ; 33/20; ; 17/10; ; ; 7/4; 28/17; ; 17/10; 28/17; ; ; 17/10; ; ; ; ; 
Draw; 12/5; 9/4; ; ; 5/2; ; 12/5; ; 5/2; ; 11/5; ; 12/5; ; ; 12/5; 40/17; ; 12/5; 40/17; ; ; 27/11; ; ; ; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-13 12:23:17 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 6/4; 7/5; ; ; 6/4; ; 6/4; 6/4; 8/5; ; 6/4; 6/4; 6/4; ; ; 6/4; 16/11; ; 7/5; 16/11; ; ; 31/21; ; ; ; ; 
Yeovil; 17/10; 7/4; ; ; 7/4; ; 7/4; 13/8; 13/8; ; 33/20; 13/8; 17/10; ; ; 7/4; 28/17; ; 17/10; 28/17; ; ; 17/10; ; ; ; ; 
Draw; 12/5; 9/4; ; ; 5/2; ; 5/2; 12/5; 5/2; ; 11/5; 5/2; 12/5; ; ; 12/5; 40/17; ; 12/5; 40/17; ; ; 27/11; ; ; ; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-13 16:26:37 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 8/5; 6/4; 29/20; 6/4; 6/4; ; ; 6/4; 16/11; ; 7/5; 16/11; ; ; 31/21; ; 31/21; ; ; ; 
Yeovil; 9/5; 7/4; 7/4; ; 7/4; ; 7/4; 13/8; 13/8; 7/4; 7/4; 13/8; 17/10; ; ; 7/4; 17/10; ; 17/10; 17/10; ; ; 17/10; ; 17/10; ; ; ; 
Draw; 12/5; 9/4; 11/5; ; 5/2; ; 5/2; 12/5; 5/2; 23/10; 11/5; 5/2; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 27/11; ; 27/11; ; ; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-13 20:23:58 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 7/5; 7/5; 29/20; ; 29/20; 11/8; 29/20; 11/8; 6/4; 6/4; 29/20; 31/20; 29/20; ; 6/4; 16/11; 7/5; 7/5; 7/5; 7/5; ; ; 31/21; 7/5; 31/21; ; ; ; 
Yeovil; 9/5; 7/4; 7/4; ; 15/8; 5/3; 9/5; 13/8; 9/5; 7/4; 7/4; 9/5; 7/4; ; 9/5; 9/5; 17/10; 7/4; 17/10; 17/10; ; ; 17/10; 9/5; 17/10; ; ; ; 
Draw; 12/5; 9/4; 11/5; ; 5/2; 9/4; 5/2; 11/5; 12/5; 23/10; 11/5; 9/4; 12/5; ; 23/10; 12/5; 40/17; 12/5; 12/5; 40/17; ; ; 27/11; 12/5; 27/11; ; ; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-14 00:22:06 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 7/5; 7/5; 29/20; ; 29/20; 11/8; 29/20; 11/8; 6/4; 6/4; 29/20; 29/20; 29/20; ; 6/4; 16/11; 7/5; 7/5; 7/5; 7/5; ; ; 31/21; 7/5; 31/21; ; 20/21; ; 
Yeovil; 9/5; 7/4; 7/4; ; 15/8; 5/3; 9/5; 13/8; 9/5; 7/4; 7/4; 9/5; 7/4; ; 9/5; 9/5; 17/10; 7/4; 17/10; 17/10; ; ; 17/10; 9/5; 17/10; ; 6/5; ; 
Draw; 12/5; 9/4; 11/5; ; 5/2; 9/4; 5/2; 11/5; 12/5; 23/10; 11/5; 23/10; 12/5; ; 23/10; 12/5; 40/17; 12/5; 12/5; 40/17; ; ; 27/11; 12/5; 27/11; ; 15/8; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-14 04:22:06 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 7/5; 7/5; 29/20; ; 6/4; 11/8; 6/4; 11/8; 6/4; 6/4; 29/20; 29/20; 29/20; ; 6/4; 16/11; 7/5; 7/5; 7/5; 7/5; ; ; 31/21; 7/5; 31/21; ; 1; ; 
Yeovil; 9/5; 7/4; 7/4; ; 15/8; 5/3; 9/5; 13/8; 9/5; 7/4; 7/4; 9/5; 7/4; ; 9/5; 9/5; 17/10; 7/4; 17/10; 17/10; ; ; 17/10; 9/5; 17/10; ; 5/4; ; 
Draw; 12/5; 9/4; 11/5; ; 12/5; 9/4; 12/5; 11/5; 12/5; 23/10; 11/5; 23/10; 12/5; ; 23/10; 12/5; 40/17; 12/5; 12/5; 40/17; ; ; 27/11; 12/5; 27/11; ; 19/10; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-14 08:22:05 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 11/8; 6/4; 6/4; 29/20; 29/20; 29/20; ; 6/4; 16/11; 7/5; 7/5; 7/5; 7/5; ; ; 31/21; 7/5; 31/21; ; 21/20; ; 
Yeovil; 9/5; 7/4; 7/4; ; 15/8; ; 9/5; 13/8; 9/5; 7/4; 7/4; 9/5; 7/4; ; 9/5; 9/5; 17/10; 7/4; 17/10; 17/10; ; ; 17/10; 9/5; 17/10; ; 5/4; ; 
Draw; 12/5; 9/4; 11/5; ; 12/5; ; 12/5; 11/5; 12/5; 23/10; 11/5; 23/10; 12/5; ; 23/10; 12/5; 40/17; 12/5; 12/5; 40/17; ; ; 27/11; 12/5; 27/11; ; 17/10; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-14 12:23:35 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 7/5; 7/5; 29/20; 7/5; 6/4; 11/8; 6/4; 11/8; 6/4; 6/4; 29/20; 29/20; 29/20; ; 6/4; 6/4; 7/5; 7/5; 7/5; 7/5; ; ; 31/21; 7/5; 31/21; ; 10/11; ; 
Yeovil; 9/5; 19/10; 7/4; 17/10; 15/8; 5/3; 9/5; 13/8; 9/5; 7/4; 7/4; 9/5; 7/4; ; 9/5; 15/8; 17/10; 7/4; 17/10; 17/10; ; ; 17/10; 9/5; 17/10; ; 21/20; ; 
Draw; 12/5; 23/10; 11/5; 9/4; 12/5; 9/4; 12/5; 11/5; 12/5; 23/10; 11/5; 23/10; 12/5; ; 23/10; 12/5; 40/17; 12/5; 12/5; 40/17; ; ; 27/11; 12/5; 27/11; ; 13/8; ; 
META; english/league-2/yeovil-v-accrington; 2017-03-14 16:22:44 GMT+2; 2017-03-18 15:00; e70300-dr003
Accrington; 7/5; 7/5; 29/20; 7/5; ; 11/8; 29/20; 11/8; 6/4; 6/4; 29/20; 31/20; 29/20; ; 6/4; 6/4; 7/5; 7/5; 7/5; 7/5; ; 26/19; 31/21; 7/5; 31/21; ; 5/6; ; 
Yeovil; 9/5; 19/10; 9/5; 17/10; ; 33/20; 9/5; 13/8; 9/5; 7/4; 7/4; 9/5; 7/4; ; 9/5; 15/8; 17/10; 7/4; 17/10; 17/10; ; 29/18; 17/10; 9/5; 17/10; ; 21/20; ; 
