META; english/league-2/grimsby-v-exeter; 2017-01-08 00:23:00 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-exeter; 2017-01-08 04:21:45 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-exeter; 2017-01-08 08:21:52 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-exeter; 2017-01-08 12:22:34 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-exeter; 2017-01-08 16:22:43 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 13/10; 13/10; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; 27/20; ; ; ; ; ; ; 
Exeter; 2; 19/10; ; ; ; ; 2; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; 109/50; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-exeter; 2017-01-08 20:22:53 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 13/10; 27/20; ; ; ; 7/5; ; 7/5; 7/5; 27/20; ; 11/8; ; ; 7/5; 23/17; ; ; ; 23/17; 27/20; ; ; ; ; ; ; 
Exeter; 15/8; 19/10; 37/20; ; ; ; 19/10; ; 2; 15/8; 15/8; ; 15/8; ; ; 2; 9/5; ; ; ; 9/5; 109/50; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; ; ; ; 12/5; ; 12/5; 12/5; 9/4; ; 12/5; ; ; 12/5; 40/17; ; ; ; 40/17; 5/2; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-exeter; 2017-01-09 00:21:42 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 13/10; 27/20; ; 29/20; ; 7/5; ; 7/5; 11/8; 27/20; ; 11/8; ; ; 7/5; 7/5; ; ; ; 7/5; 27/20; ; ; ; ; 13/10; ; 
Exeter; 15/8; 19/10; 37/20; ; 2; ; 19/10; ; 2; 19/10; 9/5; ; 15/8; ; ; 2; 24/13; ; ; ; 24/13; 109/50; ; ; ; ; 9/5; ; 
Draw; 12/5; 23/10; 9/4; ; 12/5; ; 12/5; ; 12/5; 12/5; 11/5; ; 12/5; ; ; 12/5; 9/4; ; ; ; 9/4; 5/2; ; ; ; ; 9/4; ; 
META; english/league-2/grimsby-v-exeter; 2017-01-09 04:21:26 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 13/10; 27/20; 11/8; 29/20; ; 7/5; ; 7/5; 11/8; 27/20; ; 11/8; ; ; 7/5; 23/17; 11/8; ; 11/8; 23/17; 27/20; ; 11/8; ; ; 13/10; ; 
Exeter; 15/8; 19/10; 37/20; 2; 2; ; 19/10; ; 2; 19/10; 9/5; ; 19/10; ; ; 2; 19/10; 37/19; ; 19/10; 19/10; 109/50; ; 37/19; ; ; 9/5; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 12/5; ; 12/5; ; 12/5; 12/5; 11/5; ; 47/20; ; ; 12/5; 9/4; 9/4; ; 9/4; 9/4; 5/2; ; 9/4; ; ; 9/4; ; 
META; english/league-2/grimsby-v-exeter; 2017-01-09 08:21:35 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 13/10; 27/20; 11/8; 29/20; ; 7/5; ; 7/5; 11/8; 27/20; ; 11/8; ; ; 7/5; 23/17; 11/8; ; 11/8; 23/17; 27/20; ; 11/8; ; ; 13/10; ; 
Exeter; 15/8; 19/10; 37/20; 2; 2; ; 19/10; ; 2; 19/10; 9/5; ; 19/10; ; ; 2; 19/10; 37/19; ; 19/10; 19/10; 109/50; ; 37/19; ; ; 9/5; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 12/5; ; 12/5; ; 12/5; 12/5; 11/5; ; 47/20; ; ; 12/5; 9/4; 9/4; ; 9/4; 9/4; 5/2; ; 9/4; ; ; 9/4; ; 
META; english/league-2/grimsby-v-exeter; 2017-01-09 12:21:56 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 11/8; 27/20; 7/5; 29/20; 13/10; 29/20; 5/4; 7/5; 7/5; 11/8; ; 7/5; ; 7/5; 7/5; 7/5; 11/8; 23/17; 11/8; 7/5; 27/20; 23/17; 11/8; ; ; 13/10; 27/20; 
Exeter; 15/8; 19/10; 37/20; 19/10; 2; 9/5; 19/10; 9/5; 2; 15/8; 9/5; ; 15/8; ; 19/10; 2; 24/13; 37/19; 19/10; 19/10; 24/13; 109/50; 7/4; 37/19; ; ; 9/5; 9/5; 
Draw; 12/5; 12/5; 9/4; 23/10; 12/5; 11/5; 12/5; 11/5; 12/5; 12/5; 11/5; ; 47/20; ; 23/10; 12/5; 9/4; 9/4; 23/10; 9/4; 9/4; 5/2; 12/5; 9/4; ; ; 9/4; 23/10; 
META; english/league-2/grimsby-v-exeter; 2017-01-09 16:22:33 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 7/5; 11/8; 7/5; 29/20; 13/10; 29/20; 5/4; 7/5; 7/5; 11/8; 13/10; 11/8; ; 7/5; 7/5; 23/17; 11/8; 23/17; 11/8; 23/17; 29/20; 23/17; 11/8; 7/5; ; 11/8; 7/5; 
Exeter; 15/8; 19/10; 15/8; 2; 2; 20/11; 19/10; 9/5; 2; 19/10; 15/8; 13/8; 19/10; ; 19/10; 2; 19/10; 37/19; 19/10; 19/10; 19/10; 101/50; 7/4; 37/19; 15/8; ; 19/10; 15/8; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 11/5; 12/5; 11/5; 12/5; 23/10; 11/5; 11/5; 47/20; ; 23/10; 12/5; 9/4; 9/4; 23/10; 9/4; 9/4; 5/2; 12/5; 9/4; 9/4; ; 9/4; 9/4; 
META; english/league-2/grimsby-v-exeter; 2017-01-09 20:22:18 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 7/5; 11/8; 7/5; 29/20; 13/10; 29/20; 5/4; 7/5; 7/5; 11/8; 13/10; 11/8; 7/5; 7/5; 7/5; 23/17; 23/17; 11/8; 23/17; 147/100; 23/17; 11/8; 7/5; ; 7/5; 7/5; 
Exeter; 15/8; 19/10; 15/8; 2; 2; 20/11; 19/10; 9/5; 2; 19/10; 15/8; 13/8; 19/10; 15/8; 19/10; 2; 19/10; 19/10; 19/10; 19/10; 99/50; 7/4; 37/19; 15/8; ; 19/10; 15/8; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 11/5; 12/5; 11/5; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 23/10; 12/5; 9/4; 23/10; 9/4; 9/4; 5/2; 12/5; 9/4; 9/4; ; 9/4; 9/4; 
META; english/league-2/grimsby-v-exeter; 2017-01-10 00:21:59 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 7/5; 11/8; 7/5; 29/20; 13/10; 29/20; 5/4; 7/5; 7/5; 11/8; 13/10; 11/8; 7/5; 7/5; 7/5; 23/17; 23/17; 11/8; 23/17; 147/100; 23/17; 11/8; 7/5; ; 7/5; 11/8; 
Exeter; 15/8; 19/10; 15/8; 2; 2; 20/11; 19/10; 9/5; 2; 19/10; 15/8; 13/8; 19/10; 15/8; 19/10; 2; 19/10; 19/10; 19/10; 19/10; 99/50; 7/4; 37/19; 15/8; ; 19/10; 15/8; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 11/5; 12/5; 11/5; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 23/10; 12/5; 9/4; 23/10; 9/4; 9/4; 5/2; 12/5; 9/4; 9/4; ; 9/4; 9/4; 
META; english/league-2/grimsby-v-exeter; 2017-01-10 04:21:58 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 7/5; 11/8; 7/5; 29/20; 13/10; 29/20; 5/4; 7/5; 7/5; 11/8; 13/10; 11/8; 7/5; 7/5; 7/5; 23/17; 23/17; 11/8; 23/17; 147/100; 23/17; 11/8; 7/5; ; 7/5; 7/5; 
Exeter; 15/8; 19/10; 15/8; 2; 2; 20/11; 19/10; 9/5; 2; 19/10; 15/8; 13/8; 19/10; 15/8; 19/10; 2; 19/10; 19/10; 19/10; 19/10; 99/50; 7/4; 37/19; 15/8; ; 19/10; 15/8; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 11/5; 12/5; 11/5; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 23/10; 12/5; 9/4; 23/10; 9/4; 9/4; 5/2; 12/5; 9/4; 9/4; ; 9/4; 9/4; 
META; english/league-2/grimsby-v-exeter; 2017-01-10 08:22:10 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 7/5; 11/8; 7/5; 29/20; 13/10; 29/20; 5/4; 7/5; 7/5; 11/8; 13/10; 11/8; 7/5; 7/5; 7/5; 23/17; 23/17; 11/8; 23/17; 147/100; 23/17; 11/8; 7/5; ; 7/5; ; 
Exeter; 15/8; 19/10; 15/8; 2; 2; 20/11; 19/10; 9/5; 2; 19/10; 15/8; 13/8; 19/10; 15/8; 19/10; 2; 19/10; 19/10; 19/10; 19/10; 99/50; 7/4; 37/19; 15/8; ; 19/10; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 11/5; 12/5; 11/5; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 23/10; 12/5; 9/4; 23/10; 9/4; 9/4; 5/2; 12/5; 9/4; 9/4; ; 9/4; ; 
META; english/league-2/grimsby-v-exeter; 2017-01-10 12:22:25 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 7/5; 11/8; 7/5; 29/20; 13/10; 29/20; 5/4; 7/5; 7/5; 11/8; 13/10; 11/8; 7/5; 7/5; 7/5; 23/17; 23/17; 11/8; 23/17; 147/100; 23/17; 11/8; 7/5; ; 7/5; 7/5; 
Exeter; 15/8; 19/10; 15/8; 2; 2; 20/11; 19/10; 9/5; 2; 19/10; 15/8; 13/8; 19/10; 15/8; 19/10; 2; 19/10; 19/10; 19/10; 19/10; 99/50; 7/4; 19/10; 15/8; ; 19/10; 15/8; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 11/5; 12/5; 11/5; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 5/2; 12/5; 40/17; 9/4; ; 9/4; 9/4; 
META; english/league-2/grimsby-v-exeter; 2017-01-10 16:22:47 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 7/5; 27/20; 7/5; 29/20; 13/10; 29/20; 5/4; 7/5; 7/5; 27/20; 13/10; 11/8; 11/8; 7/5; 7/5; 23/17; 23/17; 11/8; 23/17; 38/25; 23/17; 11/8; 7/5; ; 7/5; 7/5; 
Exeter; 15/8; 19/10; 19/10; 19/10; 2; 20/11; 19/10; 9/5; 2; 19/10; 15/8; 13/8; 19/10; 15/8; 19/10; 2; 19/10; 19/10; 19/10; 19/10; 97/50; 9/5; 19/10; 15/8; ; 19/10; 15/8; 
Draw; 12/5; 23/10; 11/5; 23/10; 12/5; 11/5; 12/5; 11/5; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 123/50; 23/10; 40/17; 9/4; ; 9/4; 9/4; 
META; english/league-2/grimsby-v-exeter; 2017-01-10 20:22:38 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 7/5; 27/20; 7/5; 29/20; 13/10; 29/20; 5/4; 7/5; 7/5; 27/20; 13/10; 11/8; 11/8; 7/5; 7/5; 23/17; 23/17; 11/8; 23/17; 38/25; 23/17; 11/8; 7/5; ; 7/5; 7/5; 
Exeter; 15/8; 19/10; 19/10; 19/10; 2; 20/11; 19/10; 9/5; 2; 19/10; 15/8; 13/8; 19/10; 15/8; 19/10; 2; 19/10; 19/10; 19/10; 19/10; 97/50; 9/5; 19/10; 15/8; ; 19/10; 15/8; 
Draw; 12/5; 23/10; 11/5; 23/10; 12/5; 11/5; 12/5; 11/5; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 123/50; 23/10; 40/17; 9/4; ; 9/4; 9/4; 
META; english/league-2/grimsby-v-exeter; 2017-01-11 00:21:59 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 7/5; 27/20; 7/5; 29/20; 13/10; 29/20; 11/8; 7/5; 7/5; 27/20; 13/10; 11/8; 11/8; 7/5; 7/5; 23/17; 23/17; 11/8; 23/17; 38/25; 23/17; 11/8; 7/5; ; 7/5; 11/8; 
Exeter; 15/8; 19/10; 19/10; 19/10; 2; 20/11; 19/10; 2; 2; 19/10; 15/8; 13/8; 19/10; 15/8; 19/10; 2; 19/10; 19/10; 19/10; 19/10; 97/50; 9/5; 19/10; 15/8; ; 19/10; 15/8; 
Draw; 12/5; 23/10; 11/5; 23/10; 12/5; 11/5; 12/5; 23/10; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 123/50; 23/10; 40/17; 9/4; ; 9/4; 9/4; 
META; english/league-2/grimsby-v-exeter; 2017-01-11 04:22:02 GMT+2; 2017-01-14 15:00; e70300-dr003
Grimsby; 11/8; 7/5; 27/20; 7/5; 29/20; 13/10; 29/20; 11/8; 7/5; 7/5; 27/20; 13/10; 11/8; 11/8; 7/5; 7/5; 23/17; 23/17; 11/8; 23/17; 38/25; 23/17; 11/8; 7/5; ; 7/5; 11/8; 
Exeter; 15/8; 19/10; 19/10; 19/10; 2; 20/11; 19/10; 2; 2; 19/10; 15/8; 13/8; 19/10; 15/8; 19/10; 2; 19/10; 19/10; 19/10; 19/10; 97/50; 9/5; 19/10; 15/8; ; 19/10; 15/8; 
