META; english/league-2/mansfield-v-hartlepool; 2017-02-05 04:23:03 GMT+2; 2017-02-11 15:00; e70300-dr003
Mansfield; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-05 08:21:58 GMT+2; 2017-02-11 15:00; e70300-dr003
Mansfield; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-05 12:23:56 GMT+2; 2017-02-11 15:00; e70300-dr003
Mansfield; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-05 16:24:28 GMT+2; 2017-02-11 15:00; e70300-dr003
Mansfield; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; 
Hartlepool; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 71/20; ; ; ; ; ; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-05 20:24:41 GMT+2; 2017-02-11 15:00; e70300-dr003
Mansfield; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; 
Hartlepool; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 71/20; ; ; ; ; ; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-06 00:21:48 GMT+2; 2017-02-11 15:00; e70300-dr003
Mansfield; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; 1/3; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; 21/20; ; 
Hartlepool; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 71/20; ; ; ; ; 10/9; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-06 04:21:44 GMT+2; 2017-02-11 15:00; e70300-dr003
Mansfield; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; 1/3; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; 11/5; ; 
Hartlepool; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 71/20; ; ; ; ; 27/20; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-06 08:21:39 GMT+2; 2017-02-11 15:00; e70300-dr003
Mansfield; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; 1/3; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; 11/5; ; 
Hartlepool; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 71/20; ; ; ; ; 19/10; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-06 12:21:45 GMT+2; 2017-02-11 15:00; e70300-dr003
Mansfield; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/3; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Hartlepool; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-06 16:23:49 GMT+2; 2017-02-11 15:00; e70300-dr003
Mansfield; 4/5; 8/11; 4/5; 4/5; 5/6; ; 4/5; 8/11; ; ; ; ; ; 4/5; 5/6; 4/5; 10/13; ; ; 10/13; 4/5; ; ; ; ; 8/11; ; 
Draw; 5/2; 11/4; 12/5; 13/5; 13/5; ; 27/10; 13/5; ; ; ; ; ; 13/5; 5/2; 27/10; 28/11; ; ; 28/11; 3; ; ; ; ; 23/10; ; 
Hartlepool; 7/2; 16/5; 17/5; 10/3; 18/5; ; 7/2; 10/3; ; ; ; ; ; 18/5; 10/3; 7/2; 17/5; ; ; 17/5; 71/20; ; ; ; ; 3; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-06 20:22:58 GMT+2; 2017-02-11 15:00; e70300-dr003
Mansfield; 4/5; 8/11; 4/5; 4/5; 8/11; ; 4/5; 8/11; ; ; ; 4/5; 10/13; 4/5; 5/6; 4/5; 10/13; ; ; 10/13; 4/5; ; ; ; ; 8/11; ; 
Draw; 5/2; 11/4; 12/5; 13/5; 11/4; ; 11/4; 13/5; ; ; ; 13/5; 13/5; 13/5; 5/2; 27/10; 5/2; ; ; 5/2; 3; ; ; ; ; 12/5; ; 
Hartlepool; 7/2; 16/5; 17/5; 10/3; 7/2; ; 7/2; 10/3; ; ; ; 10/3; 7/2; 7/2; 10/3; 7/2; 17/5; ; ; 17/5; 71/20; ; ; ; ; 3; ; 
