META; english/premier-league/hull-v-west-ham; 2017-03-06 00:16:37 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-06 04:16:35 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-06 08:16:35 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-06 12:16:58 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-06 16:17:00 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-06 20:17:00 GMT+2; 2017-04-01 15:00; e70300-dr003
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-07 00:16:37 GMT+2; 2017-04-01 15:00; e70300-dr003
