META; english/premier-league/man-city-v-chelsea; 2016-11-07 20:17:41 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-08 00:17:36 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-08 04:17:35 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-08 08:17:40 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-08 12:17:43 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-08 16:17:59 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-08 20:17:46 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-09 00:17:39 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 8/7; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 28/11; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-09 04:17:38 GMT+2; 2016-12-03 12:30; e70300-dr003
