META; english/premier-league/west-ham-v-liverpool; 2017-05-02 18:56:48 GMT+3; 2017-05-14 14:15; e70300-dr003
Liverpool; ; ; ; ; ; 8/11; ; 3/4; 4/5; ; ; ; ; ; ; ; ; 13/18; 8/11; ; 5/6; ; 3/4; ; 3/4; ; 2/5; ; 
Draw; ; ; ; ; ; 11/4; ; 5/2; 11/4; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 57/20; ; 11/4; ; 11/4; ; 11/5; ; 
West Ham; ; ; ; ; ; 7/2; ; 16/5; 7/2; ; ; ; ; ; ; ; ; 7/2; 7/2; ; 37/10; ; 7/2; ; 7/2; ; 1; ; 
META; english/premier-league/west-ham-v-liverpool; 2017-05-03 10:17:29 GMT+3; 2017-05-14 14:15; e70300-dr003
Liverpool; ; ; ; ; ; 8/11; ; 3/4; 4/5; ; ; ; ; ; ; ; ; 13/18; 8/11; ; 5/6; ; 3/4; ; 3/4; ; 2/5; ; 
Draw; ; ; ; ; ; 11/4; ; 5/2; 11/4; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 57/20; ; 11/4; ; 11/4; ; 9/4; ; 
West Ham; ; ; ; ; ; 7/2; ; 16/5; 7/2; ; ; ; ; ; ; ; ; 7/2; 7/2; ; 37/10; ; 7/2; ; 7/2; ; 21/10; ; 
META; english/premier-league/west-ham-v-liverpool; 2017-05-14 16:07:47 GMT+3; 2017-05-14 14:15; e70300-dr003
Liverpool; 8/13; 8/13; 8/13; 8/13; 3/5; 8/13; 3/5; 4/7; 4/7; 6/10; 8/13; 8/13; 3/5; 13/20; ; 8/13; 10/17; 3/5; 4/7; 10/17; 33/50; 11/18; 3/5; 6/10; 8/13; ; 4/7; 4/7; 8/13
Draw; 3; 3; 29/10; 3; 16/5; 3; 16/5; 16/5; 3; 16/5; 3; 3; 59/20; 16/5; ; 31/10; 58/19; 31/10; 3; 58/19; 61/20; 31/10; 31/10; 3; 41/13; ; 14/5; 3; 3
West Ham; 21/4; 5; 19/4; 9/2; 5; 19/4; 21/4; 9/2; 5; 9/2; 19/4; 5; 5; 5; ; 5; 5; 51/10; 24/5; 94/19; 49/10; 24/5; 24/5; 5; 5; ; ; 26/5; 5
