META; english/premier-league/liverpool-v-everton; 2017-03-04 20:16:38 GMT+2; 2017-04-01 12:30; e70300-dr003
Liverpool; ; ; 8/13; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/liverpool-v-everton; 2017-03-05 00:16:45 GMT+2; 2017-04-01 12:30; e70300-dr003
Liverpool; ; ; 8/13; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/liverpool-v-everton; 2017-03-05 04:16:49 GMT+2; 2017-04-01 12:30; e70300-dr003
Liverpool; ; ; 8/13; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/liverpool-v-everton; 2017-03-05 08:16:46 GMT+2; 2017-04-01 12:30; e70300-dr003
Liverpool; ; ; 8/13; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/liverpool-v-everton; 2017-03-05 12:17:03 GMT+2; 2017-04-01 12:30; e70300-dr003
Liverpool; ; ; 8/13; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/liverpool-v-everton; 2017-03-05 16:16:49 GMT+2; 2017-04-01 12:30; e70300-dr003
Liverpool; ; ; 8/13; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/liverpool-v-everton; 2017-03-05 20:16:54 GMT+2; 2017-04-01 12:30; e70300-dr003
Liverpool; ; ; 8/13; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; 7/10; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; ; ; ; ; ; ; 
Everton; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; ; ; 
META; english/premier-league/liverpool-v-everton; 2017-03-06 00:16:27 GMT+2; 2017-04-01 12:30; e70300-dr003
Liverpool; ; ; 8/13; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; 7/10; ; ; ; ; ; ; 
