META; english/premier-league/bournemouth-v-tottenham; 2016-09-27 00:17:32 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-27 04:17:33 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-27 08:17:40 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-27 12:17:52 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-27 16:18:28 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-27 20:17:36 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-28 00:17:42 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-28 04:17:16 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 7/2; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-09-28 08:17:22 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 15/16; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; 
