META; english/premier-league/man-city-v-hull; 2017-03-30 00:25:48 GMT+3; 2017-04-08 15:00; e70300-dr003
Man City; ; ; 2/13; ; ; ; ; 1/7; 1/6; ; ; 1/6; ; ; ; ; ; 2/11; ; ; 19/100; ; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; 6; 13/2; ; ; 6; ; ; ; ; ; 6; ; ; 34/5; ; ; ; ; ; ; ; 
Hull; ; ; 16; ; ; ; ; 16; 16; ; ; 14; ; ; ; ; ; 12; ; ; 19; ; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-hull; 2017-04-01 20:16:21 GMT+3; 2017-04-03 17:00; e70300-dr003
Ruch Chorzow; 23/20; ; 11/10; ; ; ; 11/10; 1; 11/10; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; ; 21/20; 11/10; 21/20; 21/20; 6/5; 15/13; 15/14; 21/20; 11/10; ; 1; 21/20; 
Draw; 12/5; ; 23/10; ; ; ; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; 47/20; 21/10; 23/10; ; 23/10; 21/10; 23/10; 23/10; 11/5; 28/13; 23/10; 11/5; 40/17; ; 9/4; 23/10; 
Piast Gliwice; 23/10; ; 47/20; ; ; ; 12/5; 23/10; 23/10; 5/2; 9/4; 11/5; 12/5; 23/10; 23/10; ; 27/11; 5/2; 12/5; 27/11; 143/50; 28/13; 27/11; 12/5; 5/2; ; 11/5; 11/5; 
META; english/premier-league/man-city-v-hull; 2017-04-02 00:16:12 GMT+3; 2017-04-01 17:00; e70300-dr003
Lazio; 4/5; 4/5; 17/20; 5/6; 5/6; 5/6; 5/6; 8/11; 4/5; 4/5; 4/5; 4/5; 4/5; 17/20; 5/6; 4/5; 4/5; 7/9; 8/11; 4/5; 41/50; 13/16; 13/17; 5/6; 7/9; ; 4/5; 4/5; 5/6
Draw; 11/4; 14/5; 29/10; 14/5; 11/4; 14/5; 11/4; 11/4; 14/5; 14/5; 11/4; 14/5; 14/5; 29/10; 14/5; 14/5; 14/5; 11/4; 11/4; 14/5; 29/10; 11/4; 11/4; 11/4; 14/5; ; 14/5; 11/4; 14/5
Sassuolo; 7/2; 16/5; 16/5; 10/3; 10/3; 10/3; 17/5; 10/3; 10/3; 3; 16/5; 16/5; 10/3; 16/5; 16/5; 10/3; 33/10; 18/5; 10/3; 33/10; 19/5; 38/11; 57/17; 16/5; 17/5; ; 7/2; 10/3; 10/3
META; english/premier-league/man-city-v-hull; 2017-04-02 04:16:17 GMT+3; 2017-04-02 15:45; e70300-dr003
Twente 1-0; 13/2; 13/2; 15/2; ; 6; 6; 7; 13/2; 7; 7; 7; 13/2; 7; 7; 13/2; 13/2; 29/4; 27/4; 13/2; 29/4; ; 34/5; 13/2; 13/2; 13/2; ; 34/5; 34/5; 
Twente 2-0; 13/2; 13/2; 15/2; ; 6; 6; 7; 7; 13/2; 13/2; 13/2; 6; 6; 7; 6; 13/2; 7; 7; 7; 7; ; 32/5; 7; 6; 7; ; 7; 7; 
Twente 2-1; 7; 13/2; 15/2; ; 6; 13/2; 15/2; 7; 7; 7; 7; 13/2; 13/2; 7; 7; 13/2; 31/4; 7; 15/2; 31/4; ; 73/10; 15/2; 13/2; 15/2; ; 37/5; 15/2; 
Draw 1-1; 15/2; 15/2; 8; ; 7; 7; 8; 7; 7; 15/2; 15/2; 7; 15/2; 15/2; 7; 7; 8; 15/2; 15/2; 8; ; 38/5; 15/2; 7; 15/2; ; 39/5; 8; 
Twente 3-0; 10; 9; 10; ; 9; 9; 21/2; 10; 9; 9; 10; 9; 10; 10; 9; 9; 41/4; 10; 19/2; 41/4; ; 9; 19/2; 9; 19/2; ; 10; 46/5; 
Twente 3-1; 10; 10; 11; ; 9; 10; 11; 11; 10; 10; 10; 10; 10; 10; 10; 10; 11; 21/2; 23/2; 11; ; 11; 23/2; 9; 23/2; ; 54/5; 41/5; 
Draw 0-0; 14; 12; 15; ; 11; 12; 10; 9; 14; 14; 14; 11; 9; 14; 12; 11; 10; 35/4; 21/2; 10; ; 15; 21/2; ; 21/2; ; 76/5; 31/2; 
Draw 2-2; 16; 14; 15; ; 12; 12; 17; 14; 16; 14; 14; 14; 16; 14; 12; 14; 33/2; 29/2; 17; 33/2; ; 17; 17; 14; 17; ; 16; 33/2; 
Go Ahead Eagles 1-0; 16; 18; 18; ; 16; 12; 19; 19; 18; 16; 18; 16; 20; 20; 14; 16; 33/2; 16; 18; 33/2; ; 17; 18; 16; 18; ; 19; 16; 
Go Ahead Eagles 2-1; 18; 16; 18; ; 14; 12; 19; 18; 18; 16; 18; 16; 16; 18; 16; 16; 69/4; 17; 20; 69/4; ; 18; 20; 18; 20; ; 21; 21; 
Any Other Score; ; ; 12; ; ; ; ; 12; 20; ; ; ; ; ; ; ; ; 10; ; ; ; 11; ; 20; ; ; ; ; 
