META; english/premier-league/stoke-v-chelsea; 2017-03-02 00:16:37 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-02 04:16:44 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-02 08:16:40 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-02 12:16:51 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-02 16:16:37 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-02 20:17:30 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-03 00:16:38 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-03 04:16:37 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-03 08:16:41 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-03 12:16:56 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-03 16:17:31 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-03 20:17:20 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-04 00:16:52 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-04 04:16:44 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-04 08:16:41 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-04 12:17:48 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-04 16:16:58 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-04 20:16:26 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-05 00:16:25 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-05 04:16:32 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-05 08:16:27 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-05 12:16:40 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; ; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-05 16:16:33 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; ; 4/7; 8/15; ; ; ; ; 3/5; 4/7; ; ; ; ; ; ; 4/6; ; 8/15; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; 14/5; 11/4; ; ; ; ; 29/10; 3; ; ; ; ; ; ; 31/10; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Stoke; ; 5; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; 5; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-05 20:16:38 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; 8/13; 4/7; 8/15; ; 4/6; ; 3/5; 3/5; 8/13; 3/5; 4/7; ; 4/7; ; ; 4/6; 8/13; 8/15; ; 8/13; 8/13; ; ; ; ; ; ; 
Draw; 14/5; 14/5; 11/4; ; 3; ; 3; 29/10; 3; 3; 14/5; ; 29/10; ; ; 31/10; 29/10; 3; ; 29/10; 31/10; ; ; ; ; ; ; 
Stoke; 9/2; 5; 5; ; 5; ; 11/2; 4; 9/2; 9/2; 9/2; ; 5; ; ; 5; 43/10; 5; ; 43/10; 11/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-06 00:16:13 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; 11/20; 4/7; 8/15; ; 3/5; ; 3/5; 3/5; 8/13; 3/5; 4/7; ; 4/7; ; ; 8/13; 4/7; 8/15; 8/15; 4/7; 8/13; ; 6/11; ; ; 2/5; ; 
Draw; 3; 14/5; 11/4; ; 3; ; 3; 29/10; 3; 3; 14/5; ; 29/10; ; ; 16/5; 3; 3; 3; 3; 31/10; ; 3; ; ; 12/5; ; 
Stoke; 5; 5; 5; ; 11/2; ; 11/2; 4; 9/2; 9/2; 9/2; ; 5; ; ; 5; 79/17; 5; 5; 79/17; 11/2; ; 5; ; ; 7/2; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-06 04:16:12 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; 11/20; 4/7; 8/15; ; 3/5; ; 3/5; 3/5; 4/7; 4/7; 4/7; ; 4/7; ; ; 8/13; 4/7; 8/15; 8/15; 4/7; 8/13; ; 6/11; ; ; 4/9; ; 
Draw; 3; 14/5; 11/4; ; 3; ; 3; 29/10; 3; 14/5; 11/4; ; 29/10; ; ; 16/5; 56/19; 3; 3; 56/19; 31/10; ; 3; ; ; 21/10; ; 
Stoke; 5; 5; 5; ; 11/2; ; 11/2; 4; 19/4; 19/4; 9/2; ; 5; ; ; 5; 79/17; 5; 5; 79/17; 11/2; ; 5; ; ; 7/2; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-06 08:16:12 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; 11/20; 4/7; 8/15; ; 3/5; 8/13; 3/5; 3/5; 4/7; 4/7; 4/7; ; 4/7; ; ; 8/13; 4/7; 8/15; 8/15; 4/7; 8/13; ; 6/11; ; ; 4/9; ; 
Draw; 3; 14/5; 11/4; ; 3; 16/5; 3; 29/10; 3; 14/5; 11/4; ; 29/10; ; ; 16/5; 56/19; 3; 3; 56/19; 31/10; ; 3; ; ; 23/10; ; 
Stoke; 5; 5; 5; ; 11/2; 19/4; 11/2; 4; 19/4; 19/4; 9/2; ; 5; ; ; 5; 79/17; 5; 5; 79/17; 11/2; ; 5; ; ; 7/2; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-06 12:16:23 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; 11/20; 4/7; 8/15; ; 3/5; 8/13; 3/5; 3/5; 4/7; 4/7; 4/7; 4/7; 4/7; ; ; 8/13; 4/7; 8/15; 8/15; 4/7; 8/13; 3/5; 6/11; ; ; 4/9; ; 
Draw; 3; 14/5; 11/4; ; 3; 3; 3; 29/10; 3; 14/5; 11/4; 14/5; 29/10; ; ; 16/5; 56/19; 3; 3; 56/19; 31/10; 3; 3; ; ; 12/5; ; 
Stoke; 5; 5; 5; ; 11/2; 19/4; 11/2; 4; 19/4; 19/4; 9/2; 5; 5; ; ; 5; 79/17; 5; 5; 79/17; 11/2; 47/10; 5; ; ; 4; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-06 16:16:31 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; 11/20; 4/7; 6/10; 6/10; 3/5; 3/5; 3/5; 3/5; 4/7; 4/7; 4/7; 4/7; 4/7; ; 4/7; 8/13; 5/9; 8/15; 8/15; 5/9; 8/13; 3/5; 6/11; ; ; 4/9; ; 
Draw; 3; 14/5; 29/10; 3; 3; 3; 3; 29/10; 3; 3; 11/4; 14/5; 29/10; ; 3; 31/10; 3; 3; 3; 3; 31/10; 3; 3; ; ; 12/5; ; 
Stoke; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 4; 19/4; 19/4; 9/2; 5; 5; ; 5; 5; 5; 5; 5; 5; 11/2; 47/10; 5; ; ; 4; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-06 20:16:30 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; 11/20; 4/7; 6/10; 6/10; 3/5; 8/13; 3/5; 3/5; 4/7; 3/5; 4/7; 8/13; 4/7; 6/10; 4/7; 8/13; 5/9; 8/15; 8/15; 5/9; 8/13; 3/5; 6/11; ; ; 8/15; ; 
Draw; 3; 14/5; 29/10; 3; 3; 3; 3; 29/10; 3; 14/5; 11/4; 14/5; 29/10; 3; 3; 31/10; 56/19; 3; 3; 56/19; 31/10; 3; 3; ; ; 14/5; ; 
Stoke; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 4; 19/4; 19/4; 9/2; 9/2; 5; 5; 5; 5; 63/13; 5; 5; 63/13; 11/2; 47/10; 5; ; ; 23/5; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-07 00:16:11 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; 11/20; 4/7; 6/10; 6/10; 3/5; 8/13; 4/7; 3/5; 4/7; 3/5; 4/7; 8/13; 4/7; 6/10; 4/7; 8/13; 5/9; 8/15; 8/15; 5/9; 8/13; ; 6/11; ; ; 8/15; ; 
Draw; 3; 14/5; 29/10; 3; 16/5; 3; 31/10; 29/10; 3; 14/5; 11/4; 14/5; 29/10; 3; 3; 31/10; 56/19; 3; 3; 56/19; 31/10; ; 3; ; ; 14/5; ; 
Stoke; 5; 5; 19/4; 9/2; 5; 19/4; 11/2; 4; 19/4; 19/4; 9/2; 9/2; 5; 5; 5; 5; 63/13; 5; 5; 63/13; 11/2; ; 5; ; ; 23/5; ; 
META; english/premier-league/stoke-v-chelsea; 2017-03-07 04:16:11 GMT+2; 2017-03-18 15:00; e70300-dr003
Chelsea; 11/20; 4/7; 6/10; 6/10; 3/5; 8/13; 4/7; 3/5; 4/7; 3/5; 4/7; 8/13; 4/7; 6/10; 4/7; 8/13; 5/9; 8/15; 8/15; 5/9; 8/13; 3/5; 6/11; ; ; 8/15; ; 
Draw; 3; 14/5; 29/10; 3; 16/5; 3; 31/10; 29/10; 3; 14/5; 11/4; 14/5; 29/10; 3; 3; 31/10; 56/19; 3; 3; 56/19; 31/10; 3; 3; ; ; 14/5; ; 
