META; english/premier-league/stoke-v-man-utd; 2017-01-02 20:16:54 GMT+2; 2017-01-21 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 4/6; ; ; 8/13; 6/10; ; ; ; ; 7/10; 5/7; ; 7/10; ; 5/7; 37/50; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 14/5; ; ; 14/5; 13/5; ; ; ; ; 14/5; 13/5; ; 13/5; ; 13/5; 29/10; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; 5; ; ; 9/2; 9/2; ; ; ; ; 9/2; 4; ; 4; ; 4; 9/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-man-utd; 2017-01-03 00:16:46 GMT+2; 2017-01-21 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 4/6; ; ; 8/13; 6/10; ; ; ; ; 7/10; 5/7; ; 7/10; ; 5/7; 37/50; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 14/5; ; ; 14/5; 13/5; ; ; ; ; 14/5; 13/5; ; 13/5; ; 13/5; 29/10; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; 5; ; ; 9/2; 9/2; ; ; ; ; 9/2; 4; ; 4; ; 4; 9/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-man-utd; 2017-01-03 04:16:44 GMT+2; 2017-01-21 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 4/6; ; ; 8/13; 6/10; ; ; ; ; 7/10; 5/7; ; 7/10; ; 5/7; 37/50; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 14/5; ; ; 14/5; 13/5; ; ; ; ; 14/5; 13/5; ; 13/5; ; 13/5; 29/10; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; 5; ; ; 9/2; 9/2; ; ; ; ; 9/2; 4; ; 4; ; 4; 9/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-man-utd; 2017-01-03 08:16:49 GMT+2; 2017-01-21 15:00; e70300-dr003
Man Utd; 8/13; ; ; ; ; ; 4/6; ; ; 8/13; 6/10; ; ; ; ; 4/6; 11/17; ; 7/10; ; 11/17; 37/50; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 14/5; ; ; 14/5; 13/5; ; ; ; ; 14/5; 27/10; ; 13/5; ; 27/10; 29/10; ; ; ; ; ; ; 
Stoke; 9/2; ; ; ; ; ; 5; ; ; 9/2; 9/2; ; ; ; ; 5; 22/5; ; 4; ; 22/5; 9/2; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-man-utd; 2017-01-03 12:16:43 GMT+2; 2017-01-21 15:00; e70300-dr003
Man Utd; 8/13; ; ; 8/13; ; 8/13; 13/20; ; ; 8/13; 6/10; ; ; ; 13/20; 4/6; 8/13; ; 7/10; ; 8/13; 37/50; ; ; ; ; ; ; 
Draw; 11/4; ; ; 14/5; ; 14/5; 14/5; ; ; 14/5; 13/5; ; ; ; 14/5; 14/5; 11/4; ; 13/5; ; 11/4; 29/10; ; ; ; ; ; ; 
