META; english/premier-league/swansea-v-watford; 2016-10-02 00:17:08 GMT+3; 2016-10-22 15:00; e70300-dr003
Draw; 12/5; ; 47/20; ; ; ; 12/5; 9/4; 12/5; 23/10; 23/10; 11/5; ; ; ; ; 5/2; 23/10; 23/10; 9/4; 23/10; 23/10; 12/5; ; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-03 12:17:36 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 5/4; ; ; 13/10; 13/10; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 39/29; ; ; ; ; ; 
Watford; 21/10; ; 9/4; ; ; 11/5; 12/5; 2; 9/4; 21/10; 11/5; 21/10; ; ; ; 11/5; 9/4; 21/10; 21/10; 9/4; 21/10; 21/10; 12/5; ; ; ; ; ; 
Draw; 12/5; ; 47/20; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 23/10; 11/5; ; ; ; 23/10; 5/2; 23/10; 23/10; 9/4; 23/10; 23/10; 12/5; ; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-03 16:17:50 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 13/10; 5/4; 13/10; 13/10; 5/4; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 39/29; 21/17; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; 9/4; 12/5; 9/4; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-03 20:18:01 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 13/10; 5/4; 13/10; 13/10; 5/4; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 39/29; 21/17; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; 9/4; 12/5; 9/4; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-04 00:17:29 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; 9/4; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-04 04:17:39 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; 9/4; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-04 08:17:40 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; 9/4; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-04 12:17:43 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; 9/4; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-04 16:18:02 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; 9/4; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-04 20:17:50 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; ; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; ; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; ; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-05 00:17:47 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; ; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; ; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; ; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-05 04:17:44 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; ; 39/29; 6/5; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; ; 12/5; 40/17; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 5/2; 9/4; 23/10; 9/4; 23/10; ; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-05 08:17:44 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; ; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; ; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; ; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-05 12:18:12 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; ; 39/29; 6/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 23/10; 11/5; 11/5; ; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; ; 12/5; 40/17; ; ; ; ; 
Watford; 21/10; ; 11/5; ; ; 11/5; 12/5; 2; 9/4; 21/10; 23/10; 21/10; ; ; ; 11/5; 9/4; 9/4; 21/10; 9/4; 21/10; ; 12/5; 40/17; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-05 16:17:42 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; 5/4; ; 13/10; ; ; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 6/5; ; ; ; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; ; 39/29; 6/5; ; ; ; ; 
