META; english/premier-league/sunderland-v-arsenal; 2016-10-04 16:18:20 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-04 20:18:03 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-05 00:17:58 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-05 04:17:56 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-05 08:17:55 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-05 12:18:27 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-05 16:17:54 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-05 20:18:00 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-06 00:17:32 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-06 04:17:29 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-06 08:17:24 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-06 12:17:32 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-06 16:17:38 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 5/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 8; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-06 20:18:07 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 7; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-07 00:17:33 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 7/15; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; 
