META; english/premier-league/leicester-v-everton; 2016-12-15 04:16:40 GMT+2; 2016-12-26 15:00; e70300-dr003
Leicester; 13/8; ; 13/8; 31/20; ; ; 13/8; ; 8/5; 6/4; 31/20; ; 8/5; 8/5; 13/8; 17/11; 6/4; ; ; ; 6/4; ; ; ; ; ; ; ; 
Everton; 13/8; ; 17/10; 7/4; ; ; 9/5; ; 9/5; 13/8; 8/5; ; 17/10; 17/10; 17/10; 15/8; 9/5; ; ; ; 9/5; ; ; ; ; ; ; ; 
Draw; 23/10; ; 47/20; 23/10; ; ; 12/5; ; 12/5; 12/5; 9/4; ; 23/10; 23/10; 12/5; 12/5; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-everton; 2016-12-15 08:16:44 GMT+2; 2016-12-26 15:00; e70300-dr003
Leicester; 8/5; ; 31/20; 31/20; ; ; 13/8; ; 8/5; 7/5; 29/20; ; 8/5; 6/4; 6/4; 17/11; 6/4; ; ; ; 6/4; ; ; ; ; ; ; ; 
Everton; 13/8; ; 7/4; 7/4; ; ; 7/4; ; 9/5; 7/4; 33/20; ; 33/20; 7/4; 7/4; 15/8; 9/5; ; ; ; 9/5; ; ; ; ; ; ; ; 
Draw; 23/10; ; 47/20; 23/10; ; ; 5/2; ; 12/5; 12/5; 9/4; ; 47/20; 12/5; 5/2; 12/5; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-everton; 2016-12-15 12:24:34 GMT+2; 2016-12-26 15:00; e70300-dr003
Leicester; 6/4; ; 6/4; 6/4; ; 31/20; 8/5; ; 6/4; 6/4; 29/20; ; ; 6/4; 6/4; 6/4; 16/11; ; ; ; 16/11; ; 6/4; ; ; ; ; ; 
Everton; 7/4; ; 9/5; 7/4; ; 19/10; 15/8; ; 9/5; 7/4; 17/10; ; ; 9/5; 7/4; 15/8; 24/13; ; ; ; 24/13; ; 7/4; ; ; ; ; ; 
Draw; 23/10; ; 47/20; 12/5; ; 12/5; 12/5; ; 12/5; 12/5; 9/4; ; ; 11/5; 5/2; 12/5; 9/4; ; ; ; 9/4; ; 23/10; ; ; ; ; ; 
META; english/premier-league/leicester-v-everton; 2016-12-15 16:16:51 GMT+2; 2016-12-26 15:00; e70300-dr003
Leicester; 6/4; ; 6/4; 6/4; ; 31/20; 8/5; ; 6/4; 6/4; 29/20; ; 31/20; 8/5; 6/4; 6/4; 6/4; ; ; ; 6/4; ; 6/4; ; ; ; ; ; 
Everton; 7/4; ; 9/5; 7/4; ; 15/8; 15/8; ; 9/5; 7/4; 17/10; ; 7/4; 15/8; 7/4; 15/8; 9/5; ; ; ; 9/5; ; 7/4; ; ; ; ; ; 
Draw; 23/10; ; 47/20; 23/10; ; 12/5; 12/5; ; 12/5; 12/5; 9/4; ; 47/20; 23/10; 5/2; 12/5; 9/4; ; ; ; 9/4; ; 23/10; ; ; ; ; ; 
META; english/premier-league/leicester-v-everton; 2016-12-15 20:16:53 GMT+2; 2016-12-26 15:00; e70300-dr003
Leicester; 6/4; ; 29/20; 6/4; ; 31/20; 31/20; ; 6/4; 7/5; 11/8; ; 29/20; 6/4; 6/4; 16/11; 16/11; ; ; ; 16/11; ; 7/5; ; ; ; ; ; 
Everton; 7/4; ; 15/8; 15/8; ; 19/10; 2; ; 9/5; 9/5; 9/5; ; 15/8; 2; 15/8; 2; 24/13; ; ; ; 24/13; ; 9/5; ; ; ; ; ; 
Draw; 23/10; ; 47/20; 9/4; ; 12/5; 23/10; ; 12/5; 12/5; 11/5; ; 9/4; 23/10; 23/10; 12/5; 9/4; ; ; ; 9/4; ; 23/10; ; ; ; ; ; 
META; english/premier-league/leicester-v-everton; 2016-12-16 00:16:37 GMT+2; 2016-12-26 15:00; e70300-dr003
Leicester; 6/4; ; 29/20; 6/4; ; 31/20; 31/20; ; 6/4; 7/5; 11/8; ; 29/20; 6/4; 6/4; 16/11; 16/11; ; ; ; 16/11; ; 7/5; ; ; ; ; ; 
Everton; 7/4; ; 15/8; 15/8; ; 19/10; 2; ; 9/5; 9/5; 9/5; ; 15/8; 2; 15/8; 2; 24/13; ; ; ; 24/13; ; 9/5; ; ; ; ; ; 
Draw; 23/10; ; 47/20; 9/4; ; 12/5; 23/10; ; 12/5; 12/5; 11/5; ; 23/10; 23/10; 23/10; 12/5; 9/4; ; ; ; 9/4; ; 23/10; ; ; ; ; ; 
META; english/premier-league/leicester-v-everton; 2016-12-16 04:16:39 GMT+2; 2016-12-26 15:00; e70300-dr003
Leicester; 6/4; ; 29/20; 6/4; ; 31/20; 6/4; ; 6/4; 7/5; 11/8; ; 29/20; 6/4; 6/4; 16/11; 16/11; ; ; ; 16/11; ; 7/5; ; ; ; ; ; 
Everton; 7/4; ; 15/8; 15/8; ; 19/10; 2; ; 9/5; 9/5; 9/5; ; 15/8; 2; 15/8; 2; 24/13; ; ; ; 24/13; ; 9/5; ; ; ; ; ; 
Draw; 23/10; ; 47/20; 9/4; ; 12/5; 12/5; ; 12/5; 12/5; 11/5; ; 47/20; 23/10; 23/10; 12/5; 9/4; ; ; ; 9/4; ; 23/10; ; ; ; ; ; 
META; english/premier-league/leicester-v-everton; 2016-12-16 08:16:38 GMT+2; 2016-12-26 15:00; e70300-dr003
Leicester; 6/4; ; 29/20; 6/4; ; 31/20; 6/4; ; 6/4; 7/5; 11/8; ; 29/20; 6/4; 6/4; 16/11; 16/11; ; ; ; 16/11; ; 7/5; ; ; ; ; ; 
Everton; 7/4; ; 15/8; 15/8; ; 19/10; 2; ; 9/5; 9/5; 9/5; ; 15/8; 2; 15/8; 2; 19/10; ; ; ; 19/10; ; 9/5; ; ; ; ; ; 
Draw; 23/10; ; 47/20; 9/4; ; 12/5; 12/5; ; 12/5; 12/5; 11/5; ; 47/20; 23/10; 23/10; 12/5; 11/5; ; ; ; 11/5; ; 23/10; ; ; ; ; ; 
META; english/premier-league/leicester-v-everton; 2016-12-16 12:17:07 GMT+2; 2016-12-26 15:00; e70300-dr003
Leicester; 6/4; ; 29/20; 6/4; ; 31/20; 6/4; ; 6/4; 7/5; 11/8; ; 29/20; 6/4; 6/4; 16/11; 16/11; ; ; ; 16/11; ; 7/5; ; ; ; ; ; 
