META; english/premier-league/arsenal-v-man-city; 2017-03-04 20:16:41 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-05 00:16:47 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-05 04:16:51 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-05 08:16:49 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-05 12:17:06 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-05 16:16:52 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-06 00:16:29 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-06 04:16:28 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-06 08:16:28 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-06 12:16:46 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-06 16:16:53 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-06 20:16:52 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; 6/4; ; ; ; ; ; ; ; ; 7/5; ; ; 33/20; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; 9/5; ; ; ; ; ; ; ; ; 24/13; ; ; 91/50; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-07 00:16:30 GMT+2; 2017-04-01 15:00; e70300-dr003
Arsenal; ; ; 6/4; ; ; ; ; 7/5; 6/4; ; ; ; ; ; ; ; ; 7/5; ; ; 33/20; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; 9/5; ; ; ; ; ; ; ; ; 24/13; ; ; 91/50; ; ; ; ; ; ; 
