META; english/premier-league/west-ham-v-leicester; 2017-03-04 20:16:31 GMT+2; 2017-03-18 15:00; e70300-dr003
West Ham; ; ; 1; ; ; ; ; 19/20; 11/10; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Leicester; ; ; 5/2; ; ; ; ; 14/5; 14/5; ; ; ; ; ; ; ; ; 12/5; ; ; 61/20; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-leicester; 2017-03-05 00:16:32 GMT+2; 2017-03-18 15:00; e70300-dr003
West Ham; ; ; 1; ; ; ; ; 19/20; 11/10; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Leicester; ; ; 5/2; ; ; ; ; 14/5; 14/5; ; ; ; ; ; ; ; ; 12/5; ; ; 61/20; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-leicester; 2017-03-05 04:16:36 GMT+2; 2017-03-18 15:00; e70300-dr003
West Ham; ; ; 1; ; ; ; ; 19/20; 11/10; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Leicester; ; ; 5/2; ; ; ; ; 14/5; 14/5; ; ; ; ; ; ; ; ; 12/5; ; ; 61/20; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-leicester; 2017-03-05 08:16:34 GMT+2; 2017-03-18 15:00; e70300-dr003
West Ham; ; ; 1; ; ; ; ; 19/20; 11/10; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Leicester; ; ; 5/2; ; ; ; ; 14/5; 14/5; ; ; ; ; ; ; ; ; 12/5; ; ; 61/20; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-leicester; 2017-03-05 12:16:49 GMT+2; 2017-03-18 15:00; e70300-dr003
West Ham; ; ; 1; ; ; ; ; 19/20; 11/10; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Leicester; ; ; 5/2; ; ; ; ; 14/5; 14/5; ; ; ; ; ; ; ; ; 12/5; ; ; 61/20; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-leicester; 2017-03-05 16:16:39 GMT+2; 2017-03-18 15:00; e70300-dr003
West Ham; ; 11/10; 1; ; ; ; ; 19/20; 11/10; ; ; ; ; ; ; 11/10; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; 12/5; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 13/5; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Leicester; ; 12/5; 5/2; ; ; ; ; 14/5; 14/5; ; ; ; ; ; ; 14/5; ; 12/5; ; ; 61/20; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-leicester; 2017-03-05 20:16:43 GMT+2; 2017-03-18 15:00; e70300-dr003
West Ham; 23/20; 11/10; 1; ; 5/4; ; 13/10; 19/20; 6/5; 6/5; 5/4; ; 6/5; ; ; 5/4; 6/5; 11/10; ; 6/5; 5/4; ; ; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; ; 12/5; 23/10; 12/5; 12/5; 11/5; ; 12/5; ; ; 5/2; 40/17; 23/10; ; 40/17; 12/5; ; ; ; ; ; ; 
