META; english/premier-league/man-utd-v-middlesbrough; 2016-12-19 08:16:41 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/9; ; 3/10; ; ; ; 1/4; 2/7; 3/10; 2/7; 1/4; ; ; 2/7; 30/100; 2/7; 3/11; 3/11; 3/10; 1/4; 3/11; 3/10; ; 3/11; ; ; 1/4; ; 
Draw; 5; ; 37/10; ; ; ; 19/4; 4; 19/4; 17/4; 4; ; ; 24/5; 9/2; 9/2; 9/2; 9/2; 17/4; 9/2; 9/2; 49/10; ; 9/2; ; ; 22/5; ; 
Middlesbrough; 11; ; 15/2; ; ; ; 14; 9; 10; 11; 11; ; ; 11; 9; 12; 37/4; 10; 8; 10; 37/4; 12; ; 10; ; ; 10; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-19 12:16:47 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; ; 3/10; 2/7; ; 3/10; 2/7; 2/7; 3/10; 2/7; 1/4; 2/7; 1/4; 2/7; 30/100; 3/10; 2/7; 3/11; 3/10; 1/4; 2/7; 3/10; 1/4; 3/11; ; ; 1/4; ; 
Draw; 4; ; 37/10; 4; ; 470/100; 9/2; 4; 19/4; 17/4; 4; 4; 17/4; 24/5; 9/2; 9/2; 43/10; 9/2; 17/4; 9/2; 43/10; 49/10; 9/2; 9/2; ; ; 22/5; ; 
Middlesbrough; 11; ; 15/2; 11; ; 11; 14; 9; 10; 11; 11; 11; 14; 11; 9; 12; 37/4; 10; 8; 10; 37/4; 12; 10; 10; ; ; 10; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-19 16:16:51 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 2/7; 2/7; 2/7; ; 3/10; 2/7; 2/7; 3/10; 2/7; 1/4; 2/7; 1/4; 2/7; 30/100; 3/10; 2/7; 3/11; 3/10; 1/4; 2/7; 3/10; 1/4; 3/11; ; ; 1/4; ; 
Draw; 4; 4; 17/4; 4; ; 470/100; 9/2; 4; 19/4; 17/4; 4; 4; 17/4; 24/5; 9/2; 9/2; 43/10; 9/2; 17/4; 9/2; 43/10; 49/10; 9/2; 9/2; ; ; 22/5; ; 
Middlesbrough; 11; 11; 11; 11; ; 11; 14; 9; 10; 11; 11; 11; 14; 11; 9; 12; 37/4; 10; 8; 10; 37/4; 12; 10; 10; ; ; 10; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-19 20:16:56 GMT+2; 2016-12-31 15:00; e70300-dr003
