Hull; 11/2; 5; 5; 5; 9/2; ; 11/2; 5; 5; 19/4; 19/4; ; 6; 5; 5; 11/2; 67/13; 11/2; 6; 11/2; 67/13; 33/5; ; 11/2; ; ; 5; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-12 08:15:38 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 8/15; 8/13; 8/13; 4/7; ; 8/13; 1/2; 4/7; 8/13; 6/10; ; 4/7; 6/10; 13/20; 8/13; 11/17; 6/11; 4/7; ; 8/13; 57/100; ; ; ; ; 4/7; ; 
Draw; 11/4; 3; 29/10; 14/5; 11/4; ; 3; 3; 3; 14/5; 11/4; ; 14/5; 29/10; 14/5; 3; 14/5; 14/5; 27/10; ; 14/5; 61/20; ; ; ; ; 3; ; 
Hull; 9/2; 5; 9/2; 9/2; 9/2; ; 21/4; 5; 5; 17/4; 17/4; ; 21/4; 9/2; 9/2; 5; 49/11; 11/2; 21/4; ; 23/5; 33/5; ; ; ; ; 5; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-12 12:08:07 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 3/5; 8/13; 4/6; 4/6; 4/7; 13/20; 13/20; 1/2; 8/13; 13/20; 8/13; ; 8/13; 13/20; 13/20; 8/13; 11/18; 3/5; 4/7; 4/7; 8/13; 63/100; 4/7; 3/5; ; ; 4/7; ; 
Draw; 11/4; 29/10; 14/5; 14/5; 11/4; 14/5; 3; 3; 14/5; 14/5; 27/10; ; 14/5; 14/5; 14/5; 3; 11/4; 11/4; 27/10; 11/4; 11/4; 61/20; 14/5; 11/4; ; ; 3; ; 
Hull; 5; 9/2; 17/4; 4; 9/2; 19/4; 19/4; 5; 9/2; 17/4; 4; ; 19/4; 9/2; 9/2; 5; 63/13; 5; 21/4; 5; 79/17; 27/5; 23/5; 5; ; ; 5; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-12 16:16:41 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 3/5; 8/13; 4/6; 4/6; 4/7; 13/20; 13/20; 1/2; 8/13; 13/20; 8/13; 13/20; 8/13; 13/20; 13/20; 8/13; 8/13; 3/5; 4/7; 4/7; 8/13; 63/100; 4/7; 3/5; 8/13; ; 4/7; ; 
Draw; 11/4; 29/10; 14/5; 14/5; 11/4; 14/5; 3; 3; 14/5; 14/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 37/13; 11/4; 27/10; 11/4; 37/13; 61/20; 14/5; 11/4; 11/4; ; 11/4; ; 
Hull; 5; 9/2; 17/4; 4; 9/2; 19/4; 19/4; 5; 9/2; 17/4; 4; 4; 9/2; 9/2; 9/2; 5; 50/11; 5; 21/4; 5; 50/11; 27/5; 23/5; 5; 17/4; ; 4; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-12 20:16:42 GMT+2; 2016-12-17 15:00; e70300-dr003
