META; english/premier-league/west-brom-v-arsenal; 2017-02-28 04:16:37 GMT+2; 2017-03-18 12:30; e70300-dr003
Arsenal; ; ; 13/20; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; 11/17; ; ; 77/100; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; 
West Brom; ; ; 4; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 4; ; ; 43/10; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-arsenal; 2017-02-28 08:16:32 GMT+2; 2017-03-18 12:30; e70300-dr003
Arsenal; ; ; 13/20; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; 11/17; ; ; 77/100; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; 
West Brom; ; ; 4; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 4; ; ; 43/10; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-arsenal; 2017-02-28 12:16:44 GMT+2; 2017-03-18 12:30; e70300-dr003
Arsenal; ; ; 13/20; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; 11/17; ; ; 77/100; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; 
West Brom; ; ; 4; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 4; ; ; 43/10; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-arsenal; 2017-02-28 16:16:40 GMT+2; 2017-03-18 12:30; e70300-dr003
Arsenal; ; ; 13/20; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; 11/17; ; ; 77/100; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; 
West Brom; ; ; 4; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 4; ; ; 43/10; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-arsenal; 2017-02-28 20:16:53 GMT+2; 2017-03-18 12:30; e70300-dr003
Arsenal; ; ; 13/20; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; 11/17; ; ; 77/100; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; 
West Brom; ; ; 4; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 4; ; ; 43/10; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-arsenal; 2017-03-01 00:16:43 GMT+2; 2017-03-18 12:30; e70300-dr003
Arsenal; ; ; 13/20; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; 11/17; ; ; 77/100; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; 
West Brom; ; ; 4; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 4; ; ; 43/10; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-arsenal; 2017-03-01 04:16:39 GMT+2; 2017-03-18 12:30; e70300-dr003
Arsenal; ; ; 13/20; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; 11/17; ; ; 77/100; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; 
West Brom; ; ; 4; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 4; ; ; 43/10; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-arsenal; 2017-03-01 08:16:39 GMT+2; 2017-03-18 12:30; e70300-dr003
Arsenal; ; ; 13/20; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; 11/17; ; ; 77/100; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; 
West Brom; ; ; 4; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 4; ; ; 43/10; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-arsenal; 2017-03-01 12:16:49 GMT+2; 2017-03-18 12:30; e70300-dr003
Arsenal; ; ; 13/20; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; 11/17; ; ; 77/100; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; 
West Brom; ; ; 4; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 4; ; ; 43/10; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-arsenal; 2017-03-01 16:16:47 GMT+2; 2017-03-18 12:30; e70300-dr003
Arsenal; ; ; 13/20; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; 11/17; ; ; 77/100; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; 
