META; english/premier-league/west-ham-v-stoke; 2016-10-22 20:17:54 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; ; ; ; ; ; ; ; 5/6; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 16/5; 3; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-23 00:17:37 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; ; ; ; ; ; ; ; 5/6; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 16/5; 3; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-23 04:17:32 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; ; ; ; ; ; ; ; 5/6; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 16/5; 3; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-23 08:17:46 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; ; ; ; ; ; ; ; 5/6; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 16/5; 3; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-23 12:17:34 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; ; ; ; ; ; ; ; 5/6; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 16/5; 3; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-23 16:17:42 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; ; ; ; ; ; ; ; 5/6; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 16/5; 3; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-23 20:17:52 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; ; ; ; ; ; ; 6/5; 5/6; 6/5; 23/20; ; ; 11/10; ; ; ; ; ; 11/10; ; ; ; ; 11/10; ; ; ; ; 
Draw; ; ; ; ; ; ; 5/2; 12/5; 5/2; 5/2; ; ; 12/5; ; ; ; ; ; 23/10; ; ; ; ; 12/5; ; ; ; ; 
Stoke; ; ; ; ; ; ; 12/5; 16/5; 12/5; 9/4; ; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; 27/11; ; ; ; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-24 00:17:26 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; ; ; ; ; ; ; 23/20; 5/6; 6/5; 11/10; 11/10; ; 11/10; ; ; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 8/11; ; 
Draw; ; ; ; ; ; ; 5/2; 12/5; 5/2; 5/2; 23/10; ; 49/20; ; ; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 7/5; ; 
Stoke; ; ; ; ; ; ; 13/5; 16/5; 12/5; 23/10; 11/5; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 7/5; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-24 04:17:46 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; ; ; ; ; 23/20; 5/6; 6/5; 11/10; 11/10; ; 11/10; ; ; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 5/6; ; 
Draw; 12/5; ; ; ; ; ; 5/2; 12/5; 5/2; 5/2; 23/10; ; 49/20; ; ; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 7/4; ; 
Stoke; 9/4; ; ; ; ; ; 13/5; 16/5; 12/5; 23/10; 11/5; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 7/4; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-24 08:17:34 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; ; ; ; ; 23/20; 5/6; 6/5; 11/10; 11/10; ; 11/10; ; ; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 8/11; ; 
Draw; 12/5; ; ; ; ; ; 5/2; 12/5; 5/2; 5/2; 23/10; ; 49/20; ; ; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 7/4; ; 
Stoke; 9/4; ; ; ; ; ; 13/5; 16/5; 12/5; 23/10; 11/5; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 7/4; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-24 12:17:50 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; ; ; 6/5; 6/5; 5/6; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; ; ; 5/2; 5/2; 12/5; 5/2; 5/2; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 23/10; ; 
Stoke; 9/4; ; 23/10; ; ; 12/5; 5/2; 16/5; 12/5; 23/10; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-24 16:17:45 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; ; ; 6/5; 6/5; 5/6; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; ; ; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 23/10; ; 
Stoke; 9/4; ; 23/10; ; ; 12/5; 5/2; 16/5; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-24 20:18:00 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; ; ; 6/5; 6/5; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; ; ; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 23/10; ; 
Stoke; 9/4; ; 23/10; ; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-25 00:17:46 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; ; ; 6/5; 6/5; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; ; ; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 23/10; ; 
Stoke; 9/4; ; 23/10; ; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-25 04:17:45 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 23/20; ; 23/20; ; ; 6/5; 6/5; 19/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 6/5; ; ; ; 11/10; ; ; ; ; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; 49/20; ; ; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; 23/10; ; 
Stoke; 9/4; ; 23/10; ; ; 12/5; 5/2; 11/4; 12/5; 12/5; 11/5; ; 47/20; 9/4; 23/10; ; ; ; 12/5; ; ; ; ; 27/11; ; ; 21/10; ; 
