META; english/premier-league/west-brom-v-southampton; 2017-03-30 00:25:57 GMT+3; 2017-04-08 15:00; e70300-dr003
Southampton; ; ; 11/8; ; ; ; ; 6/4; 6/4; ; ; 6/4; ; ; ; ; ; 7/5; ; ; 7/4; ; ; ; ; ; ; ; 
West Brom; ; ; 7/4; ; ; ; ; 7/4; 15/8; ; ; 9/5; ; ; ; ; ; 24/13; ; ; 9/5; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 11/5; 12/5; ; ; 23/10; ; ; ; ; ; 23/10; ; ; 47/20; ; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-southampton; 2017-04-01 20:16:36 GMT+3; 2017-04-08 15:00; e70300-dr003
Southampton; ; ; 11/8; ; ; 29/20; 13/8; 6/4; 6/4; ; ; 31/20; ; ; ; 8/5; 6/4; 7/5; ; 6/4; 33/20; ; ; ; ; ; 17/10; ; 
West Brom; ; ; 7/4; ; ; 9/5; 19/10; 7/4; 15/8; ; ; 7/4; ; ; ; 15/8; 24/13; 24/13; ; 24/13; 19/10; ; ; ; ; ; 13/10; ; 
Draw; ; ; 12/5; ; ; 9/4; 23/10; 11/5; 12/5; ; ; 9/4; ; ; ; 12/5; 23/10; 23/10; ; 23/10; 12/5; ; ; ; ; ; 21/10; ; 
META; english/premier-league/west-brom-v-southampton; 2017-04-02 00:16:20 GMT+3; 2017-04-08 15:00; e70300-dr003
Southampton; ; ; 11/8; ; ; 29/20; 13/8; 6/4; 6/4; ; ; 31/20; ; ; ; 8/5; 6/4; 7/5; ; 6/4; 33/20; ; ; ; ; ; ; ; 
West Brom; ; ; 7/4; ; ; 9/5; 19/10; 7/4; 15/8; ; ; 7/4; ; ; ; 15/8; 24/13; 24/13; ; 24/13; 19/10; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; 9/4; 23/10; 11/5; 12/5; ; ; 9/4; ; ; ; 12/5; 23/10; 23/10; ; 23/10; 12/5; ; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-southampton; 2017-04-02 04:16:30 GMT+3; 2017-04-01 19:00; e70300-dr003
Draw 1-1; 11/2; 11/2; ; ; 11/2; ; 6; ; ; 6; ; 11/2; 11/2; ; 11/2; 11/2; 25/4; 11/2; ; 25/4; ; 11/2; 6; ; 6; ; 24/5; ; 
St Truiden 1-0; 13/2; 6; ; ; 6; ; 13/2; ; ; 13/2; ; 6; 6; ; 6; 6; 27/4; 25/4; ; 27/4; ; 6; 13/2; ; 13/2; ; 11/2; ; 
St Truiden 2-1; 15/2; 7; ; ; 15/2; ; 8; ; ; 15/2; ; 7; 7; ; 15/2; 7; 33/4; 31/4; ; 33/4; ; 38/5; 8; ; 8; ; 34/5; ; 
St Truiden 2-0; 17/2; 17/2; ; ; 8; ; 17/2; ; ; 8; ; 8; 8; ; 8; 8; 9; 35/4; ; 9; ; 41/5; 9; ; 9; ; 38/5; ; 
Draw 0-0; 9; 17/2; ; ; 8; ; 15/2; ; ; 10; ; 9; 15/2; ; 8; 8; 15/2; 27/4; ; 15/2; ; 10; 17/2; ; 17/2; ; 41/5; ; 
Waasland Beveren 1-0; 10; 10; ; ; 10; ; 21/2; ; ; 9; ; 9; 9; ; 9; 9; 19/2; 35/4; ; 19/2; ; 89/10; 10; ; 10; ; 41/5; ; 
Waasland Beveren 2-1; 12; 11; ; ; 11; ; 12; ; ; 11; ; 10; 11; ; 11; 11; 47/4; 11; ; 47/4; ; 11; 12; ; 12; ; 10; ; 
Draw 2-2; 14; 12; ; ; 14; ; 15; ; ; 14; ; 12; 14; ; 12; 12; 61/4; 14; ; 61/4; ; 15; 15; ; 15; ; 64/5; ; 
St Truiden 3-1; 16; 14; ; ; 14; ; 15; ; ; 14; ; 12; 14; ; 12; 14; 33/2; 15; ; 33/2; ; 16; 15; ; 15; ; 64/5; ; 
St Truiden 3-0; 16; 16; ; ; 16; ; 17; ; ; 16; ; 14; 16; ; 14; 16; 71/4; 33/2; ; 71/4; ; 17; 15; ; 15; ; 73/5; ; 
Waasland Beveren 2-0; 18; 16; ; ; 18; ; 19; ; ; 16; ; 16; 18; ; 16; 16; 17; 16; ; 17; ; 17; 17; ; 17; ; 83/5; ; 
St Truiden 3-2; 25; 22; ; ; 25; ; 28; ; ; 25; ; 20; 25; ; 22; 22; 111/4; 22; ; 111/4; ; 30; 27; ; 27; ; 22; ; 
Waasland Beveren 3-1; 28; 25; ; ; 28; ; 30; ; ; 28; ; 22; 30; ; 25; 25; 111/4; 25; ; 111/4; ; 30; 29; ; 29; ; 25; ; 
Any Other Score; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 25; ; ; ; 30; ; ; ; ; ; ; 
Waasland Beveren 3-2; 40; 33; ; ; 33; ; 35; ; ; 33; ; 25; 40; ; 28; 33; 35; 35; ; 35; ; 40; 40; ; 40; ; 25; ; 
St Truiden 4-1; 33; 33; ; ; 33; ; 35; ; ; 33; ; 25; 33; ; 28; 33; 145/4; 35; ; 145/4; ; 40; 33; ; 33; ; ; ; 
St Truiden 4-0; 40; 33; ; ; 40; ; 45; ; ; 33; ; 28; 40; ; 33; 33; 75/2; 40; ; 75/2; ; 45; 33; ; 33; ; ; ; 
Waasland Beveren 3-0; 40; 40; ; ; 40; ; 45; ; ; 40; ; 33; 50; ; 40; 33; 77/2; 40; ; 77/2; ; 50; 38; ; 38; ; 33; ; 
St Truiden 4-2; 50; 50; ; ; 50; ; 55; ; ; 66; ; 40; 60; ; 50; 50; 53; 66; ; 53; ; 70; 60; ; 60; ; ; ; 
Draw 3-3; 50; 50; ; ; 50; ; 55; ; ; 66; ; 40; 60; ; 50; 50; 217/4; 100; ; 217/4; ; 80; 66; ; 66; ; 1/7; ; 
St Truiden 5-1; 66; 80; ; ; 80; ; 90; ; ; 100; ; 50; 100; ; 80; 66; 71; ; ; 71; ; ; 80; ; 80; ; ; ; 
Waasland Beveren 4-1; 66; 66; ; ; 80; ; 90; ; ; 100; ; 50; 90; ; 80; 66; 64; 100; ; 64; ; 110; 80; ; 80; ; ; ; 
St Truiden 5-0; 80; 80; ; ; 80; ; 90; ; ; 100; ; 50; 125; ; 80; 66; 147/2; ; ; 147/2; ; ; 90; ; 90; ; ; ; 
St Truiden 5-2; 125; ; ; ; 125; ; 150; ; ; 175; ; 66; 150; ; 100; 100; 347/4; ; ; 347/4; ; ; 150; ; 150; ; ; ; 
Waasland Beveren 4-0; 100; 80; ; ; 100; ; 110; ; ; 150; ; 50; 125; ; 100; 80; 76; 200; ; 76; ; 160; 110; ; 110; ; ; ; 
Waasland Beveren 4-2; 80; 80; ; ; 80; ; 90; ; ; 125; ; 50; 100; ; 80; 80; 289/4; 200; ; 289/4; ; 140; 110; ; 110; ; ; ; 
Waasland Beveren 8-0; ; ; ; ; 200; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 6-0; ; ; ; ; 200; ; 225; ; ; ; ; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
St Truiden 4-3; 100; 100; ; ; 100; ; 110; ; ; 175; ; 50; 125; ; 100; 80; 333/4; 250; ; 333/4; ; 180; 150; ; 150; ; ; ; 
St Truiden 8-0; ; ; ; ; 250; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 4-3; 150; ; ; ; 125; ; 150; ; ; 200; ; 66; 125; ; 125; 100; 361/4; 250; ; 361/4; ; 200; 225; ; 225; ; ; ; 
Waasland Beveren 8-1; ; ; ; ; 250; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
St Truiden 7-0; ; ; ; ; 250; ; 275; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
St Truiden 7-1; ; ; ; ; 250; ; 275; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 6-1; ; ; ; ; 250; ; 275; ; ; ; ; ; 200; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 6-2; ; ; ; ; 250; ; 275; ; ; ; ; ; 200; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 7-0; ; ; ; ; 250; ; 275; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 7-1; ; ; ; ; 250; ; 275; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
St Truiden 5-4; ; ; ; ; 300; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
St Truiden 6-1; 200; ; ; ; 200; ; 225; ; ; 300; ; 66; 175; ; 250; 200; ; ; ; ; ; ; 250; ; 250; ; ; ; 
St Truiden 6-3; ; ; ; ; 300; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
St Truiden 7-2; ; ; ; ; 300; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
St Truiden 8-1; ; ; ; ; 300; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 5-4; ; ; ; ; 300; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 6-3; ; ; ; ; 300; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 7-2; ; ; ; ; 300; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
St Truiden 6-0; 250; ; ; ; 200; ; 225; ; ; 350; ; 80; 175; ; ; 200; ; ; ; ; ; ; 275; ; 275; ; ; ; 
St Truiden 5-3; 300; ; ; ; 200; ; 225; ; ; 400; ; 80; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 5-1; 250; ; ; ; 200; ; 225; ; ; 400; ; 80; 175; ; ; 200; ; ; ; ; ; ; 275; ; 275; ; ; ; 
Draw 4-4; 300; ; ; ; 200; ; 225; ; ; 450; ; 80; 175; ; ; 200; ; 250; ; ; ; 200; 400; ; 400; ; ; ; 
St Truiden 10-0; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
St Truiden 10-1; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
St Truiden 6-2; 400; ; ; ; 250; ; 275; ; ; 500; ; ; 200; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; 
St Truiden 9-0; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
St Truiden 9-1; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 10-0; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 10-1; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 5-0; 350; ; ; ; 250; ; 275; ; ; 500; ; ; 200; ; ; 250; ; ; ; ; ; ; 375; ; 375; ; ; ; 
Waasland Beveren 5-2; 300; ; ; ; 250; ; 275; ; ; 500; ; ; 175; ; ; 250; ; ; ; ; ; ; 375; ; 375; ; ; ; 
Waasland Beveren 5-3; ; ; ; ; 250; ; 275; ; ; 500; ; ; 200; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 9-0; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Waasland Beveren 9-1; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-southampton; 2017-04-02 08:17:08 GMT+3; 2017-04-01 19:45; e70300-dr003
Roma; 1/6; 2/11; 2/11; 1/5; 2/11; 1/5; 2/11; 1/6; 1/5; 2/11; 1/6; 2/11; 1/6; 1/6; 1/5; 2/11; 2/13; 2/11; ; 2/13; 9/50; 1/5; ; 2/11; 1/6; ; 2/11; 2/11; 1/5
Draw; 6; 6; 6; 11/2; 13/2; 13/2; 13/2; 11/2; 13/2; 6; 11/2; 11/2; 6; 6; 11/2; 6; 13/2; 6; ; 13/2; 15/2; 33/5; ; 6; 13/2; ; 34/5; 33/5; 7
Empoli; 14; 14; 15; 12; 14; 14; 14; 9; 12; 14; 16; 14; 16; 12; 12; 14; 67/4; 12; ; 67/4; 19; 13; ; 14; 15; ; 88/5; 35/2; 89/5
META; english/premier-league/west-brom-v-southampton; 2017-04-05 11:21:28 GMT+3; 2017-04-08 15:00; e70300-dr003
Southampton; 7/5; 6/4; 31/20; 6/4; 6/4; 6/4; 13/8; 6/4; 6/4; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 17/11; 6/4; 7/5; 6/4; 6/4; 13/8; 22/15; 6/4; 7/5; 6/4; ; ; ; 
West Brom; 19/10; 19/10; 39/20; 19/10; 19/10; 2; 19/10; 9/5; 2; 19/10; 15/8; 19/10; 39/20; 19/10; 19/10; 2; 2; 19/10; 2; 2; 39/20; 37/19; 2; 15/8; 2; ; ; ; 
Draw; 9/4; 11/5; 43/20; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 21/10; 2; 21/10; 11/5; 9/4; 9/4; 23/10; 9/4; 11/5; 9/4; 9/4; 47/20; 9/4; 9/4; 11/5; 9/4; ; ; ; 
META; english/premier-league/west-brom-v-southampton; 2017-04-05 16:15:57 GMT+3; 2017-04-08 15:00; e70300-dr003
Southampton; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 13/8; 6/4; 6/4; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 17/11; 6/4; 7/5; 6/4; 6/4; 8/5; 22/15; 6/4; 7/5; 6/4; ; ; ; 6/4
West Brom; 19/10; 19/10; 39/20; 19/10; 19/10; 2; 19/10; 9/5; 2; 2; 15/8; 19/10; 39/20; 2; 19/10; 2; 39/19; 19/10; 2; 39/19; 51/25; 37/19; 2; 15/8; 2; ; ; ; 21/10
Draw; 9/4; 11/5; 43/20; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 21/10; 2; 21/10; 11/5; 9/4; 9/4; 23/10; 11/5; 11/5; 9/4; 11/5; 58/25; 9/4; 9/4; 11/5; 9/4; ; ; ; 11/5
META; english/premier-league/west-brom-v-southampton; 2017-04-05 20:15:51 GMT+3; 2017-04-08 15:00; e70300-dr003
