Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; 13/10; 5/4; ; 13/10; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; 39/19; 21/10; ; 39/19; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; 40/17; 23/10; ; 40/17; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-22 08:17:05 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 13/10; 5/4; 5/4; ; 5/4; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 11/5; 21/10; 21/10; ; 21/10; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; 23/10; 23/10; ; 23/10; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-22 12:17:22 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-22 16:16:57 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-22 20:19:04 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-23 00:16:47 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-23 04:18:21 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-23 08:16:49 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-23 12:16:50 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-23 16:17:36 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-23 20:16:40 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-24 00:16:42 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-24 04:16:13 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-24 08:16:12 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-24 12:16:41 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-24 16:16:54 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
