Arsenal; 1/3; ; 2/5; ; 2/5; ; 2/5; 4/11; 4/9; 2/5; 2/5; ; ; ; 4/9; 2/5; 3/8; 10/29; 2/5; 2/5; 43/100; ; 5/12; ; 5/12; ; ; ; 
Draw; 4; ; 15/4; ; 19/5; ; 4; 10/3; 4; 15/4; 18/5; ; ; ; 15/4; 4; 39/10; 4; 7/2; 50/13; 4; ; 62/17; ; 62/17; ; ; ; 
West Ham; 8; ; 11/2; ; 7; ; 7; 8; 6; 6; 6; ; ; ; 6; 8; 27/4; 7; 6; 13/2; 15/2; ; 6; ; 6; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-20 12:16:17 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; 4/11; ; 2/5; ; 2/5; 1/3; 2/5; 4/11; 4/9; 2/5; 2/5; ; ; ; 4/9; 4/9; 3/8; 10/29; 1/3; 3/8; 21/50; 7/17; 1/3; ; 1/3; ; ; ; 
Draw; 4; ; 15/4; ; 4; 4; 4; 10/3; 4; 15/4; 18/5; ; ; ; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; ; 4; ; ; ; 
West Ham; 13/2; ; 13/2; ; 13/2; 8; 7; 8; 6; 6; 6; ; ; ; 6; 15/2; 27/4; 7; 8; 27/4; 15/2; 6; 8; ; 8; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-20 16:16:10 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; 4/11; ; 2/5; ; 2/5; 1/3; 2/5; 4/11; 4/9; 4/11; 2/5; 2/5; ; ; 4/9; 2/5; 4/11; 10/29; 1/3; 4/11; 21/50; 7/17; 1/3; ; 1/3; ; ; ; 
Draw; 4; ; 15/4; ; 4; 4; 4; 10/3; 4; 15/4; 18/5; 7/2; ; ; 15/4; 9/2; 41/10; 4; 4; 41/10; 41/10; 4; 4; ; 4; ; ; ; 
West Ham; 13/2; ; 13/2; ; 13/2; 8; 7; 8; 6; 13/2; 6; 13/2; ; ; 6; 15/2; 7; 7; 8; 7; 15/2; 6; 8; ; 8; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-20 20:15:58 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; ; 2/5; 1/3; 2/5; 4/11; 4/9; 4/11; 2/5; 2/5; ; ; 2/5; 4/11; 4/11; 10/29; 1/3; 4/11; 21/50; 7/17; 1/3; ; 1/3; ; ; ; 
Draw; 4; 19/5; 15/4; ; 4; 4; 4; 10/3; 4; 15/4; 18/5; 7/2; ; ; 17/4; 4; 41/10; 4; 4; 41/10; 41/10; 4; 4; ; 4; ; ; ; 
West Ham; 13/2; 11/2; 13/2; ; 13/2; 8; 7; 8; 6; 13/2; 6; 13/2; ; ; 6; 13/2; 7; 7; 8; 7; 15/2; 6; 8; ; 8; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-21 00:15:55 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; ; 2/5; 1/3; 2/5; 4/11; 4/9; 4/11; 2/5; 2/5; ; ; 2/5; 4/11; 4/11; 10/29; 1/3; 4/11; 21/50; 7/17; 1/3; ; 1/3; ; ; ; 
Draw; 4; 19/5; 15/4; ; 4; 4; 4; 10/3; 4; 15/4; 18/5; 7/2; ; ; 17/4; 4; 41/10; 4; 4; 41/10; 41/10; 4; 4; ; 4; ; ; ; 
West Ham; 13/2; 11/2; 13/2; ; 13/2; 8; 7; 8; 6; 13/2; 6; 13/2; ; ; 6; 13/2; 7; 7; 8; 7; 15/2; 6; 8; ; 8; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-21 04:15:54 GMT+2; 2017-04-05 19:45; e70300-dr003
