Southampton; 23/20; 1; ; 6/5; 6/5; ; 5/4; ; ; 6/5; ; ; 23/20; ; 5/4; 15/13; 15/13; 6/5; 11/10; 6/5; 15/13; 67/50; ; 6/5; ; ; 10/11; ; 
Draw; 12/5; 5/2; ; 11/5; 12/5; ; 9/4; ; ; 11/5; ; ; 9/4; ; 11/5; 5/2; 9/4; 12/5; 12/5; 12/5; 9/4; 12/5; ; 12/5; ; ; 19/10; ; 
Burnley; 9/4; 13/5; ; 5/2; 12/5; ; 13/5; ; ; 12/5; ; ; 49/20; ; 12/5; 13/5; 40/17; 11/5; 23/10; 11/5; 40/17; 12/5; ; 11/5; ; ; 9/5; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-02 04:16:51 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 21/20; ; 11/10; 23/20; ; 23/20; ; ; 11/10; ; ; 11/10; ; 11/10; 15/13; 11/10; 11/10; 11/10; 11/10; 11/10; 59/50; ; 11/10; ; ; 20/21; ; 
Draw; 12/5; 23/10; ; 21/10; 12/5; ; 23/10; ; ; 11/5; ; ; 9/4; ; 9/4; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; 12/5; ; 23/10; ; ; 2; ; 
Burnley; 12/5; 13/5; ; 11/4; 11/4; ; 14/5; ; ; 13/5; ; ; 13/5; ; 11/4; 11/4; 28/11; 28/11; 23/10; 5/2; 28/11; 14/5; ; 28/11; ; ; 9/5; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-02 08:16:56 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 21/20; ; 11/10; ; 23/20; 23/20; ; ; 11/10; ; ; 11/10; ; 11/10; 15/13; 11/10; 11/10; 11/10; 11/10; 11/10; 59/50; ; 11/10; ; ; 1; ; 
Draw; 12/5; 23/10; ; 21/10; ; 12/5; 23/10; ; ; 11/5; ; ; 9/4; ; 9/4; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; 12/5; ; 23/10; ; ; 2; ; 
Burnley; 12/5; 13/5; ; 11/4; ; 13/5; 14/5; ; ; 13/5; ; ; 13/5; ; 11/4; 11/4; 28/11; 28/11; 23/10; 5/2; 28/11; 14/5; ; 28/11; ; ; 9/5; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-02 12:16:38 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 21/20; ; 23/20; 23/20; 23/20; 6/5; ; ; 11/10; ; ; 11/10; ; 11/10; 15/13; 11/10; 11/10; 11/10; 11/10; 11/10; 6/5; 11/10; 11/10; ; ; 1; ; 
Draw; 12/5; 23/10; ; 11/5; 12/5; 12/5; 9/4; ; ; 11/5; ; ; 9/4; ; 9/4; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 23/10; ; ; 2; ; 
Burnley; 12/5; 13/5; ; 13/5; 11/4; 13/5; 11/4; ; ; 13/5; ; ; 13/5; ; 11/4; 11/4; 28/11; 28/11; 23/10; 5/2; 28/11; 11/4; 13/5; 28/11; ; ; 9/5; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-02 16:16:35 GMT+2; 2017-01-14 15:00; e70300-dr003
