META; english/premier-league/crystal-palace-v-tottenham; 2017-02-25 20:16:27 GMT+2; 2017-03-11 15:00; e70300-dr003
Tottenham; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; ; ; 11/17; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 14/5; ; ; 14/5; ; ; ; ; ; ; ; 
Crystal Palace; ; ; 4; ; ; ; ; 4; ; ; ; ; ; ; ; ; 41/10; ; ; 41/10; ; ; ; ; ; ; ; 
META; english/premier-league/crystal-palace-v-tottenham; 2017-02-26 00:16:21 GMT+2; 2017-03-11 15:00; e70300-dr003
Tottenham; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; 4; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/crystal-palace-v-tottenham; 2017-02-26 04:16:25 GMT+2; 2017-03-11 15:00; e70300-dr003
Tottenham; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; 4; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/crystal-palace-v-tottenham; 2017-02-26 08:16:31 GMT+2; 2017-03-11 15:00; e70300-dr003
Tottenham; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; 4; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/crystal-palace-v-tottenham; 2017-02-26 12:16:59 GMT+2; 2017-03-11 15:00; e70300-dr003
Tottenham; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; 4; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/crystal-palace-v-tottenham; 2017-02-26 16:17:16 GMT+2; 2017-03-11 15:00; e70300-dr003
Tottenham; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
