META; english/premier-league/chelsea-v-liverpool; 2016-08-22 16:17:07 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; 7/6; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; 51/20; ; ; ; ; 11/5; ; ; 5/2; 28/11; ; ; ; 
Liverpool; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; 16/11; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-22 20:17:15 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; 12/11; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; 51/20; ; ; ; ; 11/5; ; ; 5/2; 5/2; ; ; ; 
Liverpool; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; 27/17; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-23 00:17:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-23 04:17:02 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-23 08:17:11 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-23 12:17:15 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-23 16:17:12 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-23 20:17:12 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-24 00:16:59 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-24 04:16:52 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-24 08:16:55 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-24 12:16:51 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-24 16:17:42 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-24 20:17:26 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-25 00:16:53 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-25 04:16:44 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-25 08:16:39 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-25 12:16:42 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-25 16:17:24 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-25 20:16:50 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-26 00:16:36 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-26 04:15:52 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-26 08:15:51 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-26 12:15:55 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 8/7; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; 
