META; english/premier-league/man-utd-v-arsenal; 2016-10-25 20:18:13 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 6/4; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 36/17; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-26 00:17:51 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 6/4; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 36/17; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-26 04:17:56 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 6/4; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 36/17; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-26 08:17:49 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 6/4; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 36/17; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-26 12:18:31 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 6/4; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 36/17; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-26 16:18:23 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 6/4; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 36/17; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-26 20:18:06 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 19/8; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-10-27 00:17:41 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 22/15; ; ; ; ; ; ; 
Arsenal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; 24/11; ; ; ; ; ; ; 
