META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 00:16:34 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 04:16:33 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 08:16:33 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 12:16:54 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 16:16:58 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 20:16:57 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; ; ; ; ; 
