West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 39/4; 10; 13; 10; ; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-05 08:17:48 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/10; 1/5; 3/10; ; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 19/4; 4; 5; 4; ; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 39/4; 10; 13; 10; ; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-05 12:18:17 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/10; 1/5; 3/10; ; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 19/4; 4; 5; 4; ; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 10; 10; 10; ; ; ; 19/2; 11; 39/4; 10; 13; 10; ; 12; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-05 16:17:47 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/10; 1/5; 3/10; ; 2/7; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 4; 19/4; 17/4; ; ; ; 19/4; 5; 19/4; 4; 5; 4; ; 26/5; 5; ; ; ; ; 
