META; english/premier-league/swansea-v-man-utd; 2016-10-23 00:17:49 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 8/15; 8/15; ; ; ; ; ; ; ; ; ; 6/11; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-23 04:17:43 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 8/15; 8/15; ; ; ; ; ; ; ; ; ; 6/11; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-23 08:17:58 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 8/15; 8/15; ; ; ; ; ; ; ; ; ; 6/11; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-23 12:17:49 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 8/15; 8/15; ; ; ; ; ; ; ; ; ; 6/11; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-23 16:17:56 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 8/15; 8/15; ; ; ; ; ; ; ; ; ; 6/11; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-23 20:18:05 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 11/20; 8/15; 8/15; 8/15; ; ; ; ; ; ; ; ; 6/11; ; 4/7; ; ; 4/7; ; ; ; ; 
Draw; ; ; ; ; ; ; 16/5; 14/5; 10/3; 16/5; ; ; ; ; ; ; ; ; 3; ; 29/10; ; ; 29/10; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11/2; 5; 21/4; 5; ; ; ; ; ; ; ; ; 19/4; ; 49/10; ; ; 5; ; ; ; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-24 00:17:42 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 4/7; 8/15; 8/15; 8/15; 8/15; ; 8/15; ; ; ; ; ; 6/11; ; 10/17; ; ; 4/7; ; ; 1/16; ; 
Draw; ; ; ; ; ; ; 16/5; 14/5; 10/3; 16/5; 3; ; 3; ; ; ; ; ; 3; ; 58/19; ; ; 29/10; ; ; 1/50; ; 
Swansea; ; ; ; ; ; ; 11/2; 5; 5; 5; 19/4; ; 21/4; ; ; ; ; ; 19/4; ; 22/5; ; ; 5; ; ; 1/16; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-24 04:17:58 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; ; ; ; ; ; 4/7; 8/15; 8/15; 11/20; 8/15; ; 8/15; ; ; ; ; ; 6/11; ; 10/17; ; ; 4/7; ; ; 1/5; ; 
Draw; 11/4; ; ; ; ; ; 16/5; 14/5; 10/3; 16/5; 3; ; 3; ; ; ; ; ; 3; ; 56/19; ; ; 29/10; ; ; 11/5; ; 
Swansea; 5; ; ; ; ; ; 11/2; 5; 5; 19/4; 9/2; ; 21/4; ; ; ; ; ; 19/4; ; 9/2; ; ; 5; ; ; 7/2; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-24 08:17:49 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; ; ; ; ; ; 4/7; 8/15; 8/15; 11/20; 8/15; ; 8/15; ; ; ; ; ; 6/11; ; 10/17; ; ; 4/7; ; ; 4/9; ; 
Draw; 11/4; ; ; ; ; ; 16/5; 14/5; 10/3; 16/5; 3; ; 3; ; ; ; ; ; 3; ; 56/19; ; ; 29/10; ; ; 23/10; ; 
Swansea; 5; ; ; ; ; ; 11/2; 5; 5; 19/4; 9/2; ; 21/4; ; ; ; ; ; 19/4; ; 9/2; ; ; 5; ; ; 7/2; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-24 12:18:07 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; ; 4/7; ; ; 3/5; 4/7; 8/15; 8/15; 4/7; 8/15; ; 8/15; ; 4/7; ; ; ; 6/11; ; 11/18; ; ; 4/7; ; ; 2/5; ; 
Draw; 11/4; ; 31/10; ; ; 16/5; 16/5; 14/5; 10/3; 3; 29/10; ; 3; ; 3; ; ; ; 3; ; 56/19; ; ; 29/10; ; ; 23/10; ; 
Swansea; 5; ; 19/4; ; ; 19/4; 11/2; 5; 5; 9/2; 9/2; ; 21/4; ; 5; ; ; ; 19/4; ; 22/5; ; ; 5; ; ; 7/2; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-24 16:17:58 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; ; ; 3/5; 4/7; 8/15; 4/7; 4/7; 8/15; ; 4/7; 4/7; 4/7; ; ; ; 6/11; ; 4/7; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; ; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; 3; 16/5; 3; ; ; ; 3; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; ; ; 19/4; 21/4; 5; 19/4; 9/2; 9/2; ; 19/4; 9/2; 5; ; ; ; 19/4; ; 9/2; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-24 20:18:15 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; ; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; 11/20; 4/7; 4/7; ; ; ; 6/11; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; ; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; 3; 16/5; 3; ; ; ; 3; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; ; ; 19/4; 21/4; 5; 19/4; 9/2; 17/4; ; 5; 9/2; 5; ; ; ; 19/4; ; 23/5; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-25 00:17:59 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; ; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; 11/20; 4/7; 4/7; ; ; ; 6/11; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; ; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; 3; 16/5; 3; ; ; ; 3; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; ; ; 19/4; 21/4; 5; 19/4; 9/2; 17/4; ; 5; 9/2; 5; ; ; ; 19/4; ; 23/5; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-25 04:17:58 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; ; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; 11/20; 4/7; 4/7; ; ; ; 6/11; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; ; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; 3; 16/5; 3; ; ; ; 3; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; ; ; 19/4; 21/4; 5; 19/4; 9/2; 17/4; ; 5; 9/2; 5; ; ; ; 19/4; ; 23/5; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-25 08:17:55 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; ; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; 11/20; 4/7; 4/7; ; ; ; 6/11; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; ; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; 3; 16/5; 3; ; ; ; 3; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; ; ; 19/4; 21/4; 5; 19/4; 9/2; 17/4; ; 5; 9/2; 5; ; ; ; 19/4; ; 23/5; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-25 12:18:17 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; ; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; 11/20; 4/7; 4/7; ; ; ; 6/11; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; ; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; 3; 16/5; 3; ; ; ; 3; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; ; ; 19/4; 21/4; 5; 19/4; 9/2; 17/4; ; 5; 9/2; 5; ; ; ; 19/4; ; 23/5; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-25 16:18:00 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; ; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; 11/20; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; ; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; 3; 16/5; 3; ; ; ; 31/10; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; ; ; 19/4; 21/4; 5; 9/2; 9/2; 17/4; ; 5; 9/2; 5; ; ; ; 17/4; ; 23/5; ; ; 5; ; ; 21/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-25 20:18:06 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 6/10; 4/7; ; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; ; 11/20; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; 4/7; ; ; 8/15; ; 
Draw; 14/5; ; 3; 14/5; ; 16/5; 33/10; 14/5; 3; 3; 29/10; ; 3; 16/5; 3; ; ; ; 31/10; ; 31/10; ; ; 29/10; ; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 5; ; 19/4; 21/4; 5; 9/2; 9/2; 17/4; ; 5; 9/2; 5; ; ; ; 17/4; ; 50/11; ; ; 5; ; ; 21/5; ; 
