META; english/premier-league/tottenham-v-southampton; 2017-03-04 20:16:36 GMT+2; 2017-03-19 14:15; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 8/15; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 27/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Southampton; ; ; 6; ; ; ; ; 11/2; 11/2; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-05 00:16:42 GMT+2; 2017-03-19 14:15; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 8/15; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 27/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Southampton; ; ; 6; ; ; ; ; 11/2; 11/2; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-05 04:16:46 GMT+2; 2017-03-19 14:15; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 8/15; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 27/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Southampton; ; ; 6; ; ; ; ; 11/2; 11/2; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-05 08:16:44 GMT+2; 2017-03-19 14:15; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 8/15; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 27/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Southampton; ; ; 6; ; ; ; ; 11/2; 11/2; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-05 12:17:01 GMT+2; 2017-03-19 14:15; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 8/15; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 27/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Southampton; ; ; 6; ; ; ; ; 11/2; 11/2; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-05 16:16:46 GMT+2; 2017-03-19 14:15; e70300-dr003
Tottenham; ; 8/15; 4/9; ; ; ; ; 8/15; 4/7; ; ; ; ; ; ; 4/7; ; 8/15; ; ; 63/100; ; ; ; ; ; ; 
Draw; ; 3; 3; ; ; ; ; 27/10; 3; ; ; ; ; ; ; 31/10; ; 3; ; ; 3; ; ; ; ; ; ; 
Southampton; ; 5; 6; ; ; ; ; 11/2; 11/2; ; ; ; ; ; ; 6; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-05 20:16:51 GMT+2; 2017-03-19 14:15; e70300-dr003
Tottenham; 11/20; 8/15; 4/9; ; 3/5; ; 3/5; 8/15; 4/7; 4/7; ; ; 11/20; ; ; 8/13; 10/17; 8/15; ; 10/17; 3/5; ; ; ; ; ; ; 
Draw; 29/10; 3; 3; ; 3; ; 3; 27/10; 3; 3; ; ; 59/20; ; ; 31/10; 56/19; 3; ; 56/19; 16/5; ; ; ; ; ; ; 
Southampton; 5; 5; 6; ; 11/2; ; 11/2; 11/2; 19/4; 19/4; ; ; 21/4; ; ; 11/2; 23/5; 5; ; 23/5; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-06 00:16:25 GMT+2; 2017-03-19 14:15; e70300-dr003
Tottenham; 11/20; 8/15; 4/9; ; 3/5; ; 3/5; 8/15; 4/7; 4/7; 4/7; ; 11/20; ; ; 8/13; 4/7; 8/15; 4/7; 4/7; 3/5; ; 4/7; ; ; 2/5; ; 
Draw; 29/10; 3; 3; ; 3; ; 3; 27/10; 3; 3; 14/5; ; 59/20; ; ; 31/10; 56/19; 3; 14/5; 56/19; 16/5; ; 56/19; ; ; 21/10; ; 
Southampton; 5; 5; 6; ; 11/2; ; 11/2; 11/2; 19/4; 19/4; 9/2; ; 5; ; ; 11/2; 19/4; 5; 5; 19/4; 11/2; ; 5; ; ; 7/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-06 04:16:24 GMT+2; 2017-03-19 14:15; e70300-dr003
Tottenham; 11/20; 8/15; 4/9; ; 3/5; ; 3/5; 8/15; 4/7; 4/7; 4/7; ; 11/20; ; ; 8/13; 4/7; 8/15; 4/7; 4/7; 3/5; ; 4/7; ; ; 2/5; ; 
Draw; 29/10; 3; 3; ; 3; ; 3; 27/10; 3; 3; 14/5; ; 59/20; ; ; 31/10; 56/19; 3; 14/5; 56/19; 16/5; ; 56/19; ; ; 21/10; ; 
Southampton; 5; 5; 6; ; 11/2; ; 11/2; 11/2; 19/4; 19/4; 9/2; ; 5; ; ; 11/2; 19/4; 5; 5; 19/4; 11/2; ; 5; ; ; 7/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-06 08:16:24 GMT+2; 2017-03-19 14:15; e70300-dr003
Tottenham; 11/20; 8/15; 4/9; ; 3/5; ; 3/5; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; ; ; 8/13; 4/7; 8/15; 4/7; 4/7; 3/5; ; 4/7; ; ; 4/9; ; 
