Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-02-27 20:16:37 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; 4/5; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-02-28 00:16:30 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; 4/5; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-02-28 04:16:32 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; 4/5; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-02-28 08:16:27 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; 4/5; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-02-28 12:16:39 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; 4/5; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-02-28 16:16:35 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-02-28 20:16:48 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-03-01 00:16:37 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-03-01 04:16:34 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-03-01 08:16:34 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-03-01 12:16:42 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-03-01 16:16:42 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-03-01 20:17:26 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-03-05 20:16:24 GMT+2; 2017-03-15 12:00; e70300-dr003
Middlesbrough; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-sunderland; 2017-04-18 14:17:34 GMT+3; 2017-04-26 19:45; e70300-dr003
Middlesbrough; 21/20; 1; 11/10; 11/10; ; 21/20; 11/10; 5/6; 21/20; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 9/10; 20/21; 1; 103/100; 39/40; 19/20; ; 19/20; ; ; ; 1
Draw; 23/10; 23/10; 9/4; 9/4; ; 5/2; 23/10; 23/10; 12/5; 23/10; 21/10; 23/10; 47/20; ; 5/2; 12/5; 40/17; 12/5; 12/5; 40/17; 121/50; 12/5; 12/5; ; 12/5; ; ; ; 12/5
Sunderland; 13/5; 14/5; 11/4; 13/5; ; 14/5; 3; 3; 14/5; 14/5; 13/5; 13/5; 29/10; ; 13/5; 29/10; 14/5; 3; 3; 14/5; 13/4; 3; 31/10; ; 31/10; ; ; ; 3
META; english/premier-league/middlesbrough-v-sunderland; 2017-04-19 16:45:12 GMT+3; 2017-04-26 19:45; e70300-dr003
Middlesbrough; 21/20; 1; 11/10; 11/10; ; 21/20; 21/20; 5/6; 21/20; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 9/10; 1; 1; 53/50; 1; 1; ; 1; ; ; ; 1
Draw; 23/10; 23/10; 9/4; 9/4; ; 5/2; 12/5; 23/10; 12/5; 23/10; 21/10; 23/10; 47/20; ; 5/2; 12/5; 40/17; 12/5; 12/5; 40/17; 49/20; 12/5; 12/5; ; 12/5; ; ; ; 12/5
Sunderland; 13/5; 14/5; 11/4; 13/5; ; 14/5; 3; 3; 14/5; 14/5; 13/5; 13/5; 29/10; ; 13/5; 29/10; 14/5; 3; 3; 14/5; 31/10; 29/10; 3; ; 3; ; ; ; 3
META; english/premier-league/middlesbrough-v-sunderland; 2017-04-25 10:33:45 GMT+3; 2017-04-26 19:45; e70300-dr003
Middlesbrough; 13/10; 6/5; 13/10; 5/4; 5/4; 5/4; 13/10; 6/5; 5/4; 6/5; 6/5; 5/4; 6/5; 13/10; 5/4; 5/4; 6/5; 6/5; 6/5; 6/5; 63/50; 13/11; 6/5; 5/4; 16/13; ; ; 6/5; 13/10
Draw; 12/5; 23/10; 47/20; 23/10; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 23/10; 23/10; 47/20; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 62/25; 12/5; 12/5; 12/5; 27/11; ; ; 23/10; 12/5
Sunderland; 12/5; 23/10; 12/5; 11/5; 5/2; 12/5; 12/5; 5/2; 12/5; 9/4; 23/10; 5/2; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2; 27/11; 12/5; 5/2; ; ; 12/5; 5/2
META; english/premier-league/middlesbrough-v-sunderland; 2017-04-26 19:26:49 GMT+3; 2017-04-26 19:45; e70300-dr003
Middlesbrough; 6/5; 6/5; 6/5; 5/4; 5/4; 23/20; 6/5; 11/10; 6/5; 6/5; 23/20; 6/5; 5/4; 6/5; 23/20; 6/5; 11/10; 15/13; 11/10; 11/10; 6/5; 10/9; 11/10; 23/20; 15/13; ; ; 23/20; 6/5
Sunderland; 5/2; 9/4; 13/5; 11/5; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 23/10; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 28/11; 12/5; 13/5; ; ; 5/2; 5/2
Draw; 5/2; 12/5; 49/20; 23/10; 12/5; 5/2; 5/2; 5/2; 12/5; 9/4; 12/5; 12/5; 47/20; 5/2; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 27/11; 28/11; 5/2; 13/5; ; ; 5/2; 13/5
META; english/premier-league/middlesbrough-v-sunderland; 2017-04-26 19:39:39 GMT+3; 2017-04-26 19:45; e70300-dr003
Middlesbrough; 6/5; 6/5; 23/20; 5/4; 6/5; 23/20; 6/5; 11/10; 6/5; 6/5; 23/20; 23/20; 23/20; 23/20; 23/20; 6/5; 11/10; 15/13; 11/10; 11/10; 6/5; 9/8; 11/10; 23/20; 15/13; ; ; 23/20; 6/5
Draw; 5/2; 12/5; 49/20; 23/10; 5/2; 5/2; 5/2; 5/2; 12/5; 9/4; 12/5; 5/2; 49/20; 5/2; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 5/2; 28/11; 5/2; 13/5; ; ; 5/2; 5/2
Sunderland; 5/2; 9/4; 13/5; 11/5; 5/2; 13/5; 27/10; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 28/11; 12/5; 13/5; ; ; 12/5; 13/5
