META; english/premier-league/stoke-v-swansea; 2016-10-16 20:17:54 GMT+3; 2016-10-31 20:00; e70300-dr003
Stoke; ; ; ; ; ; ; 20/23; 19/20; 10/11; 17/20; ; ; ; ; 17/20; ; ; ; 1; ; ; 22/23; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/5; 23/10; 13/5; 5/2; ; ; ; ; 13/5; ; ; ; 23/10; ; ; 13/5; ; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 7/2; 11/4; 3; 3; ; ; ; ; 10/3; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
META; english/premier-league/stoke-v-swansea; 2016-10-17 00:17:44 GMT+3; 2016-10-31 20:00; e70300-dr003
Stoke; ; ; ; ; ; ; 10/11; 19/20; 9/10; 5/6; 17/20; ; 17/20; ; 17/20; ; ; ; 9/10; ; ; 22/23; ; 9/10; ; ; 1/16; ; 
Draw; ; ; ; ; ; ; 13/5; 23/10; 13/5; 13/5; 12/5; ; 51/20; ; 13/5; ; ; ; 12/5; ; ; 13/5; ; 5/2; ; ; 1/33; ; 
Swansea; ; ; ; ; ; ; 17/5; 11/4; 3; 3; 29/10; ; 16/5; ; 10/3; ; ; ; 3; ; ; 17/5; ; 3; ; ; 1/16; ; 
META; english/premier-league/stoke-v-swansea; 2016-10-17 04:17:39 GMT+3; 2016-10-31 20:00; e70300-dr003
Stoke; 10/11; ; ; ; ; ; 20/21; 19/20; 10/11; 17/20; 10/11; ; 9/10; ; 17/20; ; ; ; 9/10; ; ; 22/23; ; 9/10; ; ; 1/12; ; 
Draw; 5/2; ; ; ; ; ; 13/5; 23/10; 13/5; 13/5; 12/5; ; 51/20; ; 13/5; ; ; ; 12/5; ; ; 13/5; ; 5/2; ; ; 1/20; ; 
Swansea; 3; ; ; ; ; ; 16/5; 11/4; 3; 14/5; 11/4; ; 3; ; 10/3; ; ; ; 3; ; ; 17/5; ; 3; ; ; 1/12; ; 
META; english/premier-league/stoke-v-swansea; 2016-10-17 08:17:31 GMT+3; 2016-10-31 20:00; e70300-dr003
Stoke; 10/11; ; ; ; ; ; 20/21; 19/20; 10/11; 17/20; 10/11; ; 9/10; ; 17/20; ; ; ; 9/10; ; ; 22/23; ; 9/10; ; ; 1/12; ; 
Draw; 5/2; ; ; ; ; ; 13/5; 23/10; 13/5; 13/5; 12/5; ; 51/20; ; 13/5; ; ; ; 12/5; ; ; 13/5; ; 5/2; ; ; 1/20; ; 
Swansea; 3; ; ; ; ; ; 16/5; 11/4; 3; 14/5; 11/4; ; 3; ; 10/3; ; ; ; 3; ; ; 17/5; ; 3; ; ; 1/12; ; 
META; english/premier-league/stoke-v-swansea; 2016-10-17 12:17:55 GMT+3; 2016-10-31 20:00; e70300-dr003
Stoke; 10/11; ; ; ; ; 9/10; 1; 19/20; 10/11; 10/11; 10/11; ; ; ; 10/11; ; ; ; 9/10; ; ; 22/23; ; 9/10; ; ; 1/8; ; 
