META; english/premier-league/leicester-v-stoke; 2017-03-07 00:16:40 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-07 04:16:39 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-07 08:16:37 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-07 12:16:43 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-07 16:16:41 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-07 20:16:40 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-08 00:16:35 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-08 04:16:36 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-08 08:16:42 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-08 12:16:46 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-08 16:11:33 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-08 20:16:26 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-09 00:16:22 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-09 04:16:19 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-09 08:16:22 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-09 12:16:22 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-09 16:16:21 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-09 20:16:16 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-10 00:16:21 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-10 04:16:02 GMT+2; 2017-04-01 15:00; e70300-dr003
