META; english/premier-league/stoke-v-liverpool; 2017-03-30 00:25:54 GMT+3; 2017-04-04 17:00; e70300-dr003
Guingamp; 2/5; ; ; 2/5; 2/5; ; ; ; 2/5; ; 2/5; 2/5; ; ; ; ; 3/7; 2/5; 2/5; 3/7; ; ; 2/5; ; 2/5; ; ; ; 
Draw; 3; ; ; 16/5; 16/5; ; ; ; 3; ; 13/4; 7/2; ; ; ; ; 58/19; 3; 3; 58/19; ; ; 16/5; ; 16/5; ; ; ; 
Frejus; 6; ; ; 13/2; 15/2; ; ; ; 13/2; ; 13/2; 15/2; ; ; ; ; 6; 25/4; 8; 6; ; ; 8; ; 8; ; ; ; 
META; english/premier-league/stoke-v-liverpool; 2017-04-01 20:16:31 GMT+3; 2017-04-01 15:00; e70300-dr003
Draw 1-1; 11/2; 5; 6; 6; 11/2; 19/4; 6; 11/2; 5; 5; 11/2; 11/2; 21/4; 11/2; 5; 11/2; 27/4; 21/4; 27/5; 27/4; ; 51/10; 27/5; 5; 27/5; ; ; 6; 6
Hull 1-0; 17/2; 15/2; 17/2; 15/2; 15/2; 13/2; 8; 17/2; 15/2; 15/2; 15/2; 7; 15/2; 8; 15/2; 15/2; 35/4; 29/4; 15/2; 35/4; ; 39/5; 15/2; 15/2; 15/2; ; ; 8; 41/5
Hull 2-1; 9; 8; 9; 17/2; 8; 15/2; 17/2; 9; 17/2; 8; 8; 8; 8; 17/2; 8; 8; 39/4; 17/2; 8; 39/4; ; 87/10; 8; 17/2; 8; ; ; 43/5; 44/5
West Ham 1-0; 10; 17/2; 10; 8; 17/2; 8; 19/2; 10; 17/2; 9; 17/2; 8; 17/2; 10; 8; 17/2; 19/2; 17/2; 9; 19/2; ; 9; 9; 17/2; 9; ; ; 48/5; 49/5
Draw 0-0; 10; 11; 11; 10; 10; 9; 17/2; 10; 9; 9; 10; 17/2; 15/2; 10; 9; 9; 8; 27/4; 8; 8; ; 10; 8; ; 8; ; ; 51/5; 49/5
West Ham 2-1; 11; 9; 10; 9; 9; 9; 10; 11; 9; 9; 9; 9; 17/2; 10; 9; 9; 21/2; 19/2; 19/2; 21/2; ; 10; 19/2; 9; 19/2; ; ; 51/5; 52/5
Hull 2-0; 12; 10; 12; 11; 11; 10; 12; 12; 10; 11; 11; 11; 11; 12; 10; 11; 49/4; 11; 11; 49/4; ; 11; 11; 11; 11; ; ; 13; 67/5
Draw 2-2; 14; 12; 13; 14; 12; 11; 13; 13; 11; 11; 12; 12; 12; 12; 10; 12; 15; 12; 23/2; 15; ; 12; 23/2; 11; 23/2; ; ; 63/5; 64/5
West Ham 2-0; 16; 14; 16; 14; 14; 12; 15; 16; 14; 14; 14; 14; 16; 16; 12; 14; 59/4; 15; 14; 59/4; ; 15; 14; 14; 14; ; ; 16; 81/5
Hull 3-1; 20; 18; 20; 18; 16; 12; 19; 19; 18; 18; 18; 18; 18; 18; 16; 18; 79/4; 17; 17; 79/4; ; 19; 17; 18; 17; ; ; 20; 21
Hull 3-0; 25; 22; 25; 22; 22; 20; 25; 25; 22; 22; 22; 22; 25; 25; 20; 20; 47/2; 20; 20; 47/2; ; 24; 20; 22; 20; ; ; 27; 
West Ham 3-1; 25; 22; 25; 22; 22; 20; 25; 25; 22; 22; 22; 22; 20; 22; 20; 20; 93/4; 22; 21; 93/4; ; 25; 21; 22; 21; ; ; 27; 28
Hull 3-2; 28; 28; 28; 28; 25; 20; 28; 30; 28; 22; 25; 25; 25; 25; 22; 25; 113/4; 22; 23; 113/4; ; 31; 23; 28; 23; ; ; 29; 30
Any Other Score; ; ; 33; ; ; ; ; ; 33; ; ; ; ; ; ; ; ; 25; ; ; ; 33; ; ; ; ; ; ; 
West Ham 3-2; 33; 28; 30; 33; 28; 25; 30; 35; 33; 25; 28; 25; 28; 28; 22; 28; 123/4; 28; 26; 123/4; ; 35; 26; 28; 26; ; ; 36; 36
West Ham 3-0; 33; 33; 35; 33; 28; 25; 35; 35; 33; 33; 33; 28; 33; 35; 25; 28; 59/2; 30; 27; 59/2; ; 36; 27; 28; 27; ; ; 41; 
Hull 4-1; 40; 50; 50; 50; 40; 40; 50; 60; 50; 40; 45; 40; 50; 45; 40; 40; 177/4; 50; 38; 177/4; ; 50; 38; 50; 38; ; ; ; 
Draw 3-3; 50; 50; 55; 66; 40; 40; 55; 70; 50; 40; 50; 40; 55; 40; 40; 50; 101/2; 40; 45; 101/2; ; 60; 45; 50; 45; ; ; 57; 59
Hull 4-0; 50; 50; 60; 50; 50; 50; 60; 80; 66; 50; 55; 50; 55; 70; 50; 50; 101/2; 66; 45; 101/2; ; 60; 45; 50; 45; ; ; ; 
West Ham 4-1; 50; 50; 66; 66; 50; 50; 66; 80; 66; 50; 60; 50; 55; 70; 50; 50; 207/4; 66; 50; 207/4; ; 60; 50; 66; 50; ; ; ; 
Hull 4-2; 66; 66; 66; 66; 66; 50; 70; 90; 80; 50; 60; 50; 66; 70; 50; 50; 113/2; 80; 55; 113/2; ; 80; 55; 66; 55; ; ; ; 
West Ham 4-2; 66; 80; 80; 80; 66; 66; 75; 100; 100; 66; 70; 66; 70; 80; 66; 66; 251/4; 100; 66; 251/4; ; 100; 66; 80; 66; ; ; ; 
West Ham 4-0; 66; 80; 95; 80; 80; 80; 90; 100; 100; 80; 80; 66; 75; 100; 80; 66; 123/2; 125; 66; 123/2; ; 100; 66; 80; 66; ; ; ; 
Hull 4-3; 125; 100; 125; 125; 100; 80; 125; 200; ; 100; 100; 80; 125; 100; 80; 100; 165/2; 250; 110; 165/2; ; 180; 110; 150; 110; ; ; ; 
Hull 5-0; 150; 150; ; 200; ; 100; 175; 250; 100; 150; 125; 100; 150; 150; 125; 100; 349/4; ; 120; 349/4; ; ; 120; 200; 120; ; ; ; 
Hull 5-1; 125; 100; ; 150; 100; 80; 110; 250; 100; 100; 100; 80; 125; 150; 100; 100; 325/4; ; 100; 325/4; ; ; 100; 150; 100; ; ; ; 
West Ham 4-3; 125; 150; 125; 125; 100; 100; 150; 250; ; 100; 100; 80; 125; 100; 100; 100; 339/4; 250; 120; 339/4; ; 200; 120; 150; 120; ; ; ; 
West Ham 5-1; 150; 150; ; 200; ; 150; 175; 325; 100; 150; 125; 100; 150; 200; 150; 125; 91; ; 140; 91; ; ; 140; 200; 140; ; ; ; 
Hull 5-2; 150; 150; ; 200; ; 150; 175; 425; ; 150; 125; 100; 150; 150; 125; 125; 369/4; ; 140; 369/4; ; ; 140; 200; 140; ; ; ; 
West Ham 5-2; 200; 200; ; 250; ; 200; 200; 425; ; 175; 150; 100; 150; 200; 200; 150; ; ; 180; ; ; ; 180; 250; 180; ; ; ; 
Draw 4-4; 300; 250; 250; 200; ; 200; 275; 500; ; 200; 150; 100; 175; 200; 200; 200; ; 250; 250; ; ; 350; 250; 250; 250; ; ; ; 
Draw 5-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hull 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hull 10-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hull 11-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hull 5-3; 400; 250; ; ; ; 250; 325; 500; ; 225; 150; 150; 150; 250; ; 200; ; ; 300; ; ; ; 300; 250; 300; ; ; ; 
Hull 5-4; ; ; ; ; ; ; ; 500; ; 375; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Hull 6-0; ; 250; ; 300; ; ; 350; 500; 100; 325; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Hull 6-1; 450; 250; ; 300; ; ; 300; 500; ; 275; 150; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Hull 6-2; ; 250; ; 500; ; ; 350; 500; ; 325; 200; ; 175; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Hull 6-3; ; ; ; ; ; ; ; 500; ; 450; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Hull 6-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
