META; english/premier-league/burnley-v-man-city; 2016-11-01 04:17:55 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-01 08:18:04 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-01 12:18:10 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-01 16:19:09 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-01 20:18:14 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; 41/5; ; ; ; ; ; ; 
