META; english/premier-league/burnley-v-tottenham; 2017-03-05 00:16:50 GMT+2; 2017-04-01 15:00; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-05 04:16:53 GMT+2; 2017-04-01 15:00; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-05 08:16:51 GMT+2; 2017-04-01 15:00; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-05 12:17:09 GMT+2; 2017-04-01 15:00; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-05 16:16:55 GMT+2; 2017-04-01 15:00; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-06 00:16:32 GMT+2; 2017-04-01 15:00; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-06 04:16:31 GMT+2; 2017-04-01 15:00; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-06 08:16:30 GMT+2; 2017-04-01 15:00; e70300-dr003
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; 
