Norwich; 11/10; 11/10; 15/13; ; ; 6/5; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; ; 11/10; ; 11/10; 6/5; 11/10; 6/5; 10/9; 11/10; 11/10; 23/20; 23/20; 11/10; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 5/2; 23/10; 12/5; 40/17; 23/10; 5/2; 23/10; ; 47/20; ; 12/5; 11/5; 9/4; 11/5; 28/11; 23/10; 12/5; 5/2; 23/10; 23/10; ; ; ; 
Burton; 5/2; 13/5; 12/5; ; ; 13/5; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; ; 13/5; ; 13/5; 9/4; 5/2; 9/4; 11/5; 27/11; 5/2; 23/10; 49/20; 5/2; ; ; ; 
META; english/championship/burton-v-norwich; 2017-12-25 22:21:29 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 11/10; 15/13; ; ; 6/5; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; ; 11/10; ; 11/10; 6/5; 11/10; 6/5; 10/9; 11/10; 11/10; 23/20; 23/20; 11/10; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 5/2; 23/10; 12/5; 40/17; 23/10; 5/2; 23/10; ; 47/20; ; 12/5; 11/5; 9/4; 11/5; 5/2; 23/10; 12/5; 5/2; 23/10; 23/10; ; ; ; 
Burton; 5/2; 13/5; 12/5; ; ; 13/5; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; ; 13/5; ; 13/5; 9/4; 5/2; 9/4; 11/5; 27/11; 5/2; 23/10; 49/20; 5/2; ; ; ; 
META; english/championship/burton-v-norwich; 2017-12-26 02:21:27 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 11/10; 15/13; ; ; 6/5; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; ; 11/10; ; 11/10; 6/5; 11/10; 6/5; 10/9; 11/10; 11/10; 23/20; 23/20; 11/10; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 5/2; 23/10; 12/5; 40/17; 23/10; 5/2; 23/10; ; 47/20; ; 12/5; 11/5; 9/4; 11/5; 5/2; 23/10; 12/5; 5/2; 23/10; 23/10; ; ; ; 
Burton; 5/2; 13/5; 12/5; ; ; 13/5; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; ; 13/5; ; 13/5; 9/4; 5/2; 9/4; 11/5; 27/11; 5/2; 23/10; 49/20; 5/2; ; ; ; 
META; english/championship/burton-v-norwich; 2017-12-26 10:21:41 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 11/10; 11/10; ; ; 6/5; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; ; 11/10; ; 11/10; 6/5; 11/10; 6/5; 15/14; 11/10; 11/10; 11/10; 11/10; 11/10; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; ; 47/20; ; 12/5; 11/5; 23/10; 11/5; 28/11; 23/10; 12/5; 5/2; 23/10; 23/10; ; ; ; 
Burton; 5/2; 13/5; 5/2; ; ; 11/4; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; ; 13/5; ; 13/5; 9/4; 5/2; 9/4; 23/10; 27/11; 13/5; 5/2; 51/20; 5/2; ; ; ; 
META; english/championship/burton-v-norwich; 2017-12-26 14:23:01 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
