Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 20/21; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-19 02:21:44 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 20/21; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-19 10:21:51 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 20/21; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-19 14:21:50 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 2; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-19 18:21:57 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 2; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-19 22:21:52 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 2; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-20 02:21:52 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 2; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-20 10:21:55 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 2; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-20 14:21:53 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 2; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-20 18:22:00 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 21/10; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-20 22:22:40 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 6/5; ; 
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 11/8; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 11/5; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-21 02:22:28 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 6/5; ; 
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 11/8; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 11/5; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-21 10:22:36 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 6/5; ; 
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 11/8; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 11/5; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-21 14:22:45 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 4/9; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 5/4; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 11/5; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-21 18:22:39 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 4/9; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 5/4; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 11/5; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-21 22:22:56 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 4/9; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 5/4; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 11/5; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-22 02:22:39 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
