META; english/championship/queens-park-v-middlesbrough; 2018-01-14 10:20:46 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Middlesbrough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; ; ; ; ; ; ; ; 
Queens Park; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; 
META; english/championship/queens-park-v-middlesbrough; 2018-01-14 14:20:58 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Middlesbrough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; ; ; ; ; ; ; ; 
Queens Park; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; 
META; english/championship/queens-park-v-middlesbrough; 2018-01-14 18:20:48 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Middlesbrough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; ; ; ; ; ; ; ; 
Queens Park; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; 
META; english/championship/queens-park-v-middlesbrough; 2018-01-14 22:20:40 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Middlesbrough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; ; ; ; ; ; ; ; 
Queens Park; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; 
META; english/championship/queens-park-v-middlesbrough; 2018-01-15 02:20:35 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Middlesbrough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; ; ; ; ; ; ; ; 
Queens Park; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; 
META; english/championship/queens-park-v-middlesbrough; 2018-01-15 10:20:41 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Middlesbrough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; ; ; ; ; ; ; ; 
Queens Park; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; 
META; english/championship/queens-park-v-middlesbrough; 2018-01-15 14:16:23 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Middlesbrough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; ; ; ; ; ; ; ; 
Queens Park; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; 
META; english/championship/queens-park-v-middlesbrough; 2018-01-15 14:20:22 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Middlesbrough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; ; ; ; ; ; ; ; 
Queens Park; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; 
