META; english/championship/reading-v-sheffield-utd; 2018-02-24 18:20:19 GMT+2; 2018-02-27 20:00; Nothing; Xlenovo
Sheffield Utd; 11/8; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; 13/10; 23/17; ; ; ; ; ; ; 23/17; ; ; ; 
Reading; 15/8; ; ; ; ; ; 19/10; ; ; ; ; ; ; ; ; 19/10; 2; ; ; ; ; 2; ; 2; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 27/11; ; ; ; ; 12/5; ; 27/11; ; ; ; 
META; english/championship/reading-v-sheffield-utd; 2018-02-24 22:19:23 GMT+2; 2018-02-27 20:00; Nothing; Xlenovo
Sheffield Utd; 11/8; 3/2; ; 6/5; 36/25; ; 11/8; 13/10; 5/4; ; 11/8; ; ; ; 11/8; 13/10; 23/17; ; ; 5/4; 7/5; 11/8; 27/20; 23/17; ; ; ; 
Reading; 15/8; 17/10; ; 2; 51/25; ; 19/10; 2; 21/10; ; 21/10; ; ; ; 19/10; 9/5; 2; ; ; 21/10; 2; 2; 39/20; 2; ; 7/5; ; 
Draw; 12/5; 12/5; ; 23/10; 64/25; ; 12/5; 23/10; 12/5; ; 12/5; ; ; ; 5/2; 9/4; 27/11; ; ; 40/17; 12/5; 12/5; 12/5; 27/11; ; ; ; 
META; english/championship/reading-v-sheffield-utd; 2018-02-25 02:18:58 GMT+2; 2018-02-27 20:00; Nothing; Xlenovo
Sheffield Utd; 11/8; 3/2; ; 6/5; 36/25; ; 11/8; 13/10; 5/4; ; 11/8; 7/5; ; ; 11/8; 13/10; 23/17; ; ; 5/4; 7/5; 11/8; 27/20; 23/17; ; 23/20; ; 
Reading; 15/8; 17/10; ; 2; 51/25; ; 19/10; 2; 21/10; ; 21/10; 19/10; ; ; 19/10; 9/5; 2; ; ; 21/10; 2; 2; 39/20; 2; ; 7/5; ; 
Draw; 12/5; 12/5; ; 23/10; 64/25; ; 12/5; 23/10; 12/5; ; 12/5; 23/10; ; ; 5/2; 9/4; 12/5; ; ; 40/17; 12/5; 12/5; 12/5; 27/11; ; ; ; 
META; english/championship/reading-v-sheffield-utd; 2018-02-25 10:19:03 GMT+2; 2018-02-27 20:00; Nothing; Xlenovo
Sheffield Utd; 6/4; 3/2; ; 6/5; 8/5; ; 6/4; 7/5; 6/4; 6/4; 11/8; 7/5; ; 6/4; 6/4; 11/8; 6/4; 6/4; ; 6/4; 6/4; 29/20; 27/20; 17/11; ; 6/5; ; 
Reading; 15/8; 17/10; ; 2; 199/100; ; 19/10; 15/8; 24/13; 15/8; 21/10; 19/10; ; 39/20; 19/10; 9/5; 19/10; 24/13; ; 24/13; 15/8; 19/10; 39/20; 19/10; ; 7/5; ; 
Draw; 11/5; 12/5; ; 23/10; 58/25; ; 11/5; 21/10; 11/5; 21/10; 12/5; 23/10; ; 11/5; 9/4; 21/10; 11/5; 21/10; ; 11/5; 23/10; 12/5; 12/5; 9/4; ; 21/10; ; 
