META; english/championship/derby-v-nottingham-forest; 2017-09-30 22:21:37 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/23; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-01 02:21:36 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; ; 5/6; ; ; ; ; ; 10/11; 9/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; 9/10; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; 5/2; ; ; ; ; 
Nottingham Forest; ; 3; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; ; ; 56/19; ; 14/5; ; ; ; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-01 10:21:35 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; ; 5/6; ; ; ; ; ; 10/11; 9/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; 9/10; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; 5/2; ; ; ; ; 
Nottingham Forest; ; 3; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; ; ; 56/19; ; 14/5; ; ; ; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-01 14:21:44 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; 5/6; 5/6; ; 10/11; ; ; 20/23; 5/6; 9/10; ; 20/23; ; ; ; ; ; ; ; 13/15; ; ; 9/10; ; 20/23; ; ; ; ; 
Draw; 5/2; 5/2; ; 5/2; ; ; 5/2; 13/5; 5/2; ; 5/2; ; ; ; ; ; ; ; 27/11; ; ; 27/11; ; 5/2; ; ; ; ; 
Nottingham Forest; 10/3; 3; ; 3; ; ; 17/5; 16/5; 3; ; 16/5; ; ; ; ; ; ; ; 58/19; ; ; 56/19; ; 3; ; ; ; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-01 18:21:08 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; 4/5; 5/6; ; 10/11; ; 5/6; 17/20; 4/5; 4/5; ; 4/5; ; ; ; 5/6; ; 7/9; 4/5; 4/5; ; 4/5; 4/5; ; 5/6; ; ; ; ; 
Draw; 5/2; 5/2; ; 5/2; ; 13/5; 5/2; 13/5; 5/2; ; 13/5; ; ; ; 11/4; ; 5/2; ; 27/11; ; 27/11; 27/11; ; 5/2; ; ; ; ; 
Nottingham Forest; 7/2; 3; ; 3; ; 15/4; 17/5; 10/3; 37/10; ; 7/2; ; ; ; 16/5; ; 7/2; 18/5; 33/10; ; 29/10; 18/5; ; 16/5; ; ; ; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-01 22:20:57 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; 4/5; 5/6; ; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; ; 4/5; 5/6; ; ; 5/6; ; 7/9; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; ; ; 4/7; ; 
Draw; 5/2; 5/2; ; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; ; ; 11/4; ; 5/2; ; 27/11; ; 27/11; 27/11; ; 5/2; ; ; 19/10; ; 
Nottingham Forest; 7/2; 3; ; 16/5; 10/3; 15/4; 18/5; 7/2; 37/10; ; 7/2; 17/5; ; ; 16/5; ; 7/2; 18/5; 33/10; ; 29/10; 18/5; ; 16/5; ; ; 5/2; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-02 02:20:50 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; 4/5; 5/6; ; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; ; 4/5; 5/6; ; 4/5; 5/6; 5/6; 7/9; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; ; ; 8/13; ; 
Draw; 5/2; 5/2; ; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; ; 11/4; 11/4; 13/5; 5/2; ; 27/11; ; 27/11; 27/11; ; 5/2; ; ; 23/10; ; 
Nottingham Forest; 7/2; 3; ; 16/5; 10/3; 15/4; 18/5; 7/2; 37/10; ; 7/2; 17/5; ; 7/2; 16/5; 10/3; 7/2; 18/5; 13/4; ; 29/10; 18/5; ; 16/5; ; ; 3; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-02 10:21:17 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; 4/5; 5/6; 4/5; 4/5; 4/5; 5/6; 5/6; 4/5; 4/5; 4/5; 4/5; 5/6; ; 4/5; 5/6; 5/6; 7/9; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; ; ; 4/6; ; 
Draw; 5/2; 5/2; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; ; 11/4; 11/4; 13/5; 5/2; ; 27/11; ; 27/11; 27/11; ; 5/2; ; ; 23/10; ; 
Nottingham Forest; 7/2; 3; 10/3; 16/5; 10/3; 15/4; 7/2; 7/2; 37/10; 13/4; 7/2; 17/5; ; 7/2; 16/5; 10/3; 7/2; 18/5; 13/4; ; 29/10; 18/5; ; 16/5; ; ; 3; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-02 18:21:33 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; ; 4/5; 5/6; 4/5; 7/9; 10/13; 83/100; 4/5; 4/5; 4/5; 4/5; 10/13; ; 4/6; ; 
Draw; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; ; 11/4; 11/4; 5/2; 5/2; 28/11; 137/50; 27/11; 27/11; 13/5; 13/5; 53/20; ; 23/10; ; 
Nottingham Forest; 7/2; 7/2; 10/3; 16/5; 10/3; 15/4; 10/3; 7/2; 37/10; 10/3; 7/2; 17/5; ; 7/2; 16/5; 10/3; 7/2; 17/5; 77/20; 29/10; 18/5; 7/2; 18/5; 7/2; ; 3; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-02 22:21:58 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; ; 4/5; 5/6; 4/5; 7/9; 10/13; 83/100; 4/5; 4/5; 4/5; 4/5; 10/13; ; 4/6; ; 
Draw; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; ; 11/4; 11/4; 5/2; 5/2; 28/11; 137/50; 27/11; 27/11; 13/5; 13/5; 53/20; ; 23/10; ; 
Nottingham Forest; 7/2; 7/2; 17/5; 16/5; 10/3; 15/4; 10/3; 7/2; 37/10; 10/3; 7/2; 17/5; ; 7/2; 16/5; 10/3; 7/2; 17/5; 77/20; 29/10; 18/5; 7/2; 18/5; 7/2; ; 9/4; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-03 02:21:41 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; 4/5; 4/5; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 5/6; 4/5; 5/6; ; 4/5; 5/6; 4/5; 7/9; 4/5; 83/100; 4/5; 4/5; 4/5; 4/5; 10/13; ; 4/6; ; 
Draw; 5/2; 13/5; 5/2; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; ; 11/4; 11/4; 5/2; 5/2; 28/11; 137/50; 27/11; 27/11; 13/5; 13/5; 53/20; ; 23/10; ; 
Nottingham Forest; 7/2; 7/2; 13/4; 16/5; 10/3; 15/4; 16/5; 7/2; 37/10; 16/5; 7/2; 17/5; ; 7/2; 16/5; 10/3; 7/2; 33/10; 77/20; 29/10; 18/5; 7/2; 18/5; 7/2; ; 9/4; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-03 10:21:57 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; 4/5; 4/5; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 5/6; 4/5; 5/6; ; 4/5; 5/6; 4/5; 7/9; 4/5; 83/100; 4/5; 4/5; 4/5; 5/6; 10/13; ; 4/6; ; 
Draw; 5/2; 13/5; 5/2; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; ; 11/4; 11/4; 5/2; 5/2; 28/11; 137/50; 27/11; 27/11; 13/5; 13/5; 53/20; ; 23/10; ; 
Nottingham Forest; 7/2; 10/3; 13/4; 16/5; 10/3; 15/4; 16/5; 7/2; 37/10; 16/5; 7/2; 17/5; ; 7/2; 16/5; 10/3; 7/2; 33/10; 77/20; 29/10; 18/5; 7/2; 17/5; 7/2; ; 9/4; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-03 14:22:02 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; 4/5; 4/5; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 5/6; 4/5; 5/6; ; 4/5; 5/6; 4/5; 7/9; 4/5; 83/100; 4/5; 4/5; 4/5; 5/6; 10/13; ; 4/6; ; 
Draw; 5/2; 13/5; 5/2; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; ; 11/4; 11/4; 5/2; 5/2; 28/11; 137/50; 27/11; 27/11; 13/5; 13/5; 53/20; ; 23/10; ; 
Nottingham Forest; 7/2; 10/3; 13/4; 16/5; 10/3; 15/4; 16/5; 7/2; 37/10; 16/5; 7/2; 17/5; ; 7/2; 16/5; 10/3; 7/2; 33/10; 77/20; 29/10; 18/5; 7/2; 17/5; 7/2; ; 9/4; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-03 18:21:52 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; 4/5; 4/5; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 5/6; 4/5; 5/6; ; 4/5; 5/6; 4/5; 7/9; 4/5; 83/100; 4/5; 4/5; 4/5; 5/6; 10/13; ; 4/6; ; 
Draw; 5/2; 13/5; 5/2; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; ; 11/4; 11/4; 5/2; 5/2; 28/11; 137/50; 27/11; 28/11; 13/5; 13/5; 53/20; ; 23/10; ; 
Nottingham Forest; 7/2; 10/3; 13/4; 16/5; 10/3; 15/4; 16/5; 7/2; 7/2; 16/5; 7/2; 17/5; ; 7/2; 16/5; 10/3; 7/2; 33/10; 77/20; 29/10; 17/5; 7/2; 17/5; 7/2; ; 9/4; ; 
META; english/championship/derby-v-nottingham-forest; 2017-10-03 22:21:53 GMT+3; 2017-10-15 13:15; Nothing; Xlenovo
Derby; 4/5; 4/5; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 5/6; 4/5; 5/6; ; 4/5; 5/6; 4/5; 7/9; 4/5; 83/100; 4/5; 4/5; 4/5; 5/6; 10/13; ; 4/7; ; 
Draw; 5/2; 13/5; 5/2; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; ; 11/4; 11/4; 5/2; 5/2; 28/11; 137/50; 27/11; 28/11; 13/5; 13/5; 53/20; ; 2; ; 
Nottingham Forest; 7/2; 10/3; 13/4; 16/5; 10/3; 15/4; 16/5; 7/2; 7/2; 16/5; 7/2; 17/5; ; 7/2; 16/5; 10/3; 7/2; 13/4; 77/20; 29/10; 17/5; 7/2; 17/5; 7/2; ; 3; ; 
