META; english/championship/bristol-city-v-leeds; 2017-10-15 02:22:19 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; ; 11/8; ; ; ; ; 6/4; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; ; 29/20; ; ; 1; ; 
Leeds; ; 15/8; ; ; ; ; 9/5; 9/5; 17/10; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; 9/5; ; ; 7/4; ; 
Draw; ; 23/10; ; ; ; ; 23/10; 23/10; 12/5; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; ; 12/5; ; ; 21/10; ; 
META; english/championship/bristol-city-v-leeds; 2017-10-15 10:21:59 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; ; 13/10; ; ; ; ; ; ; 7/5; ; 7/5; ; ; ; ; 11/8; ; ; ; ; 7/5; ; ; 7/5; ; ; 5/6; ; 
Leeds; ; 2; ; ; ; ; ; ; 9/5; ; 9/5; ; ; ; ; 19/10; ; ; ; ; 9/5; ; ; 37/20; ; ; 9/5; ; 
Draw; ; 23/10; ; ; ; ; ; ; 27/11; ; 5/2; ; ; ; ; 5/2; ; ; ; ; 12/5; ; ; 12/5; ; ; 11/4; ; 
META; english/championship/bristol-city-v-leeds; 2017-10-15 14:21:55 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 23/20; 6/5; ; 6/5; ; ; ; 6/5; 6/5; ; 23/20; ; ; ; 6/5; 6/5; ; 11/10; ; ; 6/5; ; 23/20; 23/20; 11/10; ; 10/9; ; 
Leeds; 2; 21/10; ; 11/5; ; ; ; 21/10; 21/10; ; 23/10; ; ; ; 23/10; 11/5; ; 11/5; ; ; 21/10; ; 23/10; 9/4; 11/5; ; 2; ; 
Draw; 11/4; 5/2; ; 12/5; ; ; ; 5/2; 5/2; ; 12/5; ; ; ; 12/5; 13/5; ; 5/2; ; ; 27/11; ; 5/2; 5/2; 5/2; ; 9/4; ; 
META; english/championship/bristol-city-v-leeds; 2017-10-15 18:21:16 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 23/20; 23/20; ; 6/5; 23/20; 6/5; ; 11/10; 6/5; ; 23/20; 6/5; 6/5; ; 6/5; 11/10; 15/13; 11/10; ; 15/13; 6/5; ; 23/20; 23/20; 11/10; ; 10/11; ; 
Leeds; 2; 9/4; ; 11/5; 21/10; 23/10; ; 9/4; 21/10; ; 23/10; 23/10; 11/5; ; 23/10; 11/5; 11/5; 40/17; ; 21/10; 21/10; ; 9/4; 9/4; 40/17; ; 11/5; ; 
Draw; 11/4; 5/2; ; 12/5; 13/5; 5/2; ; 5/2; 5/2; ; 12/5; 12/5; 5/2; ; 12/5; 5/2; 12/5; 5/2; ; 5/2; 27/11; ; 13/5; 5/2; 28/11; ; 21/10; ; 
META; english/championship/bristol-city-v-leeds; 2017-10-15 22:21:54 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 23/20; 23/20; 6/5; 6/5; 23/20; 6/5; ; 11/10; 11/10; 23/20; 23/20; 6/5; 6/5; 6/5; 6/5; 11/10; 15/13; 21/20; ; 15/13; 11/10; ; 23/20; 23/20; 11/10; ; 21/20; ; 6/5
Leeds; 2; 9/4; 9/4; 11/5; 21/10; 23/10; ; 9/4; 11/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; 11/5; 11/5; 40/17; ; 21/10; 11/5; ; 9/4; 9/4; 40/17; ; 12/5; ; 12/5
Draw; 11/4; 5/2; 12/5; 12/5; 13/5; 5/2; ; 5/2; 5/2; 23/10; 12/5; 12/5; 5/2; 13/5; 12/5; 5/2; 12/5; 5/2; ; 5/2; 5/2; ; 13/5; 5/2; 5/2; ; 23/10; ; 5/2
META; english/championship/bristol-city-v-leeds; 2017-10-16 02:21:48 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 23/20; 23/20; 15/13; 6/5; 23/20; 23/20; ; 11/10; 11/10; 23/20; 23/20; 6/5; 6/5; 6/5; 6/5; 11/10; 11/10; 21/20; ; 15/13; 11/10; ; 23/20; 23/20; 21/20; ; 21/20; ; 23/20
Leeds; 2; 9/4; 23/10; 11/5; 21/10; 12/5; ; 23/10; 11/5; 9/4; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 23/10; 12/5; ; 21/10; 11/5; ; 23/10; 23/10; 12/5; ; 23/10; ; 12/5
Draw; 11/4; 5/2; 12/5; 12/5; 13/5; 5/2; ; 13/5; 5/2; 23/10; 12/5; 12/5; 5/2; 13/5; 12/5; 5/2; 12/5; 5/2; ; 5/2; 5/2; ; 13/5; 5/2; 28/11; ; 12/5; ; 5/2
META; english/championship/bristol-city-v-leeds; 2017-10-16 10:21:41 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 23/20; 11/10; 15/13; 11/10; 23/20; 23/20; ; 11/10; 11/10; 23/20; 23/20; 23/20; 6/5; 11/10; 6/5; 11/10; 11/10; 21/20; ; 15/13; 11/10; ; 11/10; 23/20; 21/20; ; 21/20; ; 23/20
Leeds; 2; 23/10; 23/10; 12/5; 21/10; 12/5; ; 23/10; 11/5; 9/4; 23/10; 47/20; 11/5; 12/5; 23/10; 9/4; 23/10; 12/5; ; 21/10; 11/5; ; 12/5; 23/10; 12/5; ; 12/5; ; 12/5
Draw; 11/4; 12/5; 12/5; 5/2; 13/5; 5/2; ; 13/5; 5/2; 23/10; 12/5; 49/20; 5/2; 13/5; 12/5; 5/2; 12/5; 5/2; ; 5/2; 5/2; ; 13/5; 5/2; 28/11; ; 23/10; ; 5/2
META; english/championship/bristol-city-v-leeds; 2017-10-16 14:22:18 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 23/20; 11/10; 15/13; 11/10; 23/20; 23/20; ; 11/10; 11/10; 23/20; 23/20; 23/20; 6/5; 11/10; 6/5; 11/10; 11/10; 21/20; 119/100; 15/13; 11/10; 11/10; 11/10; 23/20; 21/20; ; 21/20; 10/9; 23/20
Leeds; 2; 23/10; 23/10; 12/5; 21/10; 12/5; ; 23/10; 11/5; 9/4; 23/10; 47/20; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; 63/25; 21/10; 11/5; 12/5; 12/5; 23/10; 12/5; ; 12/5; 2; 12/5
Draw; 11/4; 12/5; 12/5; 5/2; 13/5; 5/2; ; 13/5; 5/2; 23/10; 12/5; 49/20; 5/2; 13/5; 12/5; 5/2; 12/5; 5/2; 129/50; 5/2; 5/2; 5/2; 13/5; 5/2; 28/11; ; 23/10; 21/10; 5/2
META; english/championship/bristol-city-v-leeds; 2017-10-16 18:21:42 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 23/20; 23/20; 15/13; 11/10; 23/20; 23/20; ; 11/10; 11/10; 23/20; 23/20; 23/20; 6/5; 11/10; 6/5; 11/10; 11/10; 21/20; 119/100; 15/13; 11/10; 11/10; 11/10; 23/20; 21/20; ; 10/9; 10/9; 23/20
Leeds; 2; 23/10; 23/10; 12/5; 21/10; 12/5; ; 23/10; 11/5; 23/10; 23/10; 47/20; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; 63/25; 21/10; 11/5; 12/5; 12/5; 23/10; 12/5; ; 23/10; 2; 5/2
Draw; 11/4; 12/5; 23/10; 5/2; 13/5; 5/2; ; 13/5; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 12/5; 5/2; 12/5; 5/2; 129/50; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; ; 5/2; 2; 5/2
META; english/championship/bristol-city-v-leeds; 2017-10-16 22:21:44 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 23/20; 23/20; ; 11/10; 23/20; 23/20; ; 11/10; 11/10; ; 23/20; 23/20; 6/5; 11/10; 6/5; 11/10; 11/10; 21/20; 119/100; 15/13; 11/10; 11/10; 11/10; 23/20; 21/20; ; 21/20; 10/9; 23/20
Leeds; 2; 23/10; ; 12/5; 21/10; 12/5; ; 23/10; 11/5; ; 23/10; 47/20; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; 63/25; 21/10; 11/5; 12/5; 12/5; 23/10; 27/11; ; 9/4; 2; 5/2
Draw; 11/4; 12/5; ; 5/2; 13/5; 5/2; ; 13/5; 5/2; ; 12/5; 12/5; 5/2; 13/5; 12/5; 5/2; 12/5; 5/2; 129/50; 5/2; 5/2; 5/2; 13/5; 5/2; 28/11; ; 23/10; 2; 5/2
META; english/championship/bristol-city-v-leeds; 2017-10-17 02:21:32 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 23/20; 23/20; ; 11/10; 23/20; 23/20; ; 11/10; 21/20; ; 23/20; 23/20; 6/5; 11/10; 6/5; 11/10; 11/10; 11/10; 119/100; 15/13; 21/20; 11/10; 11/10; 23/20; 11/10; ; 21/20; 10/9; 6/5
Leeds; 2; 23/10; ; 12/5; 21/10; 12/5; ; 23/10; 40/17; ; 12/5; 47/20; 11/5; 12/5; 23/10; 23/10; 23/10; 40/17; 63/25; 21/10; 40/17; 12/5; 12/5; 23/10; 40/17; ; 23/10; 2; 23/10
Draw; 11/4; 12/5; ; 5/2; 13/5; 5/2; ; 13/5; 5/2; ; 23/10; 12/5; 5/2; 13/5; 12/5; 5/2; 12/5; 5/2; 129/50; 5/2; 5/2; 5/2; 13/5; 5/2; 28/11; ; 23/10; 2; 5/2
META; english/championship/bristol-city-v-leeds; 2017-10-17 10:21:50 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 23/20; 23/20; ; 11/10; 23/20; 23/20; ; 11/10; 21/20; ; 6/5; 23/20; 6/5; 23/20; 6/5; 11/10; 11/10; 11/10; 119/100; 15/13; 21/20; 11/10; 23/20; 23/20; 11/10; ; 10/9; 10/9; 6/5
Leeds; 2; 23/10; ; 12/5; 21/10; 12/5; ; 23/10; 40/17; ; 9/4; 12/5; 11/5; 12/5; 23/10; 9/4; 23/10; 40/17; 63/25; 21/10; 40/17; 12/5; 23/10; 23/10; 40/17; ; 9/4; 2; 23/10
Draw; 11/4; 12/5; ; 5/2; 13/5; 5/2; ; 12/5; 5/2; ; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 5/2; 129/50; 5/2; 5/2; 5/2; 5/2; 5/2; 28/11; ; 23/10; 2; 5/2
META; english/championship/bristol-city-v-leeds; 2017-10-17 14:22:06 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 11/10; 23/20; ; 11/10; 23/20; 23/20; ; 11/10; 21/20; ; 11/10; 11/10; 6/5; 11/10; 11/10; 11/10; 11/10; 1; 119/100; 15/13; 21/20; 11/10; 11/10; 21/20; 1; ; 21/20; 1; 10/9
Leeds; 21/10; 23/10; ; 12/5; 11/5; 12/5; ; 12/5; 40/17; ; 12/5; 5/2; 11/5; 5/2; 5/2; 12/5; 23/10; 27/11; 63/25; 21/10; 40/17; 5/2; 5/2; 49/20; 5/2; ; 23/10; 11/5; 5/2
Draw; 11/4; 12/5; ; 5/2; 5/2; 5/2; ; 5/2; 5/2; ; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 28/11; 129/50; 5/2; 5/2; 5/2; 5/2; 5/2; 28/11; ; 23/10; 21/10; 13/5
META; english/championship/bristol-city-v-leeds; 2017-10-17 18:22:59 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 11/10; 23/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 11/10; 11/10; 11/10; 11/10; ; 11/10; 11/10; 11/10; 11/10; 1; 57/50; 15/13; 13/12; 11/10; 21/20; 21/20; 21/20; ; 21/20; 1; 10/9
