META; english/championship/aston-villa-v-barnsley; 2018-01-13 22:20:33 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 1/2; 8/15; 1/2; 1/2; 13/25; 40/85; 1/2; 4/9; 5/11; 1/2; 9/20; 1/2; 8/15; 8/15; 1/2; 1/2; 4/9; 10/21; 4/9; 17/35; 5/11; 1/2; 1/2; 1/2; 17/35; ; 2/5; 4/9; 
Draw; 3; 3; 3; 3; 33/10; 16/5; 3; 16/5; 7/2; 29/10; 16/5; 14/5; 3; 3; 16/5; 3; 3; 58/19; 3; 31/10; 17/5; 3; 16/5; 3; 31/10; ; 14/5; 5/2; 
Barnsley; 6; 11/2; 6; 6; 67/10; 13/2; 6; 6; 11/2; 6; 6; 6; 11/2; 11/2; 6; 6; 7; 6; 7; 5; 27/5; 6; 6; 6; 6; ; 6; 24/5; 
META; english/championship/aston-villa-v-barnsley; 2018-01-15 14:20:04 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 1/2; 8/15; 1/2; 1/2; 13/25; 40/85; 1/2; 4/9; 5/11; 1/2; 9/20; 1/2; 8/15; 8/15; 1/2; 1/2; 4/9; 10/21; 4/9; 17/35; 5/11; 1/2; 1/2; 1/2; 17/35; ; 2/5; 4/9; 
Draw; 3; 3; 3; 3; 33/10; 16/5; 3; 16/5; 7/2; 29/10; 16/5; 14/5; 3; 3; 16/5; 3; 3; 58/19; 3; 31/10; 17/5; 3; 16/5; 3; 31/10; ; 14/5; 5/2; 
Barnsley; 6; 11/2; 6; 6; 67/10; 13/2; 6; 6; 11/2; 6; 6; 6; 11/2; 11/2; 6; 6; 7; 6; 7; 5; 27/5; 6; 6; 6; 6; ; 6; 24/5; 
META; english/championship/aston-villa-v-barnsley; 2018-01-15 18:22:59 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 1/2; 8/15; 8/15; 1/2; 11/20; 1/2; 1/2; 1/2; 17/35; 8/15; 1/2; 8/15; 8/15; 4/7; 1/2; 8/15; 4/9; 18/35; 4/9; 18/35; 6/13; 8/15; 8/15; 8/15; 18/35; ; 4/11; 1/2; 8/15
Draw; 3; 3; 29/10; 3; 13/4; 16/5; 3; 3; 16/5; 14/5; 3; 3; 3; 29/10; 16/5; 3; 3; 56/19; 3; 58/19; 31/10; 3; 31/10; 59/20; 3; ; 14/5; 5/2; 3
Barnsley; 6; 11/2; 11/2; 6; 61/10; 6; 11/2; 6; 13/2; 11/2; 6; 11/2; 11/2; 11/2; 6; 11/2; 7; 23/4; 7; 47/10; 6; 21/4; 11/2; 11/2; 29/5; ; 29/5; 23/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-15 22:21:18 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 1/2; 8/15; 8/15; 1/2; 14/25; 1/2; 1/2; 1/2; 17/35; 8/15; 1/2; 11/20; 8/15; 4/7; 11/20; 8/15; 1/2; 18/35; 1/2; 18/35; 6/13; 8/15; 8/15; 8/15; 18/35; ; 4/9; 1/2; 8/15
Draw; 3; 3; 29/10; 3; 13/4; 16/5; 3; 3; 16/5; 14/5; 3; 14/5; 3; 29/10; 16/5; 3; 3; 56/19; 3; 58/19; 31/10; 3; 3; 59/20; 3; ; 14/5; 5/2; 3
Barnsley; 6; 11/2; 11/2; 6; 6; 6; 11/2; 6; 13/2; 11/2; 6; 11/2; 11/2; 11/2; 5; 11/2; 11/2; 23/4; 11/2; 47/10; 6; 21/4; 6; 11/2; 29/5; ; 29/5; 23/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-16 02:20:44 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 1/2; 4/7; 8/15; 1/2; 14/25; 1/2; 8/15; 1/2; 11/21; 8/15; 1/2; 11/20; 4/7; 4/7; 11/20; 8/15; 1/2; 18/35; 1/2; 18/35; 1/2; 8/15; 11/20; 8/15; 18/35; ; 2/5; 1/2; 8/15
Draw; 3; 29/10; 29/10; 3; 13/4; 16/5; 3; 3; 31/10; 14/5; 3; 14/5; 3; 29/10; 16/5; 14/5; 3; 56/19; 3; 58/19; 3; 3; 3; 59/20; 3; ; 14/5; 5/2; 3
Barnsley; 6; 5; 11/2; 6; 6; 6; 11/2; 6; 23/4; 11/2; 6; 11/2; 5; 11/2; 5; 11/2; 11/2; 96/17; 11/2; 47/10; 23/4; 21/4; 11/2; 11/2; 23/4; ; 11/2; 23/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-16 10:21:27 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 1/2; 4/7; 8/15; 1/2; 14/25; 1/2; 8/15; 1/2; 11/21; 8/15; 1/2; 11/20; 4/7; 4/7; 11/20; 8/15; 1/2; 18/35; 1/2; 18/35; 1/2; 8/15; 11/20; 8/15; 18/35; ; 2/5; 1/2; 8/15
Draw; 3; 29/10; 29/10; 3; 13/4; 16/5; 3; 3; 31/10; 14/5; 3; 14/5; 3; 29/10; 16/5; 14/5; 3; 56/19; 3; 58/19; 3; 3; 3; 59/20; 3; ; 14/5; 5/2; 3
Barnsley; 6; 5; 11/2; 6; 6; 6; 11/2; 6; 23/4; 11/2; 11/2; 11/2; 5; 11/2; 5; 11/2; 11/2; 96/17; 11/2; 47/10; 23/4; 21/4; 11/2; 11/2; 23/4; ; 28/5; 23/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-16 14:23:22 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 1/2; 4/7; 8/15; 1/2; 14/25; 1/2; 8/15; 1/2; 11/21; 8/15; 1/2; 11/20; 8/15; 4/7; 11/20; 8/15; 1/2; 18/35; 1/2; 18/35; 1/2; 8/15; 11/20; 8/15; 18/35; ; 4/9; 1/2; 8/15
Draw; 3; 29/10; 29/10; 3; 13/4; 16/5; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 16/5; 3; 3; 56/19; 3; 58/19; 3; 3; 3; 59/20; 3; ; 14/5; 14/5; 3
Barnsley; 6; 5; 11/2; 6; 6; 6; 11/2; 6; 23/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 96/17; 11/2; 47/10; 23/4; 21/4; 11/2; 11/2; 23/4; ; 28/5; 26/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-16 18:23:29 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 1/2; 4/7; 8/15; 1/2; 14/25; 1/2; 8/15; 1/2; 11/21; 8/15; 1/2; 11/20; 8/15; 4/7; 11/20; 8/15; 1/2; 18/35; 1/2; 18/35; 1/2; 8/15; 11/20; 8/15; 8/15; ; 4/9; 1/2; 8/15
Draw; 3; 29/10; 29/10; 3; 13/4; 16/5; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 16/5; 3; 3; 58/19; 3; 58/19; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
