META; english/championship/fulham-v-nottingham-forest; 2018-01-28 02:20:50 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; ; 2/3; ; ; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 7/10; 8/11; ; ; 4/9; ; 
Draw; ; 11/4; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 45/17; ; 11/4; 27/10; ; ; 19/10; ; 
Nottingham Forest; ; 4; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 17/5; ; 17/4; 15/4; ; ; 11/5; ; 
META; english/championship/fulham-v-nottingham-forest; 2018-01-28 10:20:42 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; ; 2/3; ; ; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 7/10; 8/11; ; ; 2/5; ; 
Draw; ; 11/4; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 45/17; ; 11/4; 27/10; ; ; 19/10; ; 
Nottingham Forest; ; 4; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 17/5; ; 17/4; 15/4; ; ; 2; ; 
META; english/championship/fulham-v-nottingham-forest; 2018-01-28 14:21:09 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; 4/6; 2/3; ; ; ; 3/4; 4/6; ; 7/10; ; 4/6; ; ; ; 4/6; 7/10; ; 4/6; ; ; 7/10; ; 4/6; 4/6; 4/6; ; 4/9; ; 
Draw; 14/5; 11/4; ; ; ; 29/10; 11/4; ; 11/4; ; ; ; ; ; 11/4; 14/5; ; 27/10; ; ; 27/10; ; 14/5; 14/5; 11/4; ; 19/10; ; 
Nottingham Forest; 4; 4; ; ; ; 4; 4; ; 37/10; ; 4; ; ; ; 19/5; 4; ; 19/5; ; ; 18/5; ; 17/4; 4; 50/13; ; 3; ; 
META; english/championship/fulham-v-nottingham-forest; 2018-01-28 18:20:24 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; 4/6; 2/3; ; ; ; 3/4; 4/6; ; 7/10; ; 4/6; ; ; ; 4/6; 7/10; ; 9/13; ; ; 7/10; 4/6; 4/6; 4/6; 9/13; ; 1/2; ; 
Draw; 14/5; 11/4; ; ; ; 29/10; 11/4; ; 11/4; ; ; ; ; ; 11/4; 14/5; ; 11/4; ; ; 27/10; 14/5; 14/5; 14/5; 14/5; ; 13/5; ; 
Nottingham Forest; 4; 4; ; ; ; 4; 4; ; 37/10; ; 4; ; ; ; 19/5; 4; ; 50/13; ; ; 18/5; 17/4; 17/4; 4; 39/10; ; 7/2; ; 
META; english/championship/fulham-v-nottingham-forest; 2018-01-28 22:22:55 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; 4/6; 2/3; ; ; ; 7/10; 4/6; ; 7/10; ; 4/6; ; ; ; 4/6; 7/10; ; 9/13; ; ; 7/10; 4/6; 4/6; 4/6; 9/13; ; 4/9; ; 
Draw; 14/5; 11/4; ; ; ; 31/10; 14/5; ; 11/4; ; ; ; ; ; 11/4; 14/5; ; 14/5; ; ; 27/10; 14/5; 14/5; 14/5; 14/5; ; 5/2; ; 
Nottingham Forest; 4; 4; ; ; ; 4; 4; ; 37/10; ; 4; ; ; ; 19/5; 4; ; 39/10; ; ; 18/5; 17/4; 17/4; 4; 39/10; ; 14/5; ; 
META; english/championship/fulham-v-nottingham-forest; 2018-01-29 02:19:53 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; 4/6; 2/3; ; ; ; 7/10; 4/6; ; 7/10; ; 4/6; ; ; ; 4/6; 7/10; ; 9/13; ; ; 7/10; 4/6; 4/6; 4/6; 9/13; ; 4/9; ; 
Draw; 14/5; 11/4; ; ; ; 31/10; 14/5; ; 11/4; ; ; ; ; ; 11/4; 14/5; ; 14/5; ; ; 27/10; 14/5; 14/5; 14/5; 14/5; ; 13/5; ; 
Nottingham Forest; 4; 4; ; ; ; 4; 4; ; 37/10; ; 4; ; ; ; 19/5; 4; ; 39/10; ; ; 18/5; 17/4; 17/4; 4; 39/10; ; 7/2; ; 
META; english/championship/fulham-v-nottingham-forest; 2018-01-29 10:19:48 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; 4/6; 2/3; ; ; ; 7/10; 4/6; ; 7/10; ; 4/6; ; ; ; 4/6; 7/10; 4/6; 9/13; 4/6; ; 7/10; 4/6; 4/6; 4/6; 9/13; ; 4/9; ; 
Draw; 14/5; 11/4; ; ; ; 31/10; 14/5; ; 11/4; ; ; ; ; ; 11/4; 14/5; 11/4; 14/5; 11/4; ; 27/10; 14/5; 29/10; 14/5; 14/5; ; 13/5; ; 
Nottingham Forest; 4; 4; ; ; ; 4; 4; ; 37/10; ; 4; ; ; ; 19/5; 4; 4; 39/10; 4; ; 18/5; 17/4; 17/4; 4; 39/10; ; 7/2; ; 
META; english/championship/fulham-v-nottingham-forest; 2018-01-29 14:20:29 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; 4/6; 4/6; 11/18; ; 7/10; 8/13; 5/8; ; 7/10; 8/13; 8/13; ; ; 8/13; 4/6; 8/13; 4/6; 8/13; 4/6; ; 7/10; 8/13; 7/10; 4/7; ; ; 1/2; ; 
Draw; 14/5; 29/10; 3; ; 3; 16/5; 29/10; ; 11/4; 3; 3; ; ; 31/10; 11/4; 3; 11/4; 29/10; 11/4; ; 27/10; 3; 3; 16/5; ; ; 13/5; ; 
Nottingham Forest; 4; 4; 21/5; ; 9/2; 4; 17/4; ; 37/10; 4; 4; ; ; 17/4; 19/5; 4; 4; 17/4; 4; ; 18/5; 17/4; 15/4; 9/2; ; ; 7/2; ; 
META; english/championship/fulham-v-nottingham-forest; 2018-01-29 18:20:16 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; 4/6; 7/10; 7/10; 7/10; 73/100; 4/6; 4/6; ; 7/10; 7/10; 8/13; ; ; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 5/7; 7/10; 4/6; 7/10; 7/10; 9/13; ; 4/7; ; 
Draw; 14/5; 3; 29/10; 3; 63/20; 16/5; 29/10; ; 11/4; 29/10; 3; ; ; 3; 16/5; 14/5; 11/4; 29/10; 11/4; 56/19; 27/10; 3; 3; 3; 29/10; ; 27/10; ; 
Nottingham Forest; 4; 18/5; 18/5; 7/2; 79/20; 15/4; 15/4; ; 37/10; 18/5; 4; ; ; 15/4; 15/4; 15/4; 4; 19/5; 4; 33/10; 18/5; 7/2; 15/4; 7/2; 19/5; ; 14/5; ; 
META; english/championship/fulham-v-nottingham-forest; 2018-01-29 22:20:23 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; 4/6; 7/10; 7/10; 7/10; 73/100; 4/6; 4/6; ; 7/10; 7/10; 8/13; ; ; 7/10; 4/6; ; 4/6; ; 4/6; 5/7; 7/10; 4/6; 7/10; 7/10; 9/13; ; 4/7; ; 
Draw; 14/5; 3; 29/10; 3; 63/20; 16/5; 29/10; ; 11/4; 29/10; 3; ; ; 3; 16/5; ; 11/4; ; 11/4; 56/19; 27/10; 3; 3; 3; 29/10; ; 27/10; ; 
Nottingham Forest; 4; 18/5; 18/5; 7/2; 79/20; 15/4; 15/4; ; 37/10; 18/5; 4; ; ; 15/4; 15/4; ; 4; ; 4; 33/10; 18/5; 7/2; 15/4; 7/2; 19/5; ; 14/5; ; 
META; english/championship/fulham-v-nottingham-forest; 2018-01-30 02:20:09 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; 4/6; 7/10; 7/10; 7/10; 73/100; 4/6; 4/6; ; 7/10; 7/10; 8/13; ; ; 7/10; 4/6; ; 4/6; 9/13; 4/6; 5/7; 7/10; 4/6; 7/10; 7/10; 9/13; ; 8/13; ; 
Draw; 14/5; 3; 29/10; 3; 63/20; 16/5; 29/10; ; 11/4; 29/10; 3; ; ; 3; 16/5; ; 11/4; 29/10; 11/4; 56/19; 27/10; 3; 3; 3; 29/10; ; 14/5; ; 
Nottingham Forest; 4; 18/5; 18/5; 7/2; 79/20; 15/4; 15/4; ; 37/10; 18/5; 4; ; ; 15/4; 15/4; ; 4; 15/4; 4; 33/10; 18/5; 7/2; 15/4; 7/2; 19/5; ; 7/2; ; 
META; english/championship/fulham-v-nottingham-forest; 2018-01-30 10:20:12 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; 4/6; 7/10; 7/10; 7/10; 73/100; 4/6; 4/6; ; 7/10; 7/10; 8/13; ; ; 7/10; 4/6; ; 4/6; 9/13; 4/6; 5/7; 7/10; 4/6; 7/10; 7/10; 9/13; ; 4/7; ; 
Draw; 14/5; 3; 29/10; 3; 63/20; 16/5; 29/10; ; 11/4; 29/10; 3; ; ; 3; 16/5; ; 11/4; 29/10; 11/4; 56/19; 27/10; 3; 3; 3; 29/10; ; 27/10; ; 
Nottingham Forest; 4; 18/5; 18/5; 7/2; 79/20; 15/4; 15/4; ; 37/10; 18/5; 4; ; ; 15/4; 15/4; ; 4; 15/4; 4; 33/10; 18/5; 7/2; 15/4; 7/2; 19/5; ; 3; ; 
META; english/championship/fulham-v-nottingham-forest; 2018-01-30 14:20:28 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Fulham; 4/6; 8/13; 7/10; 7/10; 73/100; 4/6; 4/6; ; 7/10; 7/10; 8/13; ; ; 7/10; 4/6; ; 4/6; 9/13; 4/6; 5/7; 7/10; 4/6; 7/10; 7/10; 9/13; ; 4/7; ; 
