META; english/championship/reading-v-cardiff; 2017-12-03 02:21:28 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; ; 7/5; 6/4; ; ; 31/20; 6/4; 6/4; 17/11; 6/4; 6/4; 31/20; 6/4; 31/20; 6/4; 6/4; 6/4; 16/11; ; 23/17; 17/11; 6/4; 31/20; ; 6/4; ; 13/10; ; 
Reading; ; 15/8; 7/4; ; ; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 7/4; 9/5; 9/5; 15/8; 15/8; 7/4; 9/5; ; 13/8; 17/10; 9/5; 7/4; ; 9/5; ; 6/4; ; 
Draw; ; 23/10; 9/4; ; ; 23/10; 11/5; 9/4; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 9/4; 28/13; ; 12/5; 40/17; 23/10; 12/5; ; 11/5; ; 21/10; ; 
META; english/championship/reading-v-cardiff; 2017-12-04 10:21:33 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; ; 7/5; 6/4; ; ; 13/8; 6/4; 6/4; 17/11; 6/4; 6/4; 31/20; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; ; 23/17; 17/11; 6/4; 31/20; ; 6/4; ; 13/10; ; 
Reading; ; 15/8; 7/4; ; ; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 7/4; 9/5; 9/5; 15/8; 15/8; 7/4; 7/4; ; 13/8; 17/10; 9/5; 7/4; ; 7/4; ; 8/5; ; 
Draw; ; 23/10; 9/4; ; ; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 9/4; 11/5; ; 12/5; 40/17; 23/10; 12/5; ; 9/4; ; 21/10; ; 
META; english/championship/reading-v-cardiff; 2017-12-04 14:22:07 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff; ; 6/4; 6/4; ; ; 13/8; 6/4; 6/4; 17/11; 6/4; 6/4; 31/20; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 13/8; 23/17; 17/11; 6/4; 31/20; ; 6/4; ; 13/10; ; 
Reading; ; 9/5; 7/4; ; ; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 7/4; 9/5; 9/5; 15/8; 15/8; 7/4; 7/4; 19/10; 13/8; 17/10; 9/5; 7/4; ; 7/4; ; 13/8; ; 
Draw; ; 23/10; 9/4; ; ; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 9/4; 11/5; 12/5; 12/5; 40/17; 23/10; 12/5; ; 9/4; ; 21/10; ; 
