META; english/championship/aston-villa-v-qpr; 2018-02-24 22:19:28 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; ; 2/3; ; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
Draw; ; 11/4; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
QPR; ; 4; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 
META; english/championship/aston-villa-v-qpr; 2018-02-25 02:19:03 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; ; 2/3; ; ; ; ; ; 4/9; 1/2; ; ; 11/20; ; ; ; 8/13; ; ; ; 1/2; ; 11/20; ; ; ; 1/6; ; 
Draw; ; 11/4; ; ; ; ; ; 3; 31/10; ; ; 14/5; ; ; ; 14/5; ; ; ; 31/10; ; 3; ; ; ; 13/5; ; 
QPR; ; 4; ; ; ; ; ; 5; 21/4; ; ; 11/2; ; ; ; 5; ; ; ; 21/4; ; 11/2; ; ; ; 21/5; ; 
META; english/championship/aston-villa-v-qpr; 2018-02-25 10:19:08 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 4/6; 2/3; ; ; ; ; 13/20; 4/7; 1/2; 4/6; 7/10; 6/10; ; ; 7/10; 4/6; 8/13; 8/13; ; 1/2; ; 4/6; ; 11/17; ; 4/9; ; 
Draw; 11/4; 11/4; ; ; ; ; 11/4; 13/5; 31/10; 13/5; 11/4; 11/4; ; ; 11/4; 11/4; 27/10; 27/10; ; 31/10; ; 14/5; ; 27/10; ; 21/10; ; 
QPR; 4; 4; ; ; ; ; 9/2; 4; 21/4; 21/5; 9/2; 5; ; ; 4; 9/2; 21/5; 9/2; ; 21/4; ; 21/5; ; 17/4; ; 21/5; ; 
META; english/championship/aston-villa-v-qpr; 2018-02-25 14:19:38 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 7/10; 3/4; 4/5; ; ; ; 3/4; 4/6; 1/2; 4/5; 3/4; 3/4; ; ; 3/4; 4/5; 14/19; 7/10; 4/5; 7/10; 4/5; 3/4; 3/4; 14/19; ; 8/15; ; 
Draw; 11/4; 5/2; 12/5; ; ; ; 13/5; 5/2; 31/10; 12/5; 13/5; 13/5; ; ; 11/4; 13/5; 28/11; 27/10; 27/11; 27/10; 13/5; 27/10; 13/5; 13/5; ; 2; ; 
QPR; 15/4; 19/5; 15/4; ; ; ; 15/4; 7/2; 21/4; 18/5; 19/5; 15/4; ; ; 15/4; 15/4; 39/11; 15/4; 56/19; 37/10; 19/5; 19/5; 15/4; 18/5; ; 3; ; 
META; english/championship/aston-villa-v-qpr; 2018-02-25 18:19:35 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 7/10; 3/4; 4/5; ; ; ; 3/4; 4/6; ; 4/5; 3/4; 3/4; 4/5; ; 3/4; 4/5; 14/19; 7/10; 4/5; 7/10; 4/5; 3/4; 3/4; 10/13; ; 4/7; ; 8/11
Draw; 11/4; 5/2; 12/5; ; ; ; 13/5; 5/2; ; 12/5; 13/5; 13/5; 13/5; ; 11/4; 13/5; 13/5; 27/10; 27/11; 27/10; 13/5; 27/10; 13/5; 45/17; ; 2; ; 12/5
QPR; 15/4; 19/5; 15/4; ; ; ; 15/4; 7/2; ; 18/5; 18/5; 15/4; 7/2; ; 15/4; 15/4; 62/17; 15/4; 56/19; 37/10; 19/5; 19/5; 15/4; 37/10; ; 3; ; 3
META; english/championship/aston-villa-v-qpr; 2018-02-25 22:19:35 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 7/10; 3/4; 4/5; ; ; ; 3/4; 4/6; ; 4/5; 3/4; 3/4; 4/5; ; 3/4; 4/5; 10/13; 7/10; 4/5; 7/10; 4/5; 3/4; 3/4; 10/13; ; 4/7; ; 8/11
Draw; 11/4; 5/2; 12/5; ; ; ; 13/5; 5/2; ; 12/5; 11/4; 13/5; 13/5; ; 11/4; 13/5; 13/5; 27/10; 27/11; 27/10; 13/5; 13/5; 13/5; 13/5; ; 2; ; 12/5
QPR; 15/4; 19/5; 15/4; ; ; ; 15/4; 7/2; ; 18/5; 18/5; 15/4; 7/2; ; 15/4; 15/4; 18/5; 15/4; 56/19; 37/10; 19/5; 19/5; 15/4; 18/5; ; 3; ; 3
META; english/championship/aston-villa-v-qpr; 2018-02-26 02:19:14 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 7/10; 3/4; 4/5; ; ; ; 3/4; 4/6; ; 4/5; 3/4; 3/4; 4/5; ; 3/4; 4/5; 10/13; 7/10; 4/5; 7/10; 4/5; 3/4; 3/4; 10/13; ; 4/6; ; 8/11
Draw; 11/4; 5/2; 12/5; ; ; ; 13/5; 12/5; ; 12/5; 5/2; 13/5; 13/5; ; 11/4; 13/5; 13/5; 27/10; 27/11; 27/10; 13/5; 27/10; 13/5; 13/5; ; 12/5; ; 12/5
QPR; 15/4; 19/5; 15/4; ; ; ; 15/4; 4; ; 18/5; 19/5; 15/4; 7/2; ; 15/4; 15/4; 18/5; 15/4; 56/19; 37/10; 19/5; 19/5; 15/4; 62/17; ; 7/2; ; 3
META; english/championship/aston-villa-v-qpr; 2018-02-26 10:19:16 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 7/10; 3/4; 4/5; 4/5; ; 3/4; 3/4; 4/6; ; 4/5; 3/4; 3/4; 4/5; ; 3/4; 4/5; 10/13; 7/10; 4/5; 7/10; 4/5; 3/4; 3/4; 10/13; ; 4/6; ; 8/11
Draw; 11/4; 5/2; 12/5; 12/5; ; 13/5; 13/5; 12/5; ; 12/5; 13/5; 13/5; 13/5; ; 11/4; 13/5; 13/5; 27/10; 27/11; 27/10; 13/5; 27/10; 13/5; 13/5; ; 5/2; ; 12/5
QPR; 15/4; 19/5; 15/4; 15/4; ; 4; 15/4; 4; ; 18/5; 19/5; 15/4; 7/2; ; 15/4; 15/4; 18/5; 15/4; 56/19; 37/10; 19/5; 19/5; 15/4; 62/17; ; 7/2; ; 3
META; english/championship/aston-villa-v-qpr; 2018-02-26 14:19:52 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 8/11; 3/4; 3/4; 4/5; 39/50; 3/4; 8/11; 4/6; ; 3/4; 8/11; 3/4; 4/5; 4/5; 4/5; 8/11; 14/19; 7/10; 10/13; 7/10; 3/4; 3/4; 14/19; ; 4/6; ; 8/11
Draw; 11/4; 5/2; 12/5; 12/5; 69/25; 13/5; 13/5; 12/5; ; 12/5; 13/5; 13/5; 13/5; 49/20; 5/2; 13/5; 13/5; 27/10; 27/11; 27/10; 13/5; 13/5; 13/5; ; 12/5; ; 27/10
QPR; 18/5; 19/5; 15/4; 15/4; 21/5; 4; 15/4; 4; ; 15/4; 4; 15/4; 7/2; 19/5; 15/4; 15/4; 19/5; 15/4; 3; 37/10; 4; 15/4; 50/13; ; 22/5; ; 21/5
META; english/championship/aston-villa-v-qpr; 2018-02-26 18:19:48 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 8/11; 3/4; 4/5; 4/5; ; 3/4; ; 4/6; ; 3/4; ; 3/4; ; 4/5; 4/5; 8/11; 14/19; 7/10; 10/13; 7/10; 3/4; 3/4; 14/19; ; 4/6; 8/11; 8/11
Draw; 11/4; 5/2; 12/5; 12/5; ; 13/5; ; 12/5; ; 12/5; ; 13/5; ; 49/20; 5/2; 13/5; 13/5; 27/10; 27/11; 27/10; 13/5; 13/5; 13/5; ; 12/5; 5/2; 27/10
QPR; 18/5; 19/5; 15/4; 15/4; ; 4; ; 4; ; 15/4; ; 15/4; ; 19/5; 15/4; 15/4; 15/4; 15/4; 3; 37/10; 4; 15/4; 19/5; ; 7/2; 7/2; 4
META; english/championship/aston-villa-v-qpr; 2018-02-26 22:19:45 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 8/11; 3/4; 4/5; 4/5; 39/50; 3/4; ; 4/6; 13/18; 3/4; 3/4; 3/4; ; 4/5; 4/5; 8/11; 4/6; 7/10; 10/13; 13/18; 3/4; 3/4; 4/6; ; 4/6; 8/11; 4/5
Draw; 11/4; 5/2; 12/5; 12/5; 73/25; 13/5; ; 12/5; 27/10; 12/5; 13/5; 13/5; ; 49/20; 5/2; 13/5; 23/10; 27/10; 27/11; 45/17; 13/5; 13/5; 23/10; ; 12/5; 23/10; 13/5
QPR; 18/5; 19/5; 15/4; 15/4; 39/10; 4; ; 4; 39/10; 18/5; 19/5; 15/4; ; 19/5; 15/4; 15/4; 13/4; 15/4; 3; 19/5; 4; 15/4; 33/10; ; 7/2; 7/2; 7/2
META; english/championship/aston-villa-v-qpr; 2018-02-27 02:19:43 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 8/11; 3/4; 4/5; 4/5; 39/50; 3/4; ; 4/6; 13/18; 3/4; 3/4; 3/4; ; 4/5; 4/5; 8/11; 14/19; 7/10; 10/13; 13/18; 3/4; 3/4; 14/19; ; 4/6; 8/11; 4/5
Draw; 11/4; 5/2; 12/5; 12/5; 73/25; 13/5; ; 12/5; 27/10; 12/5; 13/5; 13/5; ; 49/20; 5/2; 13/5; 5/2; 27/10; 27/11; 45/17; 13/5; 13/5; 28/11; ; 12/5; 23/10; 13/5
QPR; 18/5; 19/5; 15/4; 15/4; 39/10; 4; ; 4; 39/10; 18/5; 19/5; 15/4; ; 19/5; 15/4; 15/4; 18/5; 15/4; 3; 19/5; 4; 15/4; 62/17; ; 7/2; 7/2; 7/2
META; english/championship/aston-villa-v-qpr; 2018-02-27 10:19:42 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 8/11; 3/4; 4/5; 4/5; 41/50; 3/4; ; 4/6; 13/18; 3/4; 3/4; 3/4; ; 4/5; 4/5; 8/11; 14/19; 7/10; 10/13; 13/18; ; 3/4; 10/13; ; 4/6; 8/11; 4/5
Draw; 11/4; 5/2; 12/5; 12/5; 68/25; 13/5; ; 12/5; 27/10; 12/5; 13/5; 13/5; ; 5/2; 5/2; 13/5; 5/2; 27/10; 27/11; 45/17; ; 13/5; 28/11; ; 12/5; 12/5; 13/5
QPR; 18/5; 19/5; 15/4; 15/4; 79/20; 4; ; 4; 39/10; 18/5; 19/5; 15/4; ; 19/5; 15/4; 15/4; 18/5; 15/4; 3; 19/5; 4; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/aston-villa-v-qpr; 2018-02-27 14:20:27 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 8/11; 3/4; 4/5; 4/5; 41/50; 3/4; ; 4/6; 13/18; 4/5; 3/4; 3/4; ; 4/5; 4/5; 4/5; 14/19; 7/10; 10/13; 13/18; ; 3/4; 10/13; ; 4/6; 8/11; 4/5
Draw; 11/4; 5/2; 12/5; 12/5; 68/25; 13/5; ; 12/5; 27/10; 5/2; 13/5; 13/5; ; 5/2; 5/2; 5/2; 5/2; 27/10; 27/11; 45/17; 27/10; 13/5; 28/11; ; 12/5; 12/5; 13/5
QPR; 18/5; 19/5; 15/4; 15/4; 79/20; 4; ; 4; 39/10; 15/4; 19/5; 15/4; ; 19/5; 15/4; 15/4; 18/5; 15/4; 3; 19/5; 19/5; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/aston-villa-v-qpr; 2018-02-27 18:19:46 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Aston Villa; 8/11; 3/4; 4/5; 4/5; 83/100; 3/4; ; 4/6; 13/18; 4/5; 3/4; 3/4; ; 4/5; 4/5; 4/5; 14/19; 7/10; 10/13; 13/18; ; 3/4; 10/13; ; 4/6; 8/11; 4/5
Draw; 11/4; 5/2; 12/5; 12/5; 27/10; 13/5; ; 12/5; 27/10; 5/2; 13/5; 13/5; ; 5/2; 5/2; 5/2; 5/2; 27/10; 27/11; 45/17; 27/10; 13/5; 28/11; ; 12/5; 12/5; 13/5
