META; english/championship/qpr-v-reading; 2017-06-23 22:17:44 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Reading; 11/8; 9/5; ; 6/4; ; 27/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 7/4; ; 7/5; 16/11; 7/5; 7/5; 13/8; ; 7/5; ; 7/5; ; 1/100; ; 
QPR; 15/8; 6/4; ; 13/8; ; 37/20; 9/5; 6/4; 9/5; 8/5; 8/5; 7/4; 17/10; 6/4; 6/4; ; 9/5; 9/5; 19/10; 9/5; 19/10; ; 19/10; ; 19/10; ; 1/100; ; 
Draw; 12/5; 23/10; ; 11/5; ; 12/5; 12/5; 11/5; 12/5; 9/4; 9/4; 23/10; 47/20; 11/5; 12/5; ; 23/10; 9/4; 23/10; 23/10; 12/5; ; 23/10; ; 40/17; ; 21/10; ; 
META; english/championship/qpr-v-reading; 2017-06-24 02:17:40 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Reading; 11/8; 9/5; ; 6/4; ; 27/20; 6/4; 6/4; 6/4; 6/4; 6/4; 13/8; 31/20; 6/4; 7/4; ; 7/5; 16/11; 7/5; 7/5; 13/8; ; 7/5; ; 7/5; ; 1/100; ; 
QPR; 15/8; 6/4; ; 13/8; ; 37/20; 9/5; 6/4; 9/5; 8/5; 8/5; 7/4; 17/10; 6/4; 6/4; ; 9/5; 9/5; 19/10; 9/5; 19/10; ; 19/10; ; 19/10; ; 1/100; ; 
Draw; 12/5; 23/10; ; 11/5; ; 12/5; 12/5; 11/5; 12/5; 9/4; 9/4; 11/5; 47/20; 11/5; 12/5; ; 23/10; 9/4; 23/10; 23/10; 12/5; ; 23/10; ; 40/17; ; 21/10; ; 
META; english/championship/qpr-v-reading; 2017-06-24 10:17:46 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Reading; 11/8; 9/5; ; 6/4; ; 27/20; 6/4; 6/4; 6/4; 6/4; 6/4; 13/8; 31/20; 6/4; 7/4; ; 7/5; 16/11; 7/5; 7/5; 13/8; ; 7/5; ; 7/5; ; 1/100; ; 
QPR; 15/8; 6/4; ; 13/8; ; 37/20; 9/5; 6/4; 9/5; 8/5; 8/5; 7/4; 17/10; 6/4; 6/4; ; 24/13; 9/5; 19/10; 9/5; 19/10; ; 19/10; ; 19/10; ; 1/100; ; 
Draw; 12/5; 23/10; ; 11/5; ; 12/5; 12/5; 11/5; 12/5; 9/4; 9/4; 11/5; 47/20; 11/5; 12/5; ; 23/10; 9/4; 23/10; 23/10; 12/5; ; 23/10; ; 40/17; ; 21/10; ; 
META; english/championship/qpr-v-reading; 2017-06-24 14:17:47 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
