Birmingham; 9/2; 4; 17/4; 9/2; 5; 9/2; 9/2; 4; 23/5; 9/2; 9/2; 9/2; 4; 17/4; 4; 9/2; 23/5; 9/2; 17/5; 23/5; 9/2; 9/2; 9/2; 79/17; ; 23/5; 4; 4
META; english/championship/brentford-v-birmingham; 2018-02-19 02:19:33 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 13/20; 7/10; 4/6; 4/6; 69/100; 7/10; 13/20; 8/13; 4/6; 7/10; 7/10; 4/6; 7/10; 7/10; 4/6; 4/6; 4/6; 11/17; 9/13; 7/11; 4/6; 8/11; 13/20; 4/6; ; 8/13; 8/13; 4/7
Draw; 13/5; 13/5; 5/2; 13/5; 141/50; 3; 13/5; 11/4; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 11/4; 13/5; 45/17; 13/5; 28/11; 45/17; 11/4; 11/4; 27/10; 27/10; ; 27/10; 12/5; 12/5
Birmingham; 9/2; 17/4; 9/2; 9/2; 5; 9/2; 9/2; 4; 23/5; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 9/2; 23/5; 9/2; 17/5; 23/5; 9/2; 9/2; 9/2; 79/17; ; 23/5; 21/5; 21/5
META; english/championship/brentford-v-birmingham; 2018-02-19 10:19:29 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/6; 7/10; 4/6; 4/6; 69/100; 7/10; 13/20; 8/13; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 11/17; 4/6; 7/11; 4/6; 7/10; 13/20; 4/6; ; 4/6; 8/13; 4/7
Draw; 14/5; 13/5; 13/5; 13/5; 141/50; 3; 13/5; 11/4; 27/10; 13/5; 11/4; 13/5; 13/5; 13/5; 11/4; 13/5; 45/17; 13/5; 28/11; 45/17; 11/4; 14/5; 27/10; 27/10; ; 11/4; 12/5; 12/5
Birmingham; 5; 17/4; 17/4; 9/2; 5; 9/2; 9/2; 4; 23/5; 9/2; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 79/17; 9/2; 39/11; 23/5; 9/2; 19/4; 9/2; 47/10; ; 23/5; 21/5; 21/5
META; english/championship/brentford-v-birmingham; 2018-02-19 14:19:54 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/6; 7/10; 4/6; 4/6; 69/100; 7/10; 13/20; 8/13; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 11/17; 11/17; 4/6; 7/11; 8/13; 8/11; 4/6; 11/17; ; 4/6; ; 4/7
Draw; 14/5; 13/5; 13/5; 13/5; 59/20; 3; 11/4; 11/4; 27/10; 27/10; 11/4; 14/5; 11/4; 27/10; 11/4; 13/5; 11/4; 13/5; 28/11; 45/17; 14/5; 14/5; 27/10; 14/5; ; 11/4; ; 5/2
Birmingham; 5; 4; 21/5; 9/2; 47/10; 9/2; 9/2; 4; 23/5; 21/5; 9/2; 4; 4; 17/4; 9/2; 9/2; 23/5; 9/2; 39/11; 23/5; 9/2; 9/2; 19/4; 79/17; ; 23/5; ; 4
META; english/championship/brentford-v-birmingham; 2018-02-19 18:20:00 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/6; 8/13; 4/6; 4/6; 17/25; 7/10; 13/20; 8/13; 4/6; 4/6; 7/10; 4/6; 4/6; 7/10; 4/6; 8/13; 11/17; 11/17; 19/29; 7/11; 8/13; 7/10; 4/6; 11/17; ; 8/13; ; 4/7
Draw; 14/5; 11/4; 11/4; 13/5; 3; 3; 11/4; 11/4; 27/10; 11/4; 11/4; 14/5; 14/5; 29/10; 11/4; 11/4; 14/5; 13/5; 37/13; 45/17; 14/5; 14/5; 57/20; 37/13; ; 14/5; ; 5/2
Birmingham; 5; 17/4; 17/4; 9/2; 47/10; 9/2; 9/2; 4; 23/5; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 49/11; 9/2; 43/10; 23/5; 17/4; 9/2; 19/4; 9/2; ; 9/2; ; 4
META; english/championship/brentford-v-birmingham; 2018-02-19 22:20:01 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/6; 8/13; 4/6; 4/6; 17/25; 7/10; 13/20; 8/13; 4/6; 4/6; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 11/17; 11/17; 7/11; 7/11; 8/13; 4/6; 4/6; 11/17; ; 8/13; ; 4/7
Draw; 14/5; 14/5; 11/4; 13/5; 3; 3; 14/5; 11/4; 27/10; 14/5; 11/4; 14/5; 14/5; 29/10; 14/5; 11/4; 14/5; 5/2; 56/19; 45/17; 14/5; 29/10; 57/20; 37/13; ; 14/5; ; 5/2
Birmingham; 5; 4; 17/4; 9/2; 47/10; 9/2; 9/2; 4; 23/5; 17/4; 9/2; 4; 9/2; 9/2; 9/2; 4; 9/2; 9/2; 43/10; 23/5; 17/4; 9/2; 19/4; 50/11; ; 23/5; ; 4
META; english/championship/brentford-v-birmingham; 2018-02-20 02:19:51 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/6; 8/13; 4/6; 4/6; 17/25; 7/10; 13/20; 8/13; 4/6; 4/6; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 11/17; 11/17; 19/29; 7/11; 8/13; 7/10; 4/6; 11/17; ; 4/6; ; 4/6
Draw; 14/5; 14/5; 11/4; 13/5; 3; 3; 14/5; 11/4; 27/10; 14/5; 11/4; 14/5; 14/5; 29/10; 14/5; 11/4; 14/5; 5/2; 29/10; 45/17; 14/5; 29/10; 57/20; 37/13; ; 11/4; ; 5/2
Birmingham; 5; 4; 17/4; 9/2; 47/10; 9/2; 9/2; 4; 23/5; 17/4; 9/2; 4; 9/2; 9/2; 9/2; 4; 9/2; 9/2; 21/5; 23/5; 17/4; 9/2; 19/4; 50/11; ; 24/5; ; 23/5
META; english/championship/brentford-v-birmingham; 2018-02-20 10:19:58 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/6; 8/13; 4/6; 4/6; 69/100; 7/10; 4/6; 8/13; 4/6; 7/10; 7/10; 4/6; 8/13; 7/10; 4/6; 4/6; 11/17; 11/17; 13/19; 7/11; 8/13; 8/11; 4/6; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 13/5; 143/50; 3; 14/5; 11/4; 27/10; 14/5; 11/4; 14/5; 14/5; 29/10; 14/5; 13/5; 11/4; 5/2; 14/5; 45/17; 14/5; 14/5; 11/4; 11/4; ; 11/4; 14/5; 27/10
Birmingham; 5; 4; 21/5; 9/2; 49/10; 9/2; 9/2; 4; 23/5; 17/4; 9/2; 4; 9/2; 17/4; 9/2; 9/2; 50/11; 9/2; 41/10; 23/5; 17/4; 22/5; 19/4; 23/5; ; 23/5; 9/2; 23/5
META; english/championship/brentford-v-birmingham; 2018-02-20 14:20:12 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 7/10; 8/13; 4/6; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 7/10; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 11/17; 19/29; 7/11; 8/13; 4/6; 4/6; 4/6; ; 4/6; ; 4/6
Draw; 14/5; 14/5; 29/10; 13/5; 29/10; 3; 14/5; 11/4; 27/10; 29/10; 11/4; 14/5; 14/5; 29/10; 14/5; 13/5; 11/4; 5/2; 37/13; 45/17; 14/5; 29/10; 57/20; 14/5; ; 14/5; 27/10; 27/10
Birmingham; 19/4; 9/2; 9/2; 9/2; 47/10; 9/2; 9/2; 9/2; 23/5; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 49/11; 9/2; 43/10; 23/5; 17/4; 9/2; 19/4; 50/11; ; 23/5; 24/5; 23/5
META; english/championship/brentford-v-birmingham; 2018-02-20 18:20:11 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/6; 4/6; ; 4/6; 67/100; 4/6; 4/6; 8/13; 4/6; 4/6; 7/10; 4/6; 4/6; 7/10; 13/20; 4/6; 11/17; 11/17; 19/29; 7/11; 8/13; 7/10; 4/6; 11/17; ; 4/6; ; 4/6
Draw; 3; 29/10; ; 13/5; 31/10; 3; 29/10; 11/4; 27/10; 3; 11/4; 14/5; 3; 3; 14/5; 14/5; 29/10; 13/5; 56/19; 45/17; 3; 3; 59/20; 29/10; ; 14/5; ; 5/2
Birmingham; 19/4; 4; ; 9/2; 23/5; 9/2; 9/2; 4; 23/5; 17/4; 9/2; 15/4; 4; 17/4; 9/2; 4; 22/5; 17/4; 41/10; 23/5; 17/4; 22/5; 17/4; 49/11; ; 9/2; ; 23/5
META; english/championship/brentford-v-birmingham; 2018-02-20 22:20:00 GMT+2; 2018-02-20 19:45; In Play; Xlenovo
Brentford; 2/7; 1/4; 5/6; 1/4; 3/4; ; 1/4; 8/11; 2/9; ; 10/11; 1/5; 2/7; 9/10; 1/4; 1/4; 14/19; 2/9; 1/4; 4/17; ; 2/9; 5/6; 14/19; ; 5/6; ; 4/5
Draw; 4; 9/2; 11/5; 9/2; 11/4; ; 4; 9/4; 22/5; ; 12/5; 4; 15/4; 11/5; 17/4; 9/2; 28/11; 17/4; 22/5; 17/4; ; 5; 23/10; 28/11; ; 12/5; ; 21/10
Birmingham; 11; 10; 17/5; 11; 19/5; ; 10; 4; 13; ; 7/2; 10; 9; 7/2; 8; 10; 19/5; 25/2; 19/2; 23/2; ; 12; 4; 50/13; ; 7/2; ; 4
