META; english/championship/hull-v-birmingham; 2017-09-24 02:22:05 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; ; 10/11; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
Birmingham; ; 11/4; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/championship/hull-v-birmingham; 2017-09-24 10:22:03 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; ; 10/11; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
Birmingham; ; 11/4; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/championship/hull-v-birmingham; 2017-09-24 14:22:06 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 5/6; 10/11; ; ; ; ; 9/10; 10/11; 1; ; ; ; ; ; ; 10/11; ; ; 10/11; ; ; 1; ; 10/11; ; ; ; ; 
Birmingham; 7/2; 29/10; 3; 3; 10/3; 10/3; 16/5; 10/3; 33/10; 16/5; 10/3; 16/5; ; ; 3; 16/5; 16/5; 16/5; 16/5; 7/2; 56/19; 16/5; 3; 3; 16/5; ; 14/5; ; 
META; english/championship/hull-v-birmingham; 2017-09-26 22:22:02 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 5/6; 10/11; 13/15; 10/11; 5/6; 9/10; 20/23; 5/6; 11/13; 10/11; 20/23; 9/10; ; 17/20; 10/11; 10/11; 11/13; 11/13; 10/11; 10/11; 11/13; 11/13; 9/10; 20/23; 17/20; ; 4/5; ; 
Draw; 12/5; 13/5; 12/5; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 5/2; 12/5; 5/2; ; 13/5; 13/5; 13/5; 12/5; 27/11; 5/2; 66/25; 5/2; 27/11; 13/5; 5/2; 13/5; ; 23/10; ; 
Birmingham; 7/2; 29/10; 3; 3; 10/3; 10/3; 16/5; 10/3; 33/10; 16/5; 10/3; 16/5; ; 10/3; 3; 16/5; 16/5; 16/5; 16/5; 7/2; 56/19; 16/5; 3; 3; 16/5; ; 14/5; ; 
META; english/championship/hull-v-birmingham; 2017-09-27 02:21:30 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 5/6; 10/11; 19/20; 10/11; 9/10; 9/10; 19/20; 5/6; 11/13; 19/20; 20/21; 19/20; ; 20/21; 10/11; 19/20; 11/13; 11/13; 19/20; 10/11; 9/10; 11/13; 10/11; 10/11; 10/11; ; 5/6; ; 
Draw; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 49/20; ; 13/5; 13/5; 5/2; 12/5; 27/11; 27/11; 66/25; 27/11; 27/11; 5/2; 12/5; 5/2; ; 23/10; ; 
Birmingham; 7/2; 3; 29/10; 3; 16/5; 10/3; 3; 16/5; 33/10; 29/10; 3; 3; ; 10/3; 3; 16/5; 16/5; 16/5; 58/19; 7/2; 11/4; 16/5; 3; 29/10; 3; ; 14/5; ; 
META; english/championship/hull-v-birmingham; 2017-09-27 10:21:41 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 19/20; 10/11; 19/20; 10/11; 10/11; 9/10; 19/20; 10/11; 11/13; 19/20; 20/21; 19/20; 19/20; 20/21; 10/11; 19/20; 11/13; 11/13; 19/20; 10/11; 9/10; 11/13; 10/11; 10/11; 10/11; ; 5/6; ; 
Draw; 23/10; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 23/10; 49/20; 5/2; 11/4; 13/5; 5/2; 12/5; 27/11; 27/11; 66/25; 27/11; 27/11; 5/2; 12/5; 5/2; ; 12/5; ; 
Birmingham; 3; 29/10; 29/10; 3; 3; 10/3; 3; 3; 33/10; 29/10; 3; 3; 14/5; 16/5; 3; 3; 16/5; 16/5; 56/19; 7/2; 11/4; 16/5; 3; 29/10; 3; ; 14/5; ; 
META; english/championship/hull-v-birmingham; 2017-09-27 14:22:47 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
