META; english/championship/bolton-v-birmingham; 2018-03-25 02:33:36 GMT+2; 2018-04-03 20:00; Nothing; Xlenovo
Bolton; 11/8; 6/4; 6/4
Birmingham; 15/8; 7/4; 7/4
Draw; 12/5; 40/17; 23/10
META; english/championship/bolton-v-birmingham; 2018-03-25 10:33:25 GMT+2; 2018-04-03 20:00; Nothing; Xlenovo
Bolton; 11/8; 6/4; 6/4
Birmingham; 15/8; 7/4; 7/4
Draw; 12/5; 40/17; 23/10
META; english/championship/bolton-v-birmingham; 2018-03-25 14:33:39 GMT+2; 2018-04-03 20:00; Nothing; Xlenovo
Bolton; 11/8; 11/8; 7/5; 6/4; 7/5; 6/4; 29/20; 7/5; 7/5
Birmingham; 15/8; 15/8; 15/8; 7/4; 9/5; 7/4; 19/10; 15/8; 9/5
Draw; 12/5; 12/5; 12/5; 40/17; 40/17; 23/10; 12/5; 12/5; 40/17
META; english/championship/bolton-v-birmingham; 2018-03-25 18:33:33 GMT+2; 2018-04-03 20:00; Nothing; Xlenovo
Bolton; 11/8; 11/8; 7/5; 6/4; 7/5; 6/4; 29/20; 7/5; 7/5
Birmingham; 15/8; 15/8; 15/8; 7/4; 9/5; 7/4; 19/10; 15/8; 9/5
Draw; 12/5; 12/5; 12/5; 40/17; 40/17; 23/10; 12/5; 12/5; 40/17
META; english/championship/bolton-v-birmingham; 2018-03-25 22:33:29 GMT+2; 2018-04-03 20:00; Nothing; Xlenovo
Bolton; 11/8; 11/8; 7/5; 6/4; 7/5; 6/4; 29/20; 7/5; 7/5
Birmingham; 15/8; 15/8; 15/8; 7/4; 9/5; 7/4; 19/10; 15/8; 9/5
Draw; 12/5; 12/5; 12/5; 40/17; 40/17; 23/10; 12/5; 12/5; 40/17
META; english/championship/bolton-v-birmingham; 2018-03-26 02:33:25 GMT+2; 2018-04-03 20:00; Nothing; Xlenovo
Bolton; 11/8; 11/8; 7/5; 6/4; 7/5; 6/4; 29/20; 7/5; 7/5
Birmingham; 15/8; 15/8; 15/8; 7/4; 9/5; 7/4; 19/10; 15/8; 9/5
Draw; 12/5; 12/5; 12/5; 40/17; 40/17; 23/10; 12/5; 12/5; 40/17
META; english/championship/bolton-v-birmingham; 2018-03-26 10:33:30 GMT+2; 2018-04-03 20:00; Nothing; Xlenovo
Bolton; 11/8; 11/8; 7/5; 6/4; 7/5; 29/20; 7/5; 23/17; 6/4; 29/20; 7/5; 7/5
Birmingham; 15/8; 15/8; 15/8; 7/4; 19/10; 15/8; 9/5; 24/13; 7/4; 19/10; 37/20; 9/5
Draw; 12/5; 12/5; 12/5; 40/17; 9/4; 23/10; 40/17; 12/5; 23/10; 12/5; 12/5; 40/17
META; english/championship/bolton-v-birmingham; 2018-03-26 14:33:33 GMT+2; 2018-04-03 20:00; Nothing; Xlenovo
Bolton; 11/8; 11/8; 36/25; 7/5; 6/4; 7/5; 29/20; 7/5; 23/17; 6/4; 29/20; 7/5; 7/5
Birmingham; 15/8; 15/8; 51/25; 15/8; 7/4; 19/10; 15/8; 9/5; 24/13; 7/4; 19/10; 37/20; 9/5
Draw; 12/5; 12/5; 64/25; 12/5; 40/17; 9/4; 23/10; 40/17; 12/5; 23/10; 12/5; 12/5; 40/17
META; english/championship/bolton-v-birmingham; 2018-03-26 18:33:32 GMT+2; 2018-04-03 20:00; Nothing; Xlenovo
Bolton; 11/8; 11/8; 36/25; 7/5; 6/4; 29/20; 29/20; 7/5; 23/17; 6/4; 29/20; 7/5; 7/5
Birmingham; 15/8; 19/10; 51/25; 15/8; 7/4; 9/5; 15/8; 9/5; 24/13; 7/4; 15/8; 37/20; 9/5
Draw; 12/5; 12/5; 64/25; 12/5; 40/17; 23/10; 23/10; 40/17; 12/5; 23/10; 12/5; 12/5; 40/17
META; english/championship/bolton-v-birmingham; 2018-03-26 22:33:30 GMT+2; 2018-04-03 20:00; Nothing; Xlenovo
Bolton; 11/8; 11/8; 36/25; 7/5; 6/4; 29/20; 29/20; 11/8; 7/5; 23/17; 6/4; 29/20; 7/5; 7/5
Birmingham; 15/8; 19/10; 51/25; 15/8; 7/4; 9/5; 15/8; 15/8; 9/5; 24/13; 7/4; 15/8; 37/20; 9/5
Draw; 12/5; 12/5; 64/25; 12/5; 40/17; 23/10; 23/10; 12/5; 40/17; 12/5; 23/10; 12/5; 12/5; 40/17
META; english/championship/bolton-v-birmingham; 2018-03-27 02:33:32 GMT+2; 2018-04-03 20:00; Nothing; Xlenovo
Bolton; 11/8; 11/8; 36/25; 6/4; 7/5; 7/5; 6/4; 29/20; 29/20; 11/8; 7/5; 7/5; 23/17; 6/4; 29/20; 7/5; 7/5; 1/50
Birmingham; 15/8; 19/10; 51/25; 15/8; 15/8; 17/10; 7/4; 9/5; 15/8; 15/8; 15/8; 9/5; 24/13; 7/4; 15/8; 37/20; 9/5; 1/50
Draw; 12/5; 12/5; 64/25; 12/5; 12/5; 11/5; 40/17; 23/10; 23/10; 12/5; 23/10; 40/17; 12/5; 23/10; 12/5; 12/5; 40/17; 1/50
META; english/championship/bolton-v-birmingham; 2018-03-27 10:33:39 GMT+2; 2018-04-03 20:00; Nothing; Xlenovo
Bolton; 11/8; 11/8; 36/25; 6/4; 7/5; 7/5; 6/4; 29/20; 29/20; 11/8; 7/5; 7/5; 23/17; 6/4; 29/20; 7/5; 7/5; 1/50
